AREAGEOGRAFICA|CAPSCUOLA|CODICECOMUNESCUOLA|CODICEISTITUTORIFERIMENTO|CODICESCUOLA|DENOMINAZIONEISTITUTORIFERIMENTO|DENOMINAZIONESCUOLA|DESCRIZIONECARATTERISTICASCUOLA|DESCRIZIONECOMUNE|DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA|INDICAZIONESEDEDIRETTIVO|INDICAZIONESEDEOMNICOMPRENSIVO|INDIRIZZOEMAILSCUOLA|INDIRIZZOPECSCUOLA|INDIRIZZOSCUOLA|PROVINCIA|REGIONE|SITOWEBSCUOLA|ANNOSCOLASTICO_x|INDIRIZZO_TOT|index|ANNOSCOLASTICO_y|ORDINESCUOLA|ANNOCORSO|FASCIAETA|ALUNNI|Statale_Paritaria
NORD OVEST|10137|L219|TOEE06900G|TOEE06901L|"D.D. TORINO - ""GOBETTI"""|GOBETTI|NORMALE|TORINO|SCUOLA PRIMARIA|NO|Non Disponibile|TOEE06900G@istruzione.it|Non Disponibile|VIA ROMITA 19|TORINO|PIEMONTE|http://www.scuolagobettitorino.gov.it|201718|VIA ROMITA 19, TORINO, Italia|283170|201617|SCUOLA PRIMARIA|4|9 anni|92|S
NORD OVEST|10137|L219|TOEE06900G|TOEE06901L|"D.D. TORINO - ""GOBETTI"""|GOBETTI|NORMALE|TORINO|SCUOLA PRIMARIA|NO|Non Disponibile|TOEE06900G@istruzione.it|Non Disponibile|VIA ROMITA 19|TORINO|PIEMONTE|http://www.scuolagobettitorino.gov.it|201718|VIA ROMITA 19, TORINO, Italia|283171|201617|SCUOLA PRIMARIA|5|10 anni|82|S
NORD OVEST|10137|L219|TOEE06900G|TOEE06901L|"D.D. TORINO - ""GOBETTI"""|GOBETTI|NORMALE|TORINO|SCUOLA PRIMARIA|NO|Non Disponibile|TOEE06900G@istruzione.it|Non Disponibile|VIA ROMITA 19|TORINO|PIEMONTE|http://www.scuolagobettitorino.gov.it|201718|VIA ROMITA 19, TORINO, Italia|283172|201617|SCUOLA PRIMARIA|5|9 anni|8|S
NORD OVEST|10137|L219|TOEE06900G|TOEE06901L|"D.D. TORINO - ""GOBETTI"""|GOBETTI|NORMALE|TORINO|SCUOLA PRIMARIA|NO|Non Disponibile|TOEE06900G@istruzione.it|Non Disponibile|VIA ROMITA 19|TORINO|PIEMONTE|http://www.scuolagobettitorino.gov.it|201718|VIA ROMITA 19, TORINO, Italia|283173|201617|SCUOLA PRIMARIA|5|> di 10 anni|4|S
NORD OVEST|10152|L219|TOIC87700C|TOEE87702G|I.C. TORINO - REGIO PARCO|I.C.  REGIO PARCO-V.FIOCHETTO|NORMALE|TORINO|SCUOLA PRIMARIA|NO|Non Disponibile|TOIC87700C@istruzione.it|Non Disponibile|VIA FIOCHETTO 29|TORINO|PIEMONTE|www.icregioparco.gov.it|201718|VIA FIOCHETTO 29, TORINO, Italia|285505|201617|SCUOLA PRIMARIA|1|6 anni|13|S
NORD OVEST|10152|L219|TOIC87700C|TOEE87702G|I.C. TORINO - REGIO PARCO|I.C.  REGIO PARCO-V.FIOCHETTO|NORMALE|TORINO|SCUOLA PRIMARIA|NO|Non Disponibile|TOIC87700C@istruzione.it|Non Disponibile|VIA FIOCHETTO 29|TORINO|PIEMONTE|www.icregioparco.gov.it|201718|VIA FIOCHETTO 29, TORINO, Italia|285506|201617|SCUOLA PRIMARIA|1|7 anni|3|S
NORD OVEST|10152|L219|TOIC87700C|TOEE87702G|I.C. TORINO - REGIO PARCO|I.C.  REGIO PARCO-V.FIOCHETTO|NORMALE|TORINO|SCUOLA PRIMARIA|NO|Non Disponibile|TOIC87700C@istruzione.it|Non Disponibile|VIA FIOCHETTO 29|TORINO|PIEMONTE|www.icregioparco.gov.it|201718|VIA FIOCHETTO 29, TORINO, Italia|285507|201617|SCUOLA PRIMARIA|1|< di 6 anni|3|S
NORD OVEST|10152|L219|TOIC87700C|TOEE87702G|I.C. TORINO - REGIO PARCO|I.C.  REGIO PARCO-V.FIOCHETTO|NORMALE|TORINO|SCUOLA PRIMARIA|NO|Non Disponibile|TOIC87700C@istruzione.it|Non Disponibile|VIA FIOCHETTO 29|TORINO|PIEMONTE|www.icregioparco.gov.it|201718|VIA FIOCHETTO 29, TORINO, Italia|285508|201617|SCUOLA PRIMARIA|2|6 anni|2|S
NORD OVEST|10152|L219|TOIC87700C|TOEE87702G|I.C. TORINO - REGIO PARCO|I.C.  REGIO PARCO-V.FIOCHETTO|NORMALE|TORINO|SCUOLA PRIMARIA|NO|Non Disponibile|TOIC87700C@istruzione.it|Non Disponibile|VIA FIOCHETTO 29|TORINO|PIEMONTE|www.icregioparco.gov.it|201718|VIA FIOCHETTO 29, TORINO, Italia|285509|201617|SCUOLA PRIMARIA|2|7 anni|11|S
NORD OVEST|10152|L219|TOIC87700C|TOEE87702G|I.C. TORINO - REGIO PARCO|I.C.  REGIO PARCO-V.FIOCHETTO|NORMALE|TORINO|SCUOLA PRIMARIA|NO|Non Disponibile|TOIC87700C@istruzione.it|Non Disponibile|VIA FIOCHETTO 29|TORINO|PIEMONTE|www.icregioparco.gov.it|201718|VIA FIOCHETTO 29, TORINO, Italia|285510|201617|SCUOLA PRIMARIA|2|8 anni|1|S
NORD OVEST|10152|L219|TOIC87700C|TOEE87702G|I.C. TORINO - REGIO PARCO|I.C.  REGIO PARCO-V.FIOCHETTO|NORMALE|TORINO|SCUOLA PRIMARIA|NO|Non Disponibile|TOIC87700C@istruzione.it|Non Disponibile|VIA FIOCHETTO 29|TORINO|PIEMONTE|www.icregioparco.gov.it|201718|VIA FIOCHETTO 29, TORINO, Italia|285511|201617|SCUOLA PRIMARIA|2|9 anni|1|S
NORD OVEST|10152|L219|TOIC87700C|TOEE87702G|I.C. TORINO - REGIO PARCO|I.C.  REGIO PARCO-V.FIOCHETTO|NORMALE|TORINO|SCUOLA PRIMARIA|NO|Non Disponibile|TOIC87700C@istruzione.it|Non Disponibile|VIA FIOCHETTO 29|TORINO|PIEMONTE|www.icregioparco.gov.it|201718|VIA FIOCHETTO 29, TORINO, Italia|285512|201617|SCUOLA PRIMARIA|3|8 anni|15|S
NORD OVEST|10152|L219|TOIC87700C|TOEE87702G|I.C. TORINO - REGIO PARCO|I.C.  REGIO PARCO-V.FIOCHETTO|NORMALE|TORINO|SCUOLA PRIMARIA|NO|Non Disponibile|TOIC87700C@istruzione.it|Non Disponibile|VIA FIOCHETTO 29|TORINO|PIEMONTE|www.icregioparco.gov.it|201718|VIA FIOCHETTO 29, TORINO, Italia|285513|201617|SCUOLA PRIMARIA|3|9 anni|4|S
NORD OVEST|10152|L219|TOIC87700C|TOEE87702G|I.C. TORINO - REGIO PARCO|I.C.  REGIO PARCO-V.FIOCHETTO|NORMALE|TORINO|SCUOLA PRIMARIA|NO|Non Disponibile|TOIC87700C@istruzione.it|Non Disponibile|VIA FIOCHETTO 29|TORINO|PIEMONTE|www.icregioparco.gov.it|201718|VIA FIOCHETTO 29, TORINO, Italia|285514|201617|SCUOLA PRIMARIA|4|10 anni|5|S
NORD OVEST|10152|L219|TOIC87700C|TOEE87702G|I.C. TORINO - REGIO PARCO|I.C.  REGIO PARCO-V.FIOCHETTO|NORMALE|TORINO|SCUOLA PRIMARIA|NO|Non Disponibile|TOIC87700C@istruzione.it|Non Disponibile|VIA FIOCHETTO 29|TORINO|PIEMONTE|www.icregioparco.gov.it|201718|VIA FIOCHETTO 29, TORINO, Italia|285515|201617|SCUOLA PRIMARIA|4|8 anni|3|S
NORD OVEST|10152|L219|TOIC87700C|TOEE87702G|I.C. TORINO - REGIO PARCO|I.C.  REGIO PARCO-V.FIOCHETTO|NORMALE|TORINO|SCUOLA PRIMARIA|NO|Non Disponibile|TOIC87700C@istruzione.it|Non Disponibile|VIA FIOCHETTO 29|TORINO|PIEMONTE|www.icregioparco.gov.it|201718|VIA FIOCHETTO 29, TORINO, Italia|285516|201617|SCUOLA PRIMARIA|4|9 anni|12|S
NORD OVEST|10152|L219|TOIC87700C|TOEE87702G|I.C. TORINO - REGIO PARCO|I.C.  REGIO PARCO-V.FIOCHETTO|NORMALE|TORINO|SCUOLA PRIMARIA|NO|Non Disponibile|TOIC87700C@istruzione.it|Non Disponibile|VIA FIOCHETTO 29|TORINO|PIEMONTE|www.icregioparco.gov.it|201718|VIA FIOCHETTO 29, TORINO, Italia|285517|201617|SCUOLA PRIMARIA|5|10 anni|12|S
NORD OVEST|10152|L219|TOIC87700C|TOEE87702G|I.C. TORINO - REGIO PARCO|I.C.  REGIO PARCO-V.FIOCHETTO|NORMALE|TORINO|SCUOLA PRIMARIA|NO|Non Disponibile|TOIC87700C@istruzione.it|Non Disponibile|VIA FIOCHETTO 29|TORINO|PIEMONTE|www.icregioparco.gov.it|201718|VIA FIOCHETTO 29, TORINO, Italia|285518|201617|SCUOLA PRIMARIA|5|> di 10 anni|6|S
NORD OVEST|10152|L219|TOIC87700C|TOEE87703L|I.C. TORINO - REGIO PARCO|I.C.  REGIO PARCO-DE AMICIS|NORMALE|TORINO|SCUOLA PRIMARIA|NO|Non Disponibile|TOIC87700C@istruzione.it|Non Disponibile|VIA MASSERANO 4|TORINO|PIEMONTE|www.icregioparco.gov.it|201718|VIA MASSERANO 4, TORINO, Italia|285519|201617|SCUOLA PRIMARIA|1|6 anni|40|S
NORD OVEST|10152|L219|TOIC87700C|TOEE87703L|I.C. TORINO - REGIO PARCO|I.C.  REGIO PARCO-DE AMICIS|NORMALE|TORINO|SCUOLA PRIMARIA|NO|Non Disponibile|TOIC87700C@istruzione.it|Non Disponibile|VIA MASSERANO 4|TORINO|PIEMONTE|www.icregioparco.gov.it|201718|VIA MASSERANO 4, TORINO, Italia|285520|201617|SCUOLA PRIMARIA|1|7 anni|6|S
NORD OVEST|10152|L219|TOIC87700C|TOEE87703L|I.C. TORINO - REGIO PARCO|I.C.  REGIO PARCO-DE AMICIS|NORMALE|TORINO|SCUOLA PRIMARIA|NO|Non Disponibile|TOIC87700C@istruzione.it|Non Disponibile|VIA MASSERANO 4|TORINO|PIEMONTE|www.icregioparco.gov.it|201718|VIA MASSERANO 4, TORINO, Italia|285521|201617|SCUOLA PRIMARIA|1|8 anni|2|S
NORD OVEST|10152|L219|TOIC87700C|TOEE87703L|I.C. TORINO - REGIO PARCO|I.C.  REGIO PARCO-DE AMICIS|NORMALE|TORINO|SCUOLA PRIMARIA|NO|Non Disponibile|TOIC87700C@istruzione.it|Non Disponibile|VIA MASSERANO 4|TORINO|PIEMONTE|www.icregioparco.gov.it|201718|VIA MASSERANO 4, TORINO, Italia|285522|201617|SCUOLA PRIMARIA|1|< di 6 anni|4|S
NORD OVEST|10152|L219|TOIC87700C|TOEE87703L|I.C. TORINO - REGIO PARCO|I.C.  REGIO PARCO-DE AMICIS|NORMALE|TORINO|SCUOLA PRIMARIA|NO|Non Disponibile|TOIC87700C@istruzione.it|Non Disponibile|VIA MASSERANO 4|TORINO|PIEMONTE|www.icregioparco.gov.it|201718|VIA MASSERANO 4, TORINO, Italia|285523|201617|SCUOLA PRIMARIA|2|6 anni|4|S
NORD OVEST|10152|L219|TOIC87700C|TOEE87703L|I.C. TORINO - REGIO PARCO|I.C.  REGIO PARCO-DE AMICIS|NORMALE|TORINO|SCUOLA PRIMARIA|NO|Non Disponibile|TOIC87700C@istruzione.it|Non Disponibile|VIA MASSERANO 4|TORINO|PIEMONTE|www.icregioparco.gov.it|201718|VIA MASSERANO 4, TORINO, Italia|285524|201617|SCUOLA PRIMARIA|2|7 anni|34|S
NORD OVEST|10152|L219|TOIC87700C|TOEE87703L|I.C. TORINO - REGIO PARCO|I.C.  REGIO PARCO-DE AMICIS|NORMALE|TORINO|SCUOLA PRIMARIA|NO|Non Disponibile|TOIC87700C@istruzione.it|Non Disponibile|VIA MASSERANO 4|TORINO|PIEMONTE|www.icregioparco.gov.it|201718|VIA MASSERANO 4, TORINO, Italia|285525|201617|SCUOLA PRIMARIA|2|8 anni|3|S
NORD OVEST|10152|L219|TOIC87700C|TOEE87703L|I.C. TORINO - REGIO PARCO|I.C.  REGIO PARCO-DE AMICIS|NORMALE|TORINO|SCUOLA PRIMARIA|NO|Non Disponibile|TOIC87700C@istruzione.it|Non Disponibile|VIA MASSERANO 4|TORINO|PIEMONTE|www.icregioparco.gov.it|201718|VIA MASSERANO 4, TORINO, Italia|285526|201617|SCUOLA PRIMARIA|2|9 anni|1|S
NORD OVEST|10152|L219|TOIC87700C|TOEE87703L|I.C. TORINO - REGIO PARCO|I.C.  REGIO PARCO-DE AMICIS|NORMALE|TORINO|SCUOLA PRIMARIA|NO|Non Disponibile|TOIC87700C@istruzione.it|Non Disponibile|VIA MASSERANO 4|TORINO|PIEMONTE|www.icregioparco.gov.it|201718|VIA MASSERANO 4, TORINO, Italia|285527|201617|SCUOLA PRIMARIA|3|7 anni|3|S
NORD OVEST|10152|L219|TOIC87700C|TOEE87703L|I.C. TORINO - REGIO PARCO|I.C.  REGIO PARCO-DE AMICIS|NORMALE|TORINO|SCUOLA PRIMARIA|NO|Non Disponibile|TOIC87700C@istruzione.it|Non Disponibile|VIA MASSERANO 4|TORINO|PIEMONTE|www.icregioparco.gov.it|201718|VIA MASSERANO 4, TORINO, Italia|285528|201617|SCUOLA PRIMARIA|3|8 anni|37|S
NORD OVEST|10152|L219|TOIC87700C|TOEE87703L|I.C. TORINO - REGIO PARCO|I.C.  REGIO PARCO-DE AMICIS|NORMALE|TORINO|SCUOLA PRIMARIA|NO|Non Disponibile|TOIC87700C@istruzione.it|Non Disponibile|VIA MASSERANO 4|TORINO|PIEMONTE|www.icregioparco.gov.it|201718|VIA MASSERANO 4, TORINO, Italia|285529|201617|SCUOLA PRIMARIA|3|9 anni|6|S
NORD OVEST|10152|L219|TOIC87700C|TOEE87703L|I.C. TORINO - REGIO PARCO|I.C.  REGIO PARCO-DE AMICIS|NORMALE|TORINO|SCUOLA PRIMARIA|NO|Non Disponibile|TOIC87700C@istruzione.it|Non Disponibile|VIA MASSERANO 4|TORINO|PIEMONTE|www.icregioparco.gov.it|201718|VIA MASSERANO 4, TORINO, Italia|285530|201617|SCUOLA PRIMARIA|4|10 anni|4|S
NORD OVEST|10152|L219|TOIC87700C|TOEE87703L|I.C. TORINO - REGIO PARCO|I.C.  REGIO PARCO-DE AMICIS|NORMALE|TORINO|SCUOLA PRIMARIA|NO|Non Disponibile|TOIC87700C@istruzione.it|Non Disponibile|VIA MASSERANO 4|TORINO|PIEMONTE|www.icregioparco.gov.it|201718|VIA MASSERANO 4, TORINO, Italia|285531|201617|SCUOLA PRIMARIA|4|8 anni|6|S
NORD OVEST|10152|L219|TOIC87700C|TOEE87703L|I.C. TORINO - REGIO PARCO|I.C.  REGIO PARCO-DE AMICIS|NORMALE|TORINO|SCUOLA PRIMARIA|NO|Non Disponibile|TOIC87700C@istruzione.it|Non Disponibile|VIA MASSERANO 4|TORINO|PIEMONTE|www.icregioparco.gov.it|201718|VIA MASSERANO 4, TORINO, Italia|285532|201617|SCUOLA PRIMARIA|4|9 anni|37|S
NORD OVEST|10152|L219|TOIC87700C|TOEE87703L|I.C. TORINO - REGIO PARCO|I.C.  REGIO PARCO-DE AMICIS|NORMALE|TORINO|SCUOLA PRIMARIA|NO|Non Disponibile|TOIC87700C@istruzione.it|Non Disponibile|VIA MASSERANO 4|TORINO|PIEMONTE|www.icregioparco.gov.it|201718|VIA MASSERANO 4, TORINO, Italia|285533|201617|SCUOLA PRIMARIA|5|10 anni|28|S
NORD OVEST|10152|L219|TOIC87700C|TOEE87703L|I.C. TORINO - REGIO PARCO|I.C.  REGIO PARCO-DE AMICIS|NORMALE|TORINO|SCUOLA PRIMARIA|NO|Non Disponibile|TOIC87700C@istruzione.it|Non Disponibile|VIA MASSERANO 4|TORINO|PIEMONTE|www.icregioparco.gov.it|201718|VIA MASSERANO 4, TORINO, Italia|285534|201617|SCUOLA PRIMARIA|5|9 anni|3|S
NORD OVEST|10152|L219|TOIC87700C|TOEE87703L|I.C. TORINO - REGIO PARCO|I.C.  REGIO PARCO-DE AMICIS|NORMALE|TORINO|SCUOLA PRIMARIA|NO|Non Disponibile|TOIC87700C@istruzione.it|Non Disponibile|VIA MASSERANO 4|TORINO|PIEMONTE|www.icregioparco.gov.it|201718|VIA MASSERANO 4, TORINO, Italia|285535|201617|SCUOLA PRIMARIA|5|> di 10 anni|5|S
NORD OVEST|10134|L219|TOIC881004|TOEE881016|"I.C. TORINO - ""S. PERTINI"""|"I.C. ""S. PERTINI""  - D. ABRUZZI"|NORMALE|TORINO|SCUOLA PRIMARIA|NO|Non Disponibile|TOIC881004@istruzione.it|Non Disponibile|VIA MONTEVIDEO 11|TORINO|PIEMONTE|www.icpertinitorino.it|201718|VIA MONTEVIDEO 11, TORINO, Italia|285630|201617|SCUOLA PRIMARIA|1|6 anni|95|S
NORD OVEST|10134|L219|TOIC881004|TOEE881016|"I.C. TORINO - ""S. PERTINI"""|"I.C. ""S. PERTINI""  - D. ABRUZZI"|NORMALE|TORINO|SCUOLA PRIMARIA|NO|Non Disponibile|TOIC881004@istruzione.it|Non Disponibile|VIA MONTEVIDEO 11|TORINO|PIEMONTE|www.icpertinitorino.it|201718|VIA MONTEVIDEO 11, TORINO, Italia|285631|201617|SCUOLA PRIMARIA|1|7 anni|3|S
NORD OVEST|10134|L219|TOIC881004|TOEE881016|"I.C. TORINO - ""S. PERTINI"""|"I.C. ""S. PERTINI""  - D. ABRUZZI"|NORMALE|TORINO|SCUOLA PRIMARIA|NO|Non Disponibile|TOIC881004@istruzione.it|Non Disponibile|VIA MONTEVIDEO 11|TORINO|PIEMONTE|www.icpertinitorino.it|201718|VIA MONTEVIDEO 11, TORINO, Italia|285632|201617|SCUOLA PRIMARIA|1|< di 6 anni|3|S
NORD OVEST|10134|L219|TOIC881004|TOEE881016|"I.C. TORINO - ""S. PERTINI"""|"I.C. ""S. PERTINI""  - D. ABRUZZI"|NORMALE|TORINO|SCUOLA PRIMARIA|NO|Non Disponibile|TOIC881004@istruzione.it|Non Disponibile|VIA MONTEVIDEO 11|TORINO|PIEMONTE|www.icpertinitorino.it|201718|VIA MONTEVIDEO 11, TORINO, Italia|285633|201617|SCUOLA PRIMARIA|2|6 anni|1|S
NORD OVEST|10134|L219|TOIC881004|TOEE881016|"I.C. TORINO - ""S. PERTINI"""|"I.C. ""S. PERTINI""  - D. ABRUZZI"|NORMALE|TORINO|SCUOLA PRIMARIA|NO|Non Disponibile|TOIC881004@istruzione.it|Non Disponibile|VIA MONTEVIDEO 11|TORINO|PIEMONTE|www.icpertinitorino.it|201718|VIA MONTEVIDEO 11, TORINO, Italia|285634|201617|SCUOLA PRIMARIA|2|7 anni|109|S
NORD OVEST|10134|L219|TOIC881004|TOEE881016|"I.C. TORINO - ""S. PERTINI"""|"I.C. ""S. PERTINI""  - D. ABRUZZI"|NORMALE|TORINO|SCUOLA PRIMARIA|NO|Non Disponibile|TOIC881004@istruzione.it|Non Disponibile|VIA MONTEVIDEO 11|TORINO|PIEMONTE|www.icpertinitorino.it|201718|VIA MONTEVIDEO 11, TORINO, Italia|285635|201617|SCUOLA PRIMARIA|3|7 anni|9|S
NORD OVEST|10134|L219|TOIC881004|TOEE881016|"I.C. TORINO - ""S. PERTINI"""|"I.C. ""S. PERTINI""  - D. ABRUZZI"|NORMALE|TORINO|SCUOLA PRIMARIA|NO|Non Disponibile|TOIC881004@istruzione.it|Non Disponibile|VIA MONTEVIDEO 11|TORINO|PIEMONTE|www.icpertinitorino.it|201718|VIA MONTEVIDEO 11, TORINO, Italia|285636|201617|SCUOLA PRIMARIA|3|8 anni|117|S
NORD OVEST|10134|L219|TOIC881004|TOEE881016|"I.C. TORINO - ""S. PERTINI"""|"I.C. ""S. PERTINI""  - D. ABRUZZI"|NORMALE|TORINO|SCUOLA PRIMARIA|NO|Non Disponibile|TOIC881004@istruzione.it|Non Disponibile|VIA MONTEVIDEO 11|TORINO|PIEMONTE|www.icpertinitorino.it|201718|VIA MONTEVIDEO 11, TORINO, Italia|285637|201617|SCUOLA PRIMARIA|3|9 anni|7|S
NORD OVEST|10134|L219|TOIC881004|TOEE881016|"I.C. TORINO - ""S. PERTINI"""|"I.C. ""S. PERTINI""  - D. ABRUZZI"|NORMALE|TORINO|SCUOLA PRIMARIA|NO|Non Disponibile|TOIC881004@istruzione.it|Non Disponibile|VIA MONTEVIDEO 11|TORINO|PIEMONTE|www.icpertinitorino.it|201718|VIA MONTEVIDEO 11, TORINO, Italia|285638|201617|SCUOLA PRIMARIA|4|10 anni|5|S
NORD OVEST|10134|L219|TOIC881004|TOEE881016|"I.C. TORINO - ""S. PERTINI"""|"I.C. ""S. PERTINI""  - D. ABRUZZI"|NORMALE|TORINO|SCUOLA PRIMARIA|NO|Non Disponibile|TOIC881004@istruzione.it|Non Disponibile|VIA MONTEVIDEO 11|TORINO|PIEMONTE|www.icpertinitorino.it|201718|VIA MONTEVIDEO 11, TORINO, Italia|285639|201617|SCUOLA PRIMARIA|4|8 anni|6|S
NORD OVEST|10134|L219|TOIC881004|TOEE881016|"I.C. TORINO - ""S. PERTINI"""|"I.C. ""S. PERTINI""  - D. ABRUZZI"|NORMALE|TORINO|SCUOLA PRIMARIA|NO|Non Disponibile|TOIC881004@istruzione.it|Non Disponibile|VIA MONTEVIDEO 11|TORINO|PIEMONTE|www.icpertinitorino.it|201718|VIA MONTEVIDEO 11, TORINO, Italia|285640|201617|SCUOLA PRIMARIA|4|9 anni|116|S
NORD OVEST|10134|L219|TOIC881004|TOEE881016|"I.C. TORINO - ""S. PERTINI"""|"I.C. ""S. PERTINI""  - D. ABRUZZI"|NORMALE|TORINO|SCUOLA PRIMARIA|NO|Non Disponibile|TOIC881004@istruzione.it|Non Disponibile|VIA MONTEVIDEO 11|TORINO|PIEMONTE|www.icpertinitorino.it|201718|VIA MONTEVIDEO 11, TORINO, Italia|285641|201617|SCUOLA PRIMARIA|5|10 anni|123|S
NORD OVEST|10134|L219|TOIC881004|TOEE881016|"I.C. TORINO - ""S. PERTINI"""|"I.C. ""S. PERTINI""  - D. ABRUZZI"|NORMALE|TORINO|SCUOLA PRIMARIA|NO|Non Disponibile|TOIC881004@istruzione.it|Non Disponibile|VIA MONTEVIDEO 11|TORINO|PIEMONTE|www.icpertinitorino.it|201718|VIA MONTEVIDEO 11, TORINO, Italia|285642|201617|SCUOLA PRIMARIA|5|9 anni|4|S
