AREAGEOGRAFICA,CAPSCUOLA,CODICECOMUNESCUOLA,CODICEISTITUTORIFERIMENTO,CODICESCUOLA,DENOMINAZIONEISTITUTORIFERIMENTO,DENOMINAZIONESCUOLA,DESCRIZIONECARATTERISTICASCUOLA,DESCRIZIONECOMUNE,DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA,INDICAZIONESEDEDIRETTIVO,INDICAZIONESEDEOMNICOMPRENSIVO,INDIRIZZOEMAILSCUOLA,INDIRIZZOPECSCUOLA,INDIRIZZOSCUOLA,PROVINCIA,REGIONE,SITOWEBSCUOLA,ANNOSCOLASTICO,INDIRIZZO_TOT
NORD OVEST,10148,L219,TOIC8BR003,TOEE8BR026,I.C. PARRI - VIAN,I.C. PARRI  - STRADA LANZO,NORMALE,TORINO,SCUOLA PRIMARIA,NO,Non Disponibile,Non Disponibile,Non Disponibile,STRADA DI LANZO 147/11,TORINO,PIEMONTE,http://WWW.chivasso2.gov.it,201718,"STRADA DI LANZO 147/11, TORINO, Italia"
NORD OVEST,10148,L219,TOIC8BR003,TOIC8BR003,I.C. PARRI - VIAN,I.C. PARRI - VIAN,NORMALE,TORINO,ISTITUTO COMPRENSIVO,SI,Non Disponibile,Non Disponibile,Non Disponibile,STRADA LANZO 147/11,TORINO,PIEMONTE,Non Disponibile,201718,"STRADA LANZO 147/11, TORINO, Italia"
NORD OVEST,10148,L219,TOIC8BR003,TOMM8BR014,I.C. PARRI - VIAN,I.C. PARRI  - VIAN,NORMALE,TORINO,SCUOLA PRIMO GRADO,NO,Non Disponibile,Non Disponibile,Non Disponibile,"VIA   STAMPINI, 25",TORINO,PIEMONTE,www.chivasso2.gov.it,201718,"VIA   STAMPINI, 25, TORINO, Italia"
NORD OVEST,10137,L219,TOEE06900G,TOEE06901L,"D.D. TORINO - ""GOBETTI""",GOBETTI,NORMALE,TORINO,SCUOLA PRIMARIA,NO,Non Disponibile,TOEE06900G@istruzione.it,Non Disponibile,VIA ROMITA 19,TORINO,PIEMONTE,http://www.scuolagobettitorino.gov.it,201718,"VIA ROMITA 19, TORINO, Italia"
NORD OVEST,10152,L219,TOIC87700C,TOEE87702G,I.C. TORINO - REGIO PARCO,I.C.  REGIO PARCO-V.FIOCHETTO,NORMALE,TORINO,SCUOLA PRIMARIA,NO,Non Disponibile,TOIC87700C@istruzione.it,Non Disponibile,VIA FIOCHETTO 29,TORINO,PIEMONTE,www.icregioparco.gov.it,201718,"VIA FIOCHETTO 29, TORINO, Italia"
NORD OVEST,10152,L219,TOIC87700C,TOEE87703L,I.C. TORINO - REGIO PARCO,I.C.  REGIO PARCO-DE AMICIS,NORMALE,TORINO,SCUOLA PRIMARIA,NO,Non Disponibile,TOIC87700C@istruzione.it,Non Disponibile,VIA MASSERANO 4,TORINO,PIEMONTE,www.icregioparco.gov.it,201718,"VIA MASSERANO 4, TORINO, Italia"
NORD OVEST,10134,L219,TOIC881004,TOEE881016,"I.C. TORINO - ""S. PERTINI""","I.C. ""S. PERTINI""  - D. ABRUZZI",NORMALE,TORINO,SCUOLA PRIMARIA,NO,Non Disponibile,TOIC881004@istruzione.it,Non Disponibile,VIA MONTEVIDEO 11,TORINO,PIEMONTE,www.icpertinitorino.it,201718,"VIA MONTEVIDEO 11, TORINO, Italia"
NORD OVEST,10147,L219,TOIC878008,TOEE87801A,I.C. TORINO - UMBERTO SABA,I.C. UMBERTO SABA - GALIMBERTI,NORMALE,TORINO,SCUOLA PRIMARIA,NO,Non Disponibile,TOIC878008@istruzione.it,Non Disponibile,VIA MOSCA 11,TORINO,PIEMONTE,www.icsabatorino.gov,201718,"VIA MOSCA 11, TORINO, Italia"
NORD OVEST,10148,L219,TOIC878008,TOEE87802B,I.C. TORINO - UMBERTO SABA,I.C. UMBERTO SABA -L. RADICE,NORMALE,TORINO,SCUOLA PRIMARIA,NO,Non Disponibile,TOIC878008@istruzione.it,Non Disponibile,CORSO GROSSETO N. 112,TORINO,PIEMONTE,www.icsabatorino.gov,201718,"CORSO GROSSETO N. 112, TORINO, Italia"
NORD OVEST,10147,L219,TOIC879004,TOEE879016,I.C. TORINO - VIVALDI-MURIALDO,SCUOLA PRIMARIA DON MURIALDO,NORMALE,TORINO,SCUOLA PRIMARIA,NO,Non Disponibile,TOIC879004@istruzione.it,Non Disponibile,VIA CASTELDELFINO 30,TORINO,PIEMONTE,www.vivaldi-murialdo.it,201718,"VIA CASTELDELFINO 30, TORINO, Italia"
NORD OVEST,10136,L219,TOEE06900G,TOEE06905R,"D.D. TORINO - ""GOBETTI""",GOBETTI-SCLARANDI,NORMALE,TORINO,SCUOLA PRIMARIA,NO,Non Disponibile,TOEE06900G@istruzione.it,Non Disponibile,VIA BALTIMORA 171,TORINO,PIEMONTE,http://www.scuolagobettitorino.gov.it,201718,"VIA BALTIMORA 171, TORINO, Italia"
NORD OVEST,10122,L219,TOEE073007,TOEE073007,D.D. ANNESSA CONVITTO UMBERTO I,D.D. ANNESSA CONVITTO UMBERTO I,CONVITTO NAZIONALE,TORINO,SCUOLA PRIMARIA,NO,Non Disponibile,TOEE073007@istruzione.it,Non Disponibile,VIA BLIGNY 1 BIS,TORINO,PIEMONTE,Non Disponibile,201718,"VIA BLIGNY 1 BIS, TORINO, Italia"
NORD OVEST,10122,L219,TOEE073007,TOEE073018,D.D. ANNESSA CONVITTO UMBERTO I,UMBERTO I (CONVITTO NAZ.LE),ANNESSO A CONVITTO,TORINO,SCUOLA PRIMARIA,NO,Non Disponibile,TOEE073007@istruzione.it,Non Disponibile,VIA BLIGNY 1 BIS,TORINO,PIEMONTE,www.cnuto.gov.it,201718,"VIA BLIGNY 1 BIS, TORINO, Italia"
NORD OVEST,10147,L219,TOEE00400R,TOEE00401T,"D.D. TORINO -  ""ALLIEVO""",GIUSEPPE ALLIEVO,NORMALE,TORINO,SCUOLA PRIMARIA,NO,Non Disponibile,TOEE00400R@istruzione.it,Non Disponibile,VIA VIBO' 62,TORINO,PIEMONTE,www.circolodidatticoallievotorino.gov.it,201718,"VIA VIBO' 62, TORINO, Italia"
NORD OVEST,10146,L219,TOEE03400L,TOEE03400L,CIRCOLO DIDATTICO J.KENNEDY,CIRCOLO DIDATTICO J.KENNEDY,NORMALE,TORINO,SCUOLA PRIMARIA,SI,Non Disponibile,TOEE03400L@istruzione.it,toee03400l@pec.istruzione.it,"VIA PACCHIOTTI, 102",TORINO,PIEMONTE,Non Disponibile,201718,"VIA PACCHIOTTI, 102, TORINO, Italia"
NORD OVEST,10146,L219,TOEE03400L,TOEE03401N,CIRCOLO DIDATTICO J.KENNEDY,J.KENNEDY,NORMALE,TORINO,SCUOLA PRIMARIA,NO,Non Disponibile,TOEE03400L@istruzione.it,Non Disponibile,VIA PACCHIOTTI 102,TORINO,PIEMONTE,www.scuola-kennedy.gov.it,201718,"VIA PACCHIOTTI 102, TORINO, Italia"
NORD OVEST,10137,L219,TOMM32500B,TOCT701004,CPIA 3 TORINO,C.T.P. DISTRETTO 2,NORMALE,TORINO,CENTRO TERRITORIALE,NO,Non Disponibile,TOMM32500B@istruzione.it,Non Disponibile,"CORSO TAZZOLI, 215/1",TORINO,PIEMONTE,Non Disponibile,201718,"CORSO TAZZOLI, 215/1, TORINO, Italia"
NORD OVEST,10139,L219,TOMM32300Q,TOCT70200X,CPIA 1 TORINO,C.T.P. DISTRETTO 3,NORMALE,TORINO,CENTRO TERRITORIALE,NO,Non Disponibile,TOMM32300Q@istruzione.it,Non Disponibile,"VIA DOMODOSSOLA, 54",TORINO,PIEMONTE,Non Disponibile,201718,"VIA DOMODOSSOLA, 54, TORINO, Italia"
NORD OVEST,10147,L219,TOMM32300Q,TOCT70300Q,CPIA 1 TORINO,C.T.P. DISTRETTO 5,NORMALE,TORINO,CENTRO TERRITORIALE,NO,Non Disponibile,TOMM32300Q@istruzione.it,Non Disponibile,"VIA LORENZINI, 4",TORINO,PIEMONTE,Non Disponibile,201718,"VIA LORENZINI, 4, TORINO, Italia"
NORD OVEST,10146,L219,TOEE03400L,TOEE03402P,CIRCOLO DIDATTICO J.KENNEDY,J.DEWEY,NORMALE,TORINO,SCUOLA PRIMARIA,NO,Non Disponibile,TOEE03400L@istruzione.it,Non Disponibile,VIA PASSONI 9,TORINO,PIEMONTE,www.scuola-kennedy.gov.it,201718,"VIA PASSONI 9, TORINO, Italia"
NORD OVEST,10136,L219,TOEE04100Q,TOEE04100Q,"D.D. TORINO - ""MAZZINI""","D.D. TORINO - ""MAZZINI""",NORMALE,TORINO,SCUOLA PRIMARIA,SI,Non Disponibile,TOEE04100Q@istruzione.it,toee04100q@pec.istruzione.it,"C.SO ORBASSANO,155/A",TORINO,PIEMONTE,Non Disponibile,201718,"C.SO ORBASSANO,155/A, TORINO, Italia"
NORD OVEST,10136,L219,TOEE04100Q,TOEE04101R,"D.D. TORINO - ""MAZZINI""",MAZZINI,NORMALE,TORINO,SCUOLA PRIMARIA,NO,Non Disponibile,TOEE04100Q@istruzione.it,Non Disponibile,"C.SO ORBASSANO,155",TORINO,PIEMONTE,http://www.ddmazzinitorino.gov.it/,201718,"C.SO ORBASSANO,155, TORINO, Italia"
NORD OVEST,10137,L219,TOEE04100Q,TOEE04102T,"D.D. TORINO - ""MAZZINI""",MAZZINI-CHIOVINI,NORMALE,TORINO,SCUOLA PRIMARIA,NO,Non Disponibile,TOEE04100Q@istruzione.it,Non Disponibile,VIA BALTIMORA 76,TORINO,PIEMONTE,http://www.ddmazzinitorino.gov.it/,201718,"VIA BALTIMORA 76, TORINO, Italia"
NORD OVEST,10154,L219,TOEE045003,TOEE045003,"D.D. TORINO - ""NOVARO""","D.D. TORINO - ""NOVARO""",NORMALE,TORINO,SCUOLA PRIMARIA,SI,Non Disponibile,TOEE045003@istruzione.it,toee045003@pec.istruzione.it,VIA CORELLI 4,TORINO,PIEMONTE,Non Disponibile,201718,"VIA CORELLI 4, TORINO, Italia"
NORD OVEST,10154,L219,TOEE045003,TOEE045025,"D.D. TORINO - ""NOVARO""",NOVARO,NORMALE,TORINO,SCUOLA PRIMARIA,NO,Non Disponibile,TOEE045003@istruzione.it,Non Disponibile,VIA CORELLI 4,TORINO,PIEMONTE,www.ddnovaro.gov.it,201718,"VIA CORELLI 4, TORINO, Italia"
NORD OVEST,10154,L219,TOEE045003,TOEE045036,"D.D. TORINO - ""NOVARO""",NOVARO -  C.LEVI,NORMALE,TORINO,SCUOLA PRIMARIA,NO,Non Disponibile,TOEE045003@istruzione.it,Non Disponibile,VIA MONTEROSA 165,TORINO,PIEMONTE,www.ddnovaro.gov.it,201718,"VIA MONTEROSA 165, TORINO, Italia"
NORD OVEST,10154,L219,TOEE045003,TOEE045047,"D.D. TORINO - ""NOVARO""",NOVARO - ABBA,NORMALE,TORINO,SCUOLA PRIMARIA,NO,Non Disponibile,TOEE045003@istruzione.it,Non Disponibile,PIAZZA ABBA 13,TORINO,PIEMONTE,www.ddnovaro.gov.it,201718,"PIAZZA ABBA 13, TORINO, Italia"
NORD OVEST,10122,L219,TOEE04700P,TOEE04700P,"D.D. TORINO - ""PACCHIOTTI""","D.D. TORINO - ""PACCHIOTTI""",NORMALE,TORINO,SCUOLA PRIMARIA,SI,Non Disponibile,TOEE04700P@istruzione.it,toee04700p@pec.istruzione.it,VIA DEL CARMINE 27,TORINO,PIEMONTE,Non Disponibile,201718,"VIA DEL CARMINE 27, TORINO, Italia"
NORD OVEST,10122,L219,TOEE04700P,TOEE04704V,"D.D. TORINO - ""PACCHIOTTI""",PACCHIOTTI SCLOPIS,NORMALE,TORINO,SCUOLA PRIMARIA,NO,Non Disponibile,TOEE04700P@istruzione.it,Non Disponibile,VIA DEL CARMINE 27,TORINO,PIEMONTE,WWW.DDPACCHIOTTI.GOV.IT,201718,"VIA DEL CARMINE 27, TORINO, Italia"
NORD OVEST,10121,L219,TOEE04700P,TOEE04705X,"D.D. TORINO - ""PACCHIOTTI""",PACCHIOTTI - CARDUCCI,NORMALE,TORINO,SCUOLA PRIMARIA,NO,Non Disponibile,TOEE04700P@istruzione.it,Non Disponibile,CORSO MATTEOTTI 6,TORINO,PIEMONTE,WWW.DDPACCHIOTTI.GOV.IT,201718,"CORSO MATTEOTTI 6, TORINO, Italia"
NORD OVEST,10121,L219,TOEE04700P,TOEE047061,"D.D. TORINO - ""PACCHIOTTI""",PACCHIOTTI - RICARDI DI NETRO,NORMALE,TORINO,SCUOLA PRIMARIA,NO,Non Disponibile,TOEE04700P@istruzione.it,Non Disponibile,VIA VALFRE' 8,TORINO,PIEMONTE,WWW.DDPACCHIOTTI.GOV.IT,201718,"VIA VALFRE' 8, TORINO, Italia"
NORD OVEST,10126,L219,TOEE05100A,TOEE05100A,"D.D. TORINO - ""PELLICO""","D.D. TORINO - ""PELLICO""",NORMALE,TORINO,SCUOLA PRIMARIA,SI,Non Disponibile,TOEE05100A@istruzione.it,toee05100a@pec.istruzione.it,VIA MADAMA CRISTINA 102,TORINO,PIEMONTE,Non Disponibile,201718,"VIA MADAMA CRISTINA 102, TORINO, Italia"
NORD OVEST,10126,L219,TOEE05100A,TOEE05101B,"D.D. TORINO - ""PELLICO""",PELLICO,NORMALE,TORINO,SCUOLA PRIMARIA,NO,Non Disponibile,TOEE05100A@istruzione.it,Non Disponibile,VIA MADAMA CRISTINA 102,TORINO,PIEMONTE,WEB.TISCALI.IT/CIRCOLOPELLICO/,201718,"VIA MADAMA CRISTINA 102, TORINO, Italia"
NORD OVEST,10133,L219,TOEE05100A,TOEE05102C,"D.D. TORINO - ""PELLICO""",PELLICO-BALBIS GARRONE,NORMALE,TORINO,SCUOLA PRIMARIA,NO,Non Disponibile,TOEE05100A@istruzione.it,Non Disponibile,VIA NUOVA 2,TORINO,PIEMONTE,WEB.TISCALI.IT/CIRCOLOPELLICO/,201718,"VIA NUOVA 2, TORINO, Italia"
NORD OVEST,10133,L219,TOEE05100A,TOEE05104E,"D.D. TORINO - ""PELLICO""",PELLICO - PARATO,NORMALE,TORINO,SCUOLA PRIMARIA,NO,Non Disponibile,TOEE05100A@istruzione.it,Non Disponibile,VIA AQUILEIA 8,TORINO,PIEMONTE,WEB.TISCALI.IT/CIRCOLOPELLICO/,201718,"VIA AQUILEIA 8, TORINO, Italia"
NORD OVEST,10154,L219,TOMM32400G,TOCT70400G,CPIA 2 TORINO,C.T.P. DISTRETTO 6,NORMALE,TORINO,CENTRO TERRITORIALE,NO,Non Disponibile,TOMM32400G@istruzione.it,Non Disponibile,"VIA BOLOGNA, 153",TORINO,PIEMONTE,Non Disponibile,201718,"VIA BOLOGNA, 153, TORINO, Italia"
NORD OVEST,10152,L219,TOMM32400G,TOCT70500B,CPIA 2 TORINO,C.T.P. DISTRETTO 7,NORMALE,TORINO,CENTRO TERRITORIALE,NO,Non Disponibile,TOMM32400G@istruzione.it,Non Disponibile,"CORSO GIULIO CESARE, 26",TORINO,PIEMONTE,Non Disponibile,201718,"CORSO GIULIO CESARE, 26, TORINO, Italia"
NORD OVEST,10135,L219,TOMM32500B,TOCT706007,CPIA 3 TORINO,C.T.P. DISTRETTO 10,NORMALE,TORINO,CENTRO TERRITORIALE,NO,Non Disponibile,TOMM32500B@istruzione.it,Non Disponibile,"STRADA CASTELLO DI MIRAFIORI, 55",TORINO,PIEMONTE,Non Disponibile,201718,"STRADA CASTELLO DI MIRAFIORI, 55, TORINO, Italia"
NORD OVEST,10133,L219,TOEE05100A,TOEE05106L,"D.D. TORINO - ""PELLICO""",PELLICO - FIOCCARDO,NORMALE,TORINO,SCUOLA PRIMARIA,NO,Non Disponibile,TOEE05100A@istruzione.it,Non Disponibile,CORSO MONCALIERI 400,TORINO,PIEMONTE,WEB.TISCALI.IT/CIRCOLOPELLICO/,201718,"CORSO MONCALIERI 400, TORINO, Italia"
NORD OVEST,10155,L219,TOEE05600D,TOEE05600D,"D.D. TORINO - ""SABIN""","D.D. TORINO - ""SABIN""",NORMALE,TORINO,SCUOLA PRIMARIA,SI,Non Disponibile,TOEE05600D@istruzione.it,toee05600d@pec.istruzione.it,CORSO VERCELLI 157,TORINO,PIEMONTE,Non Disponibile,201718,"CORSO VERCELLI 157, TORINO, Italia"
NORD OVEST,10155,L219,TOEE05600D,TOEE05601E,"D.D. TORINO - ""SABIN""",A. SABIN,NORMALE,TORINO,SCUOLA PRIMARIA,NO,Non Disponibile,TOEE05600D@istruzione.it,Non Disponibile,CORSO VERCELLI 157,TORINO,PIEMONTE,www.ddsabin.it,201718,"CORSO VERCELLI 157, TORINO, Italia"
NORD OVEST,10155,L219,TOEE05600D,TOEE05602G,"D.D. TORINO - ""SABIN""",SABIN - EX MARCHESA,NORMALE,TORINO,SCUOLA PRIMARIA,NO,Non Disponibile,TOEE05600D@istruzione.it,Non Disponibile,CORSO VERCELLI 141/8,TORINO,PIEMONTE,www.ddsabin.it,201718,"CORSO VERCELLI 141/8, TORINO, Italia"
NORD OVEST,10137,L219,TOEE061001,TOEE061001,"D.D. TORINO - ""SINIGAGLIA""","D.D. TORINO - ""SINIGAGLIA""",NORMALE,TORINO,SCUOLA PRIMARIA,SI,Non Disponibile,TOEE061001@istruzione.it,toee061001@pec.istruzione.it,CORSO SEBASTOPOLI 258,TORINO,PIEMONTE,Non Disponibile,201718,"CORSO SEBASTOPOLI 258, TORINO, Italia"
NORD OVEST,10137,L219,TOEE061001,TOEE061012,"D.D. TORINO - ""SINIGAGLIA""",SINIGAGLIA,NORMALE,TORINO,SCUOLA PRIMARIA,NO,Non Disponibile,TOEE061001@istruzione.it,Non Disponibile,CORSO SEBASTOPOLI 258,TORINO,PIEMONTE,http://share.dschola.it/sinigaglia,201718,"CORSO SEBASTOPOLI 258, TORINO, Italia"
NORD OVEST,10136,L219,TOEE061001,TOEE061034,"D.D. TORINO - ""SINIGAGLIA""",SINIGAGLIA-MONTALE,NORMALE,TORINO,SCUOLA PRIMARIA,NO,Non Disponibile,TOEE061001@istruzione.it,Non Disponibile,"VIA A. NEGRI, 21",TORINO,PIEMONTE,http://share.dschola.it/sinigaglia,201718,"VIA A. NEGRI, 21, TORINO, Italia"
NORD OVEST,10141,L219,TOEE06400C,TOEE06400C,"D.D. TORINO - ""TOSCANINI""","D.D. TORINO - ""TOSCANINI""",NORMALE,TORINO,SCUOLA PRIMARIA,SI,Non Disponibile,TOEE06400C@istruzione.it,toee06400c@pec.istruzione.it,VIA TOFANE 28,TORINO,PIEMONTE,Non Disponibile,201718,"VIA TOFANE 28, TORINO, Italia"
NORD OVEST,10141,L219,TOEE065008,TOEE06503B,"D.D. TORINO - ""SALGARI""",SALGARI,NORMALE,TORINO,SCUOLA PRIMARIA,NO,Non Disponibile,TOEE065008@istruzione.it,Non Disponibile,VIA LUSSIMPICCOLO 36/A,TORINO,PIEMONTE,http://share.dschola.it/salgari,201718,"VIA LUSSIMPICCOLO 36/A, TORINO, Italia"
NORD OVEST,10137,L219,TOEE06900G,TOEE06900G,"D.D. TORINO - ""GOBETTI""","D.D. TORINO - ""GOBETTI""",NORMALE,TORINO,SCUOLA PRIMARIA,SI,Non Disponibile,TOEE06900G@istruzione.it,toee06900g@pec.istruzione.it,VIA ROMITA 19,TORINO,PIEMONTE,Non Disponibile,201718,"VIA ROMITA 19, TORINO, Italia"
NORD OVEST,10152,L219,TOIC8BD00X,TOAA8BD01R,I.C. ILARIA ALPI,I.C. ILARIA ALPI - PEREMPRUNER,NORMALE,TORINO,SCUOLA INFANZIA,NO,Non Disponibile,TOIC8BD00X@istruzione.it,Non Disponibile,"VIA BERSEZIO, 11",TORINO,PIEMONTE,http://share.dschola.it/alberti/ic/default.aspx,201718,"VIA BERSEZIO, 11, TORINO, Italia"
NORD OVEST,10152,L219,TOIC8BE00Q,TOAA8BE01L,I.C. TORINO  II,I.C. TORINO II - VIA BEINASCO,NORMALE,TORINO,SCUOLA INFANZIA,NO,Non Disponibile,TOIC8BE00Q@istruzione.it,Non Disponibile,VIA BEINASCO 34,TORINO,PIEMONTE,www.ictorino2.gov.it,201718,"VIA BEINASCO 34, TORINO, Italia"
NORD OVEST,Non Disponibile,L219,TOMM32300Q,TOCT714006,CPIA 1 TORINO,C.T.P. CARCERI,NORMALE,TORINO,CENTRO TERRITORIALE,NO,Non Disponibile,TOMM32300Q@istruzione.it,Non Disponibile,Non Disponibile,TORINO,PIEMONTE,Non Disponibile,201718,"Non Disponibile, TORINO, Italia"
NORD OVEST,10125,L219,TOMM32400G,TOCT71600T,CPIA 2 TORINO,C.T.P. DISTRETTO 1,NORMALE,TORINO,CENTRO TERRITORIALE,NO,Non Disponibile,TOMM32400G@istruzione.it,Non Disponibile,VIA BIDONE 11,TORINO,PIEMONTE,Non Disponibile,201718,"VIA BIDONE 11, TORINO, Italia"
NORD OVEST,10147,L219,TOEE00400R,TOEE00400R,"D.D. TORINO -  ""ALLIEVO""","D.D. TORINO -  ""ALLIEVO""",NORMALE,TORINO,SCUOLA PRIMARIA,SI,Non Disponibile,TOEE00400R@istruzione.it,toee00400r@pec.istruzione.it,VIA VIBO' 62,TORINO,PIEMONTE,Non Disponibile,201718,"VIA VIBO' 62, TORINO, Italia"
NORD OVEST,10141,L219,TOEE06400C,TOEE06401D,"D.D. TORINO - ""TOSCANINI""",TOSCANINI,NORMALE,TORINO,SCUOLA PRIMARIA,NO,Non Disponibile,TOEE06400C@istruzione.it,Non Disponibile,VIA TOFANE 28,TORINO,PIEMONTE,WWW.DIREZIONEDIDATTICATOSCANINI.IT,201718,"VIA TOFANE 28, TORINO, Italia"
NORD OVEST,10142,L219,TOEE06400C,TOEE06403G,"D.D. TORINO - ""TOSCANINI""",TOSCANINI-DAL PIAZ,NORMALE,TORINO,SCUOLA PRIMARIA,NO,Non Disponibile,TOEE06400C@istruzione.it,Non Disponibile,VIA D' ALBERTIS 22,TORINO,PIEMONTE,WWW.DIREZIONEDIDATTICATOSCANINI.IT,201718,"VIA D' ALBERTIS 22, TORINO, Italia"
NORD OVEST,10141,L219,TOEE065008,TOEE065008,"D.D. TORINO - ""SALGARI""","D.D. TORINO - ""SALGARI""",NORMALE,TORINO,SCUOLA PRIMARIA,SI,Non Disponibile,TOEE065008@istruzione.it,toee065008@pec.istruzione.it,VIA LUSSIMPICCOLO 36/A,TORINO,PIEMONTE,Non Disponibile,201718,"VIA LUSSIMPICCOLO 36/A, TORINO, Italia"
NORD OVEST,10141,L219,TOEE065008,TOEE065019,"D.D. TORINO - ""SALGARI""",SALGARI-VIA BERTA,NORMALE,TORINO,SCUOLA PRIMARIA,NO,Non Disponibile,TOEE065008@istruzione.it,Non Disponibile,VIA BERTA 15,TORINO,PIEMONTE,http://share.dschola.it/salgari,201718,"VIA BERTA 15, TORINO, Italia"
NORD OVEST,10147,L219,TOEE00400R,TOEE004041,"D.D. TORINO -  ""ALLIEVO""",ALLIEVO-FRANCHETTI,NORMALE,TORINO,SCUOLA PRIMARIA,NO,Non Disponibile,TOEE00400R@istruzione.it,Non Disponibile,VIA RANDACCIO 60,TORINO,PIEMONTE,www.circolodidatticoallievotorino.gov.it,201718,"VIA RANDACCIO 60, TORINO, Italia"
