WKT_GEOM;ID_POSTA;DENOMINAZ;INDIRIZZO;CIRCOSCRIZ;CAP;CITTA;TELEFONO;FAX;EMAIL;URL;TURNO;ORARIO;COORD_X;COORD_Y
POINT (1393312.688 4995663.302);70;TORINO 74;CORSO GROSSETO 425;5;10151;TORINO;011/4074555;011/4074581;;http://www.poste.it/ufficio-postale/;DOPPIO TURNO;"Dal Lunedi' al Venerdi' 8:20-19:05; Sabato 8:20-12:35";1393312,688;4995663,302
POINT (1390997.72 4988004.835);76;POSTEIMPRESA TORINO;CORSO ENRICO TAZZOLI 235 int. 4;2;10137;TORINO;011/3144062;011/3144253;;http://www.poste.it/ufficio-postale/;DOPPIO TURNO;"Dal Lunedi' al Venerdi' 9:00-19:00; Sabato CHIUSO";1390997,72;4988004,835
POINT (1397605.12756794 4993143.63126833);78;TORINO 58;VIA TERNENGO 0/E;6;10154;TORINO;011/851396;011/2474310;;http://www.poste.it/ufficio-postale/;MONO TURNO;"Dal Lunedi' al Venerdi' 8:20-13:35; Sabato 8:20-12:35";1397605,12756794;4993143,63126833
POINT (1396097.355 4991383.628);80;POSTEIMPRESA TORINO 1;VIA ARSENALE 13 bis;1;10121;TORINO;011/5060052;011/5060031;;http://www.poste.it/ufficio-postale/;DOPPIO TURNO;"Dal Lunedi' al Venerdi' 9:00-19:00; Sabato CHIUSO";1396097,355;4991383,628
POINT (1395316.53 4991259.641);81;POSTEIMPRESA TORINO 2;VIA AMEDEO AVOGADRO 6/E;1;10121;TORINO;011/5604532;011/5620567;;http://www.poste.it/ufficio-postale/;DOPPIO TURNO;"Dal Lunedi' al Venerdi' 9:00-19:00; Sabato CHIUSO";1395316,53;4991259,641
POINT (1394518.98 4991614.74);13;TORINO 21;CORSO VITTORIO EMANUELE II 130;3;10138;TORINO;011/4344602;011/4332237;;http://www.poste.it/ufficio-postale/;MONO TURNO;"Dal Lunedi' al Venerdi' 8:20-13:35; Sabato 8:20-12:35";1394518,98;4991614,74
POINT (1394631.145 4990725.238);19;TORINO 27;VIA ENRICO D'OVIDIO 8;1;10129;TORINO;011/534185;011/534078;;http://www.poste.it/ufficio-postale/;MONO TURNO;"Dal Lunedi' al Venerdi' 8:20-13:35; Sabato 8:20-12:35";1394631,145;4990725,238
POINT (1393768.534 4994757.813);23;TORINO 30;VIA FOGLIZZO 28;5;10149;TORINO;011/4540431;011/7390866;;http://www.poste.it/ufficio-postale/;DOPPIO TURNO;"Dal Lunedi' al Venerdi' 8:20-19:05; Sabato 8:20-12:35";1393768,534;4994757,813
POINT (1395098.799 4986984.346);27;TORINO 34;VIA GENOVA 113;8;10126;TORINO;011/6929931;011/6308929;;http://www.poste.it/ufficio-postale/;DOPPIO TURNO;"Dal Lunedi' al Venerdi' 8:20-19:05; Sabato 8:20-12:35";1395098,799;4986984,346
POINT (1400334.519 4992586.354);30;TORINO 37;STRADA MONGRENO 15;7;10132;TORINO;011/8995202;011/8902952;;http://www.poste.it/ufficio-postale/;MONO TURNO;"Dal Lunedi' al Venerdi' 8:20-13:35; Sabato 8:20-12:35";1400334,519;4992586,354
POINT (1397149.976 4993039.038);33;TORINO 4;CORSO PALERMO 55;7;10152;TORINO;011/2448831;011/2488720;;http://www.poste.it/ufficio-postale/;MONO TURNO;"Dal Lunedi' al Venerdi' 8:20-13:35; Sabato 8:20-12:35";1397149,976;4993039,038
POINT (1397555.408 4994206.692);37;TORINO 43;VIA GASPARE SPONTINI 23;6;10154;TORINO;011/855540;011/851085;;http://www.poste.it/ufficio-postale/;MONO TURNO;"Dal Lunedi' al Venerdi' 8:20-13:35; Sabato 8:20-12:35";1397555,408;4994206,692
POINT (1392388.112 4992758.323);40;TORINO 46;VIA VALENTINO CARRERA 47;4;10146;TORINO;011/728083;011/796577;;http://www.poste.it/ufficio-postale/;MONO TURNO;"Dal Lunedi' al Venerdi' 8:20-13:35; Sabato 8:20-12:35";1392388,112;4992758,323
POINT (1395218.617 4994751.066);43;TORINO 49;PIAZZA LUIGI MATTIROLO 10;5;10149;TORINO;011/251754;011/2216036;;http://www.poste.it/ufficio-postale/;MONO TURNO;"Dal Lunedi' al Venerdi' 8:20-13:35; Sabato 8:20-12:35";1395218,617;4994751,066
POINT (1398471.658 4997951.175);46;TORINO 51;VIALE FALCHERA 80;6;10156;TORINO;011/2620956;011/2625253;;http://www.poste.it/ufficio-postale/;MONO TURNO;"Dal Lunedi' al Venerdi' 8:20-13:35; Sabato 8:20-12:35";1398471,658;4997951,175
POINT (1396641.812 4987032.59);49;TORINO 54;VIA ALLA PARROCCHIA 3;8;10133;TORINO;011/6612319;011/6312685;;http://www.poste.it/ufficio-postale/;MONO TURNO;"Dal Lunedi' al Venerdi' 8:20-13:35; Sabato 8:20-12:35";1396641,812;4987032,59
POINT (1394562.508 4996042.601);52;TORINO 57;VIA VENARIA 69;5;10148;TORINO;011/2264468;011/2206909;;http://www.poste.it/ufficio-postale/;MONO TURNO;"Dal Lunedi' al Venerdi' 8:20-13:35; Sabato 8:20-12:35";1394562,508;4996042,601
POINT (1391941.23 4988268.018);59;TORINO 63;VIA PAOLO GAIDANO 12;2;10137;TORINO;011/3158831;011/306658;;http://www.poste.it/ufficio-postale/;DOPPIO TURNO;"Dal Lunedi' al Venerdi' 8:20-19:05; Sabato 8:20-12:35";1391941,23;4988268,018
POINT (1394632.432 4988955.464);65;TORINO 69;CORSO UNIONE SOVIETICA 79;8;10134;TORINO;011/3186130;011/3187761;;http://www.poste.it/ufficio-postale/;MONO TURNO;"Dal Lunedi' al Venerdi' 8:20-13:35; Sabato 8:20-12:35";1394632,432;4988955,464
POINT (1390633.992 4986224.605);71;TORINO 75;VIA CELESTE NEGARVILLE 8 int. 26;2;10135;TORINO;011/3471169;011/3473801;;http://www.poste.it/ufficio-postale/;MONO TURNO;"Dal Lunedi' al Venerdi' 8:20-13:35; Sabato 8:20-12:35";1390633,992;4986224,605
POINT (1396123.286 4991358.891);75;TORINO CENTRO;VIA VITTORIO ALFIERI 10;1;10121;TORINO;011/5060286;011/5060012;;http://www.poste.it/ufficio-postale/;DOPPIO TURNO;"Dal Lunedi' al Venerdi' 8:20-19:05; Sabato 8:20-12:35";1396123,286;4991358,891
POINT (1396266.705 4994777.97);66;TORINO 7;VIA BREGLIO 37/A;5;10147;TORINO;011/210996;011/250010;;http://www.poste.it/ufficio-postale/;MONO TURNO;"Dal Lunedi' al Venerdi' 8:20-13:35; Sabato 8:20-12:35";1396266,705;4994777,97
POINT (1392792.046 4989352.53);72;TORINO 77;VIA BARLETTA 105;2;10136;TORINO;011/3601313;011/351050;;http://www.poste.it/ufficio-postale/;MONO TURNO;"Dal Lunedi' al Venerdi' 8:20-13:35; Sabato 8:20-12:35";1392792,046;4989352,53
POINT (1395881.183 4992230.413);20;TORINO 28;VIA BLIGNY 8;1;10122;TORINO;011/5229432;011/4368767;;http://www.poste.it/ufficio-postale/;DOPPIO TURNO;"Dal Lunedi' al Venerdi' 8:20-19:05; Sabato 8:20-12:35";1395881,183;4992230,413
POINT (1395125.588 4995140.294);24;TORINO 31;VIA STRADELLA 197/F;5;10147;TORINO;011/2266810;011/2205830;;http://www.poste.it/ufficio-postale/;MONO TURNO;"Dal Lunedi' al Venerdi' 8:20-13:35; Sabato 8:20-12:35";1395125,588;4995140,294
POINT (1392027.22 4991777.383);28;TORINO 35;VIA LUIGI FERDINANDO MARSIGLI 22;3;10141;TORINO;011/7796831;011/7796803;;http://www.poste.it/ufficio-postale/;DOPPIO TURNO;"Dal Lunedi' al Venerdi' 8:20-19:05; Sabato 8:20-12:35";1392027,22;4991777,383
POINT (1393699.283 4990873.413);32;TORINO 39;VIA VILLARBASSE 39;3;10141;TORINO;011/3352736;011/3821968;;http://www.poste.it/ufficio-postale/;MONO TURNO;"Dal Lunedi' al Venerdi' 8:20-13:35; Sabato 8:20-12:35";1393699,283;4990873,413
POINT (1390596.748 4991743.843);38;TORINO 44;VIA ADAMELLO 85;3;10142;TORINO;011/4114883;011/4035052;;http://www.poste.it/ufficio-postale/;MONO TURNO;"Dal Lunedi' al Venerdi' 8:20-13:35; Sabato 8:20-12:35";1390596,748;4991743,843
POINT (1393666.766 4985757.324);42;TORINO 48;VIA ONORATO VIGLIANI 144;2;10127;TORINO;011/6056559;011/6064662;;http://www.poste.it/ufficio-postale/;MONO TURNO;"Dal Lunedi' al Venerdi' 8:20-13:35; Sabato 8:20-12:35";1393666,766;4985757,324
POINT (1391635.628 4990911.261);47;TORINO 52;VIA VILLA GIUSTI 7;3;10142;TORINO;011/704817;011/7071823;;http://www.poste.it/ufficio-postale/;MONO TURNO;"Dal Lunedi' al Venerdi' 8:20-13:35; Sabato 8:20-12:35";1391635,628;4990911,261
POINT (1400261.038 4994936.268);51;TORINO 56;VIA DAMIANO CHIESA 67;6;10156;TORINO;011/2730131;011/2731246;;http://www.poste.it/ufficio-postale/;MONO TURNO;"Dal Lunedi' al Venerdi' 8:20-13:35; Sabato 8:20-12:35";1400261,038;4994936,268
POINT (1396208.672 4993887.084);60;TORINO 64;VIA PARELLA 5;6;10155;TORINO;011/857642;011/2473209;;http://www.poste.it/ufficio-postale/;MONO TURNO;"Dal Lunedi' al Venerdi' 8:20-13:35; Sabato 8:20-12:35";1396208,672;4993887,084
POINT (1397652.599 4994715.714);68;TORINO 71;VIA NICOLA PORPORA 51;6;10154;TORINO;011/2425929;011/2053481;;http://www.poste.it/ufficio-postale/;MONO TURNO;"Dal Lunedi' al Venerdi' 8:20-13:35; Sabato 8:20-12:35";1397652,599;4994715,714
POINT (1395893.94 4990808.689);77;TORINO PORTA NUOVA;VIA PAOLO SACCHI 2;1;10128;TORINO;011/5668431;011/5613236;;http://www.poste.it/ufficio-postale/;DOPPIO TURNO;"Dal Lunedi' al Venerdi' 8:20-19:05; Sabato 8:20-12:35";1395893,94;4990808,689
POINT (1391572.708 4986274.92);64;TORINO 68;VIA POMARETTO 4 scala B;2;10135;TORINO;011/3978735;011/3913187;;http://www.poste.it/ufficio-postale/;MONO TURNO;"Dal Lunedi' al Venerdi' 8:20-13:35; Sabato 8:20-12:35";1391572,708;4986274,92
POINT (1397255.045 4990342.873);73;TORINO 8;CORSO MONCALIERI 19;8;10131;TORINO;+390116604477;+390116603479;;http://www.poste.it/ufficio-postale/;MONO TURNO;"Dal Lunedi' al Venerdi' 8:20-13:35; Sabato 8:20-12:35";1397255,045;4990342,873
POINT (1395083.312 4987616.431);79;TORINO 59;VIA NIZZA 230;8;10126;TORINO;011/6643277;011/6643276;;http://www.poste.it/ufficio-postale/;MONO TURNO;"Dal Lunedi' al Venerdi' 8:20-13:35; Sabato 8:20-12:35";1395083,312;4987616,431
POINT (1397208.491 4994230.863);82;POSTEIMPRESA TORINO 3;VIA VERRES 1;6;10155;TORINO;011/856719;011/856858;;http://www.poste.it/ufficio-postale/;DOPPIO TURNO;"Dal Lunedi' al Venerdi' 9:00-19:00; Sabato CHIUSO";1397208,491;4994230,863
POINT (1393287.074 4988204.772);16;TORINO 24;VIA FELICE BRICCARELLO 2;2;10137;TORINO;011/353571;011/3290637;;http://www.poste.it/ufficio-postale/;MONO TURNO;"Dal Lunedi' al Venerdi' 8:20-13:35; Sabato 8:20-12:35";1393287,074;4988204,772
