WKT_GEOM;ID_TIPOPTO;DENOMINAZ;INDIRIZZO;CIRCOSCRIZ;CAP;CITTA;TELEFONO;FAX;EMAIL;URL;LUOGO;COORD_X;COORD_Y
POINT (1396465.028 4991409.321);59;Museo delle Antichita' Egizie;VIA ACCADEMIA DELLE SCIENZE 6;1;10123;TORINO;011 5617776;;info@museoegizio.it;http://www.museoegizio.it/;;1396465,028;4991409,321
POINT (1397157.283 4991170.376);60;Museo delle Arti Decorative - Fondazione Accorsi - Ometto;VIA PO 55;1;10124;TORINO;011837688 interno 3;011 8154061;info@fondazioneaccorsi-ometto.it;www.fondazioneaccorsi-ometto.it;;1397157,283;4991170,376
POINT (1396119.529 4989309.692);61;Museo di Anatomia Umana Luigi Rolando;CORSO MASSIMO D'AZEGLIO 52;8;10126;TORINO;011 6707883;011 6705931;museo.anatomia@unito.it;www.museounito.it;;1396119,529;4989309,692
POINT (1396605.978 4991882.779);62;Museo di Antichita' -  Museo Archeologico Nazionale del Piemonte;PIAZZETTA REALE 1;1;10122;TORINO;011 5211106 - 011 5212251;;sar-pie.museoantichita@beniculturali.it;http://museoarcheologico.piemonte.beniculturali.it;;1396605,978;4991882,779
POINT (1396053.857 4989344.933);63;Museo di Antropologia Criminale Cesare Lombroso;VIA PIETRO GIURIA 15;8;10126;TORINO;011 6708195;011 6705931;museo.lombroso@unito.it;www.museounito.it;;1396053,857;4989344,933
POINT (1396698.359 4990937.482);64;Museo di Antropologia ed Etnografia dell'Universita' di Torino;VIA ACCADEMIA ALBERTINA 17;1;10123;TORINO;;011 6705931;museo.antropologia@unito.it;www.museounito.it;Il Museo è chiuso. Per infomazioni e-mail: museo.antropologia@unito.it;1396698,359;4990937,482
POINT (1397823.163 4989779.149);65;Museo di Storia Naturale Don Bosco e delle Apparecchiature Scientifiche;VIALE ENRICO THOVEZ 37;8;10131;TORINO;011 6300611-629;011 6300605;museo@liceovalsalice.it;http://liceovalsalice.it/museo-di-storia-naturale-don-bosco/;;1397823,163;4989779,149
POINT (1395665.877 4992247.425);66;Museo Diffuso della Resistenza, della Deportazione, della Guerra, dei Diritti e della Liberta';CORSO VALDOCCO 4/A;1;10122;TORINO;011 4420780;011 4362034;info@museodiffusotorino.it;http://www.museodiffusotorino.it;;1395665,877;4992247,425
POINT (1396451.206 4990674.133);67;Museo Diocesano;VIA S. FRANCESCO DA PAOLA 37/E;1;10123;TORINO;011 5156408;011 5156409;museodiocesano@diocesi.torino.it;http://www.museodiocesanotorino.it/;c/o Chiesa Inferiore Della Cattedrale (Cripta Del Duomo);1396451,206;4990674,133
POINT (1394955.449 4992727.056);68;Museo Francesco Faa' di Bruno;VIA S. DONATO 31;4;10144;TORINO;011 489145;;centrostudi@faadibruno.it;http://www.comune.torino.it/musei/elenco/santisociali.shtml;C/o Istituto Suore Minime di N. S. del Suffragio;1394955,449;4992727,056
POINT (1397131.128 4991467.001);69;Museo Nazionale del Cinema;VIA MONTEBELLO 20/A;1;10124;TORINO;011 8138563;;prenotazioni@museocinema.it;http://www.museocinema.it;;1397131,128;4991467,001
POINT (1396521.264 4991488.894);70;Museo Nazionale del Risorgimento Italiano;VIA ACCADEMIA DELLE SCIENZE 5;1;10123;TORINO;011 5621147;011 5624695;info@museorisorgimentotorino.it;www.museorisorgimentotorino.it;c/o Palazzo Carignano;1396521,264;4991488,894
POINT (1397450.794 4990423.365);71;Museo Nazionale della Montagna Duca degli Abruzzi;PIAZZALE MONTE DEI CAPPUCCINI 7;8;10131;TORINO;011 6604104;011 6604622;posta@museomontagna.org;http://www.museomontagna.org;;1397450,794;4990423,365
POINT (1395593.741 4987322.61);72;Museo Nazionale dell'Automobile - Carlo Biscaretti di Ruffia;CORSO UNITA' D'ITALIA 40;8;10126;TORINO;011 677666;011 6647148;info@museoauto.it;http://www.museoauto.it/;;1395593,741;4987322,61
POINT (1396791.448 4990988.944);73;Museo Olimpico Torino 2006;VIA GIOVANNI GIOLITTI 36;1;10123;TORINO;;;;;Chiuso - Informazioni in fase di aggiornamento;1396791,448;4990988,944
POINT (1396791.448 4990988.944);74;Museo Regionale di Scienze Naturali;VIA GIOVANNI GIOLITTI 36;1;10123;TORINO;800 329329;;museo.mrsn@regione.piemonte.it;http://www.mrsntorino.it/;Il museo è CHIUSO per lavori di adeguamento.;1396791,448;4990988,944
POINT (1395616.571 4991711.102);75;Museo Storico Nazionale dell'Artiglieria;CORSO GALILEO FERRARIS 0;1;10121;TORINO;011 5629223;;;http://www.artiglieria.org/;Il Museo è temporaneamente chiuso per restauri.;1395616,571;4991711,102
POINT (1394713.67 4990777.975);76;MAP - Museo Archivio Politecnico (CEMED);CORSO DUCA DEGLI ABRUZZI 24;1;10129;TORINO;011 4330550;;infomap@polito.it;http://areeweb.polito.it/strutture/cemed/001/Index2.htm;;1394713,67;4990777,975
POINT (1396572.248 4989956.313);77;Orto Botanico;VIALE PIER ANDREA MATTIOLI 25;8;10125;TORINO;011 6705970 - 011 6705976 ;011 6705962;consolata.siniscalco@unito.it - daniela.bouvet@unito.it;www.ortobotanico.unito.it;;1396572,248;4989956,313
POINT (1396320.14 4991071.78);78;Palazzo Cavour;VIA CAVOUR 8;1;10123;TORINO;338.69.65.103;;;http://www.palazzo-cavour.com/arte-cultura.html;;1396320,14;4991071,78
POINT (1396026.194 4992123.537);79;Palazzo Falletti di Barolo - Appartamenti Storici;VIA DELLE ORFANE 7;1;10122;TORINO;011 2636111;;;http://www.operabarolo.it/it/p-119/palazzo-barolo/palazzo-barolo;;1396026,194;4992123,537
POINT (1396605.978 4991882.779);80;Palazzo Reale;PIAZZETTA REALE 1;1;10122;TORINO;011 4361455;011 4361557;sbap-to.reale@beniculturali.it ;http://www.ilpalazzorealeditorino.it/;;1396605,978;4991882,779
POINT (1394809.12798012 4988724.26782808);81;PAV - Parco d'Arte Vivente;VIA BRUNO GIORDANO 31;8;10134;TORINO;011 3182235;;info@parcoartevivente.it;http://www.parcoartevivente.it;;1394809,12798012;4988724,26782808
POINT (1396860.202 4991274.692);82;Pinacoteca della Accademia Albertina di Belle Arti;VIA ACCADEMIA ALBERTINA 8;1;10123;TORINO;011 0897370;;pinacoteca.albertina@copatitalia.com;http://www.accademialbertina.torino.it/index.php/pinacoteca;;1396860,202;4991274,692
POINT (1395083.312 4987616.431);83;Pinacoteca Giovanni e Marella Agnelli;VIA NIZZA 230;8;10126;TORINO;011 0062713;;segreteria@pinacoteca-agnelli.it;http://www.pinacoteca-agnelli.it;;1395083,312;4987616,431
POINT (1398202.996 4990091.642);84;Villa della Regina;STRADA S. MARGHERITA 29/A;8;10131;TORINO;011 5641711;011 549547;sbeap-to.artistici@beniculturali.it - sbeap-al.artistici@beniculturali.it;http://www.artito.arti.beniculturali.it/museum.php?museum=4;;1398202,996;4990091,642
