WKT_GEOM;ID_CHIESA;FK_TIPO_CH;TIPO_CHIES;DENOMINAZ;INDIRIZZO;CITTA;CAP;CIRCOSCRIZ;TELEFONO;FAX;EMAIL;URL;ZONA_VICAR;UNITA_PAST;PARROCCO;CONFESSION;ORARIO;COD_DIOCES;ABIT_PARRO;NOM_U_PAST;COORD_X;COORD_Y
POINT (1392884.347 4988930.511);32;1;PARROCCHIALE;Maria Madre della Chiesa;VIA BALTIMORA 85;TORINO;10137;2;011 366908;011 3270617;mmc_baltimora@email.it;http://www.parrocchie.it/torino/mariamadredellachiesa;8;17;MOLGORA don Enrico;Chiesa Cattolica;;32;7980;Unita' Pastorale N.17 - Santa Rita;1392884,347;4988930,511
POINT (1393003.116 4989677.873);33;1;PARROCCHIALE;Maria Madre di Misericordia;VIA ADA NEGRI 22;TORINO;10136;2;011 369157;;parrocchia@madremisericordia.it;http://www.madremisericordia.it;8;18;ANDREIS don Quintino;Chiesa Cattolica;;33;10000;Unita' Pastorale N.18 - S.Ignazio;1393003,116;4989677,873
POINT (1396961.715 4994576.463);36;1;PARROCCHIALE;Maria Speranza Nostra;VIA CERESOLE 44;TORINO;10155;6;011 2424739;;;http://www4.diocesi.torino.it/schede/parr036.htm;7;14;MSUMANGE padre Godfrey Poertphal Alois;Chiesa Cattolica;;36;17150;Unita' Pastorale N.14 - Barriera di Milano;1396961,715;4994576,463
POINT (1392982.15 4988365.695);37;1;PARROCCHIALE;Natale del Signore;VIA BOSTON 37;TORINO;10137;2;011 352013;011 3247476;parr.santo.natale@diocesi.torino.it;http://parrocchie.diocesi.torino.it/parr037/;8;17;CHIABRANDO don Romolo;Chiesa Cattolica;;37;17970;Unita' Pastorale N.17 - Santa Rita;1392982,15;4988365,695
POINT (1390704.173 4991910.192);39;1;PARROCCHIALE;Nostra Signora del Sacro Cuore di Gesu';VIA ANASTASIO GERMONIO 27;TORINO;10142;3;011 4115573;011 4032800;;http://www4.diocesi.torino.it/schede/parr039.htm;3;7;BERTOCCO don Dario;Chiesa Cattolica;;39;9020;Unita' Pastorale N.07 - Murialdo;1390704,173;4991910,192
POINT (1397807.154 4994774.122);43;1;PARROCCHIALE;Risurrezione del Signore;VIA MONTE ROSA 150;TORINO;10154;6;011 200078;;;http://www.oratorioresu.it/;7;15;PICCOTTINO don Carlo S.D.B.;Chiesa Cattolica;;43;7500;Unita' Pastorale N.15 - Rebaudengo-Falchera;1397807,154;4994774,122
POINT (1397145.097 4990105.888);44;1;PARROCCHIALE;S. Agnese Vergine e Martire;VIA VOLTURNO 2;TORINO;10133;8;011 6602148;;;http://www4.diocesi.torino.it/schede/parr046.htm;10;22;MARCHESI don Giovanni;Chiesa Cattolica;;46;3900;Unita' Pastorale N.22 - Cavoretto;1397145,097;4990105,888
POINT (1395542.664 4991899);50;1;PARROCCHIALE;S. Barbara Vergine e Martire;VIA ETTORE PERRONE 11;TORINO;10122;1;011 546185;011 548277;;http://www4.diocesi.torino.it/schede/parr052.htm;1;1;GAUDE don Pier Giuseppe;Chiesa Cattolica;;52;8000;Unita' Pastorale N.01 - Cattedrale;1395542,664;4991899
POINT (1392583.651 4991387.843);51;1;PARROCCHIALE;S. Benedetto Abate;VIA LORENZO DELLEANI 24;TORINO;10141;3;011 389376;011 389376;parr.s.benedetto@diocesi.it;http://www4.diocesi.torino.it/schede/parr053.htm;3;6;MARESCOTTI don Paolo;Chiesa Cattolica;;53;8300;Unita' Pastorale N.06 - Pozzo Strada;1392583,651;4991387,843
POINT (1396235.434 4991239.818);53;1;PARROCCHIALE;S. Carlo Borromeo;PIAZZA (COMITATO LIBERAZIONE NAZIONALE) C.L.N. 236 bis;TORINO;10121;1;011 5620922;011 5064539;;http://www4.diocesi.torino.it/schede/parr055.htm;1;2;AZZARIO padre Mario M. O.S.M.;Chiesa Cattolica;;55;2215;Unita' Pastorale N.02 - S.Massimo;1396235,434;4991239,818
POINT (1393133.501 4995233.641);54;1;PARROCCHIALE;S. Caterina da Siena;VIA ANDREA SANSOVINO 85;TORINO;10151;5;011 731750;011 731750;;http://www4.diocesi.torino.it/schede/parr056.htm;5;11;CASETTA don Renato Maria;Chiesa Cattolica;;56;7200;Unita' Pastorale N.11 - Lucento;1393133,501;4995233,641
POINT (1397842.292 4993951.445);56;1;PARROCCHIALE;S. Domenico Savio;VIA GIOVANNI PAISIELLO 37;TORINO;10154;6;011 2304112;011 2304167;parrocchia@michelerua.it;http://www.michelerua.it/parrocchia.htm;7;14;CATTANE don Giovanni S.D.B.;Chiesa Cattolica;;59;12000;Unita' Pastorale N.14 - Barriera di Milano;1397842,292;4993951,445
POINT (1393450.995 4990140.553);59;1;PARROCCHIALE;S. Francesco di Sales;VIA MALTA 42;TORINO;10141;3;011 337462;011 337462;;http://www.diocesi.torino.it/parr063;3;5;AVATANEO don Giacomo;Chiesa Cattolica;;63;6500;Unita' Pastorale N.05 - S.Paolo;1393450,995;4990140,553
POINT (1398783.947 4993751.169);60;1;PARROCCHIALE;S. Gaetano da Thiene;VIA S. GAETANO THIENE 2;TORINO;10154;6;011 202349;;;http://www4.diocesi.torino.it/schede/parr064.htm;6;16;TENDERINI don Secondo;Chiesa Cattolica;;64;6250;Unita' Pastorale N.16 - Santa Croce;1398783,947;4993751,169
POINT (1393090.807 4992950.623);64;1;PARROCCHIALE;S. Giovanna d'Arco;VIA BORGOMANERO 50;TORINO;10145;4;011 7496196;011 7496196;santagiovanna@libero.it;http://www4.diocesi.torino.it/schede/parr068.htm;4;10;TURELLA don Giovanni;Chiesa Cattolica;;68;8500;Unita' Pastorale N.10 - Parella;1393090,807;4992950,623
POINT (1396473.64 4991929.615);65;1;PARROCCHIALE;S. Giovanni Battista - Cattedrale Metropolitana;VIA VENTI SETTEMBRE 87;TORINO;10122;1;011 4361540;011 4360790;;http://www4.diocesi.torino.it/schede/parr001.htm;1;1;FRANCO can. Carlo;Chiesa Cattolica;;1;5500;Unita' Pastorale N.01 - Cattedrale;1396473,64;4991929,615
POINT (1393205.056 4986234.564);67;1;PARROCCHIALE;S. Giovanni Maria Vianney;VIA GIULIO GIANELLI 8;TORINO;10135;8;011 3171120;;parr.vianney@diocesi.torino.it;http://www.parrocchiavianney.it;9;21;ROLANDO don Ester;Chiesa Cattolica;;70;13750;Unita' Pastorale N.21 - Lingotto;1393205,056;4986234,564
POINT (1397673.545 4991578.762);68;1;PARROCCHIALE;S. Giulia Vergine e Martire;PIAZZA S. GIULIA 7 bis;TORINO;10124;7;011 8178863;011 8158314;parr.s.giulia@libero.it;http://www.parrocchiasantagiulia.com/ ;6;2;SOLDI don Primo;Chiesa Cattolica;;71;11000;Unita' Pastorale N.02 - S.Massimo;1397673,545;4991578,762
POINT (1394649.036 4994807.866);70;1;PARROCCHIALE;S. Giuseppe Benedetto Cottolengo;VIA ANGELO MESSEDAGLIA 21;TORINO;10149;5;011 290992;011 2211780;parr.cottolengo@diocesi.torino.it;http://www.diocesi.torino.it/parr073;5;12;PROVERA don Roberto S.S.C.;Chiesa Cattolica;;73;19000;Unita' Pastorale N.12 - Santo Volto;1394649,036;4994807,866
POINT (1397500.2 4995540.918);72;1;PARROCCHIALE;S. Giuseppe Lavoratore;CORSO VERCELLI 206;TORINO;10155;6;011 2463294;;parr.s.giuseppe@diocesi.torino.it;http://www4.diocesi.torino.it/schede/parr075.htm;7;15;RECLUTA don Livio S.D.B.;Chiesa Cattolica;;75;12050;Unita' Pastorale N.15 - Rebaudengo-Falchera;1397500,2;4995540,918
POINT (1392344.89 4989811.096);75;1;PARROCCHIALE;S. Ignazio di Loyola;VIA MONFALCONE 152;TORINO;10136;2;011 3290305;011 3585625;parr.s.ignazio@diocesi.torino.it;http://www.diocesi.torino.it/parr078;8;18;PASTRANO don Marco;Chiesa Cattolica;;78;6000;Unita' Pastorale N.18 - S.Ignazio;1392344,89;4989811,096
POINT (1393056.642 4986748.05);78;1;PARROCCHIALE;S. Marco Evangelista;VIA EDOARDO DANEO 19;TORINO;10135;8;011 612714;;;http://www4.diocesi.torino.it/schede/parr081.htm;9;21;SARZINI don Franco;Chiesa Cattolica;;81;4550;Unita' Pastorale N.21 - Lingotto;1393056,642;4986748,05
POINT (1399141.542 4989562.449);79;1;PARROCCHIALE;S. Margherita Vergine e Martire;STRADA S. VINCENZO 146;TORINO;10131;8;011 8194320;;;http://www4.diocesi.torino.it/schede/parr082.htm;10;23;GOTTARDO don Roberto;Chiesa Cattolica;;82;3000;Unita' Pastorale N.23 - Sassi;1399141,542;4989562,449
POINT (1403058.526 4992437.219);80;1;PARROCCHIALE;S. Maria di Superga;STRADA ALLA PARROCCHIA DI SOPERGA 106;TORINO;10132;7;011 890083;;;http://www4.diocesi.torino.it/schede/parr083.htm;10;23;AUDISIO don Stefano;Chiesa Cattolica;;;;Unita' Pastorale N.23 - Sassi;1403058,526;4992437,219
POINT (1395081.837 4987235.15);84;1;PARROCCHIALE;S. Monica;VIA VADO 9;TORINO;10126;8;011 6636714;;parr.s.monica@diocesi.torino.it;http://www.diocesi.torino.it/parr087;9;21;D'ARIA don Daniele;Chiesa Cattolica;;87;5300;Unita' Pastorale N.21 - Lingotto;1395081,837;4987235,15
POINT (1398970.002 4994403.074);85;1;PARROCCHIALE;S. Nicola Vescovo;VIA SANDRO BOTTICELLI 219;TORINO;10154;6;011 2050056;;;http://www4.diocesi.torino.it/schede/parr088.htm;6;16;TENDERINI don Secondo;Chiesa Cattolica;;88;3410;Unita' Pastorale N.16 - Santa Croce;1398970,002;4994403,074
POINT (1398585.978 4997829.08);89;1;PARROCCHIALE;S. Pio X;VIA DEI PIOPPI 15;TORINO;10156;6;011 2620827;;;http://www4.diocesi.torino.it/schede/parr092.htm;7;15;MONTANELLI don Adelino;Chiesa Cattolica;;92;3370;Unita' Pastorale N.15 - Rebaudengo-Falchera;1398585,978;4997829,08
POINT (1393446.156 4988947.687);91;1;PARROCCHIALE;S. Rita da Cascia;VIA GIUSEPPE VERNAZZA 38;TORINO;10136;2;011 3290169;011 3290160;parr.s.rita@diocesi.torino.it;http://www.santaritatorino.it;8;17;BIROLO don Leonardo;Chiesa Cattolica;;94;22300;Unita' Pastorale N.17 - Santa Rita;1393446,156;4988947,687
POINT (1395745.142 4990750.086);93;1;PARROCCHIALE;S. Secondo Martire;VIA S. SECONDO 8;TORINO;10128;1;011 543191;011 5661813;sansecondo@davide.it;http://www.parrocchie.it/torino/sansecondo/Index.htm;2;3;FORADINI don Mario;Chiesa Cattolica;;96;7000;Unita' Pastorale N.03 - Crocetta;1395745,142;4990750,086
POINT (1394215.76 4990156.517);94;1;PARROCCHIALE;S. Teresa di Gesu' Bambino;VIA GIOVANNI DA VERAZZANO 48;TORINO;10129;1;011 596698;011 5805961;santateresina@yahoo.it;http://www4.diocesi.torino.it/schede/parr097.htm;2;3;MANA don Mario Sebastiano;Chiesa Cattolica;;97;14500;Unita' Pastorale N.03 - Crocetta;1394215,76;4990156,517
POINT (1396297.898 4991638.34);95;1;PARROCCHIALE;S. Tommaso Apostolo;VIA MONTE DI PIETA' 11;TORINO;10121;1;011 544667 ???;;;http://www4.diocesi.torino.it/schede/parr098.htm;1;2;FRANCO can. Carlo;Chiesa Cattolica;;98;;Unita' Pastorale N.01 - Cattedrale;1396297,898;4991638,34
POINT (1395945.705 4989928.174);98;1;PARROCCHIALE;Sacro Cuore di Maria;VIA FEDERICO CAMPANA 8;TORINO;10125;8;011 6699083;011 6682225;parr.sacro.cuore.maria@diocesi.torino.it;http://www4.diocesi.torino.it/schede/parr045.htm;2;4;TEFNIN don Jean Marcel;Chiesa Cattolica;;45;600;Unita' Pastorale N.04 - Sacro Cuore;1395945,705;4989928,174
POINT (1395268.946 4991314.908);101;1;PARROCCHIALE;Santi Angeli Custodi;VIA S. QUINTINO 37;TORINO;10121;1;011 545737;;;http://www4.diocesi.torino.it/schede/parr100.htm;2;3;CATTANEO don Ettore Maria;Chiesa Cattolica;;100;9000;Unita' Pastorale N.03 - Crocetta;1395268,946;4991314,908
POINT (1397148.783 4991259.599);104;1;PARROCCHIALE;SS. Annunziata;VIA S. OTTAVIO 5;TORINO;10124;1;011 8171423;011 8150308;parr.annunziata@diocesi.torino.it;http://www.annunziata.to.it;1;2;STERMIERI don Ezio;Chiesa Cattolica;;105;6250;Unita' Pastorale N.02 - S.Massimo;1397148,783;4991259,599
POINT (1392341.989 4985668.376);105;1;PARROCCHIALE;Santi Apostoli;VIA PALMIRO TOGLIATTI 35;TORINO;10135;2;011 346181;;parr.santi.apostoli@diocesi.torino.it - ufficio@santiapostoli.it;http://www.santiapostoli.org;9;20;SUARDI don Gianmarco;Chiesa Cattolica;;101;9500;Unita' Pastorale N.20 - Mirafiori sud;1392341,989;4985668,376
POINT (1393727.42 4994453.499);106;1;PARROCCHIALE;Ss. Bernardo e Brigida;VIA FOGLIZZO 3;TORINO;10149;5;011 731615;011 731615;parr.lucento@diocesi.torino.it;http://www4.diocesi.torino.it/schede/parr102.htm;5;11;LOVERA don Mario;Chiesa Cattolica;;102;10430;Unita' Pastorale N.11 - Lucento;1393727,42;4994453,499
POINT (1391642.293 4989180.505);108;1;PARROCCHIALE;SS. Nome di Maria;VIA GUIDO RENI 96 int. 140;TORINO;10136;2;011 3090258;011 3090258;;http://www.parrocchie.it/torino/nomemaria/home.htm;8;18;RUGOLINO don Benito;Chiesa Cattolica;;107;10000;Unita' Pastorale N.18 - S.Ignazio;1391642,293;4989180,505
POINT (1395185.607 4993340.483);109;1;PARROCCHIALE;Stimmate di S. Francesco d'Assisi;VIA GRAZIADIO ASCOLI 32;TORINO;10144;4;011 485825;011 485368;;http://www4.diocesi.torino.it/schede/parr108.htm;7;8;SIBONA don Giuseppe;Chiesa Cattolica;;108;10500;Unita' Pastorale N.08 - S.Donato;1395185,607;4993340,483
POINT (1391911.564 4985220.386);111;1;PARROCCHIALE;Visitazione di Maria Vergine e S. Barnaba;STRADA CASTELLO DI MIRAFIORI 42;TORINO;10135;2;011 341177;011 343234;parr.visitazione.maria@diocesi.torino.it;http://www4.diocesi.torino.it/schede/parr110.htm;9;20;SUARDI don Gianmarco;Chiesa Cattolica;;110;3430;Unita' Pastorale N.20 - Mirafiori sud;1391911,564;4985220,386
POINT (1394779.707 4994244.418);112;1;PARROCCHIALE;Santo Volto;VIA VAL DELLA TORRE 3;TORINO;10149;5;011 5156480;011 5156482;;http://www.santovolto.com;5;12;GIORDA can. Mauro;Chiesa Cattolica;;112;10400;Unita' Pastorale N.12 - Santo Volto;1394779,707;4994244,418
POINT (1394205.535 4992002.54);113;2;NON PARROCCHIALE;Missioni della Consolata - Beato Giuseppe Allamano;CORSO FRANCESCO FERRUCCI 18;TORINO;10138;3;011/4400400;;;;;;;Chiesa Cattolica;"Fest.10.30 - 17; Prefest.17";;;;1394205,535;4992002,54
POINT (1396345.286 4991885.792);115;2;NON PARROCCHIALE;Corpus Domini - Basilica;PIAZZA CORPUS DOMINI 18/B;TORINO;10122;1;011/4366025;;;;;;;Chiesa Cattolica;Fest.10;;;;1396345,286;4991885,792
POINT (1393438.389 4989300.717);117;2;NON PARROCCHIALE;Gesu' Bambino;VIA MONFALCONE 28;TORINO;10136;2;011/3290220;;;;;;;Chiesa Cattolica;Fest.9.30 (ecl. lug-ago);;;;1393438,389;4989300,717
POINT (1396004.566 4993489.346);118;2;NON PARROCCHIALE;Gesu'  Cristo Re;LUNGO DORA NAPOLI 76;TORINO;10152;7;011/852401;;;;;;;Chiesa Cattolica;"Fest.9-16.30 (ora sol.) -17 (ora leg. escl. lug-set); Prefest.16.30(ora sol.) -17 (ora leg. escl. lug-set)";;;;1396004,566;4993489,346
POINT (1395509.042 4988675.083);120;2;NON PARROCCHIALE;Immacolata;VIA MADAMA CRISTINA 134;TORINO;10126;8;;;;;;;;Chiesa Cattolica;Fest.10.30 (escl.lug-ago);;;;1395509,042;4988675,083
POINT (1396033.721 4991288.307);122;2;NON PARROCCHIALE;Immacolata Concezione;VIA ARSENALE 20/A;TORINO;10121;1;;;;;;;;Chiesa Cattolica;;;;;1396033,721;4991288,307
POINT (1393916.444 4985652.551);124;2;NON PARROCCHIALE;Madonna di Loreto (succ. Parrocchia S.Remigio);VIA LUIGI CHIALA 14;TORINO;10127;2;011/6060422;;;;;;;Chiesa Cattolica;"Fest.9; Prefest.18";;;;1393916,444;4985652,551
POINT (1395824.41 4992795.424);126;2;NON PARROCCHIALE;Basilica Maria SS. Ausiliatrice - Santuario;VIA MARIA AUSILIATRICE 32;TORINO;10152;7;011/52241;;;;;;;Chiesa Cattolica;"Fest.6-7-8-9-10-11-12-17.30-18.30-21; Prefest.18";;;;1395824,41;4992795,424
POINT (1395024.163 4992022.659);127;2;NON PARROCCHIALE;Maria Consolatrice;CORSO INGHILTERRA 33;TORINO;10138;3;011/4345417;;;;;;;Chiesa Cattolica;Fest.9;;;;1395024,163;4992022,659
POINT (1395627.238 4988946.869);129;2;NON PARROCCHIALE;Maria Consolatrice;VIA ILARIONE PETITTI 24/C;TORINO;10126;8;;;;;;;;Chiesa Cattolica;;;;;1395627,238;4988946,869
POINT (1390019.294 4987501.988);131;2;NON PARROCCHIALE;Maria Madre della Speranza - Cimitero Sud;VIA AGOSTINO BERTANI 80;TORINO;10137;2;011/3113411;;;;;;;Chiesa Cattolica;Fest.9.30-11;;;;1390019,294;4987501,988
POINT (1391237.221 4992349.222);133;2;NON PARROCCHIALE;N.S. de La Salette;VIA MADONNA DELLE SALETTE 20;TORINO;10146;4;011/721200;;;;;;;Chiesa Cattolica;Fest.10.30;;;;1391237,221;4992349,222
POINT (1397959.039 4991000.329);135;2;NON PARROCCHIALE;N.S. del Suffragio;CORSO CASALE 42 bis/B;TORINO;10131;8;011/8197233;;;;;;;Chiesa Cattolica;Fest.9;;;;1397959,039;4991000,329
POINT (1394955.449 4992727.056);136;2;NON PARROCCHIALE;N.S. del Suffragio e S. Zita;VIA S. DONATO 31;TORINO;10144;4;011/489143;;;;;;;Chiesa Cattolica;Fest.7.30-9.30-10.30;;;;1394955,449;4992727,056
POINT (1398265.382 4994532.241);139;2;NON PARROCCHIALE;Risurrezione del Signore;VIA LORENZO PEROSI 11;TORINO;10154;6;011/204178;;;;;;;Chiesa Cattolica;Fest.9.30;;;;1398265,382;4994532,241
POINT (1395520.112 4990580.497);141;2;NON PARROCCHIALE;S. Anna;VIA ANDREA MASSENA 32;TORINO;10128;1;;;;;;;;Chiesa Cattolica;Fest. 8.30(esc. ago.);;;;1395520,112;4990580,497
POINT (1396074.661 4992217.831);143;2;NON PARROCCHIALE;S. Chiara;VIA DELLE ORFANE 15;TORINO;10122;1;011/4363322;;;;;;;Chiesa Cattolica;Fest. 7;;;;1396074,661;4992217,831
POINT (1396286.366 4991228.502);144;2;NON PARROCCHIALE;S. Cristina;PIAZZA (COMITATO LIBERAZIONE NAZIONALE) C.L.N. 231 bis;TORINO;10123;1;011/539281;;;;;;;Chiesa Cattolica;"Fest.10.30-11.30-18.30; Prefest. 18.30";;;;1396286,366;4991228,502
POINT (1396488.456 4991355.449);147;2;NON PARROCCHIALE;S. Filippo Neri;VIA MARIA VITTORIA 5;TORINO;10123;1;011/538456;;;;;;;Chiesa Cattolica;"Fest.11.30; Prefest.18.30";;;;1396488,456;4991355,449
POINT (1396881.29 4990661.798);149;2;NON PARROCCHIALE;S. Francesco di Sales;VIA DEI MILLE 25;TORINO;10123;1;011/8127419;;;;;;;Chiesa Cattolica;"Fest.11-17; Prefest.17";;;;1396881,29;4990661,798
POINT (1396524.753 4990482.694);152;2;NON PARROCCHIALE;S. Giovanni Evangelista;CORSO VITTORIO EMANUELE II 13;TORINO;10125;8;011/6590511;;;;;;;Chiesa Cattolica;"Fest. 8-10-11-12 (in lingua filippina) -18; Prefest. 18";;;;1396524,753;4990482,694
POINT (1398367.468 4993734.959);154;2;NON PARROCCHIALE;S. Giuseppe;VIA MONCRIVELLO 12/A;TORINO;10154;6;011/202349;;;;;;;Chiesa Cattolica;Prefest.18;;;;1398367,468;4993734,959
POINT (1397473.465 4990415.415);156;2;NON PARROCCHIALE;S. Maria del Monte (Cappuccini);PIAZZALE MONTE DEI CAPPUCCINI 3;TORINO;10131;8;011/6604414;;;;;;;Chiesa Cattolica;Fest. 11-17;;;;1397473,465;4990415,415
POINT (1395988.988 4991813.172);158;2;NON PARROCCHIALE;S. Maria di Piazza;VIA S. MARIA 4/A;TORINO;10122;1;011/5620382;;;;;;;Chiesa Cattolica;"Fest. 8.30-11.30-18.30; Prefest. 18.30";;;;1395988,988;4991813,172
POINT (1396896.091 4990932.101);160;2;NON PARROCCHIALE;S. Michele Arcangelo (di rito bizantino);VIA GIOVANNI GIOLITTI 42;TORINO;10123;1;011/8173450;;;;;;;Chiesa Cattolica;Fest. 10;;;;1396896,091;4990932,101
POINT (1396902.8 4991045.7);162;2;NON PARROCCHIALE;S. Pelagia;VIA S. MASSIMO 21;TORINO;10123;1;;;;;;;;Chiesa Cattolica;;;;;1396902,8;4991045,7
POINT (1396197.48 4992801.698);167;2;NON PARROCCHIALE;Cottolengo - S. Vincenzo De Paoli e S. Antonio Abate;VIA S. PIETRO IN VINCOLI 12;TORINO;10152;7;011/5225111;;;;;;;Chiesa Cattolica;Fest.10-17;;;;1396197,48;4992801,698
POINT (1399390.639 4990008.411);168;2;NON PARROCCHIALE;Sacro Cuore di Gesu' (SS.Redentore);STRADA VAL S. MARTINO 109;TORINO;10131;7;011/8191045;;;;;;;Chiesa Cattolica;Fest.8.30;;;;1399390,639;4990008,411
POINT (1396086.241 4991939.747);171;2;NON PARROCCHIALE;SS. Martiri;VIA GIUSEPPE GARIBALDI 25;TORINO;10122;1;011/5622581;;;;;;;Chiesa Cattolica;"Fest. 18; Prefest. 18";;;;1396086,241;4991939,747
POINT (1396336.649 4992166.319);172;2;NON PARROCCHIALE;SS. Maurizio e Lazzaro - Basilica;VIA MILANO 20;TORINO;10122;1;011/4361026;;;;;;;Chiesa Cattolica;chiusa il lunedý;;;;1396336,649;4992166,319
POINT (1396377.913 4991800.911);174;2;NON PARROCCHIALE;SS. Trinita';VIA GIUSEPPE GARIBALDI 6;TORINO;10122;1;;;;;;;;Chiesa Cattolica;;;;;1396377,913;4991800,911
POINT (1397823.163 4989779.149);176;2;NON PARROCCHIALE;Valsalice (Oratorio Salesiano);VIALE ENRICO THOVEZ 37;TORINO;10131;8;011/6601066;;;;;;;Chiesa Cattolica;Fest. 9.30;;;;1397823,163;4989779,149
