ID_PT_INGR;DENOMINAZ;CITTA;INDIRIZZO;CIRCOSCR;CAP;TEL;FAX;EMAIL;URL;ORDINE;TIPOLOGIA;DETTAGLIO;STATALE;PARITARIA;COMUNALE;TIPO_SCUOL;COMPRENS;QUARTIERE;geometry;LATITUDE;LONGITUDE
96;ROSA LUXEMBURG;TORINO;CORSO CAIO PLINIO 6;8;10127;011 6192212 - 011 6193021;011 610245;rosa@luxemburg.it;http://www.luxemburg.it;SCUOLA SEC. II GRADO;I.T. SETT ECONOMICO;I.T. PERITI AZIENDALI;statale;;;Scuola coordinata;"Istituto d'istruzione Secondaria Superiore - ""Rosa Luxemburg""";;POINT (7.655312670353903 45.02599208324773);45.02599208324773;7.655312670353903
97;ROSA LUXEMBURG;TORINO;CORSO CAIO PLINIO 6;8;10127;011 6192212 - 011 6193021;011 610245;rosa@luxemburg.it;http://www.luxemburg.it;SCUOLA SEC. II GRADO;I.T. SETT ECONOMICO;I.T. COMMERCIALE;statale;;;Sede centrale;"Istituto d'istruzione Secondaria Superiore - ""Rosa Luxemburg""";;POINT (7.655312670353903 45.02599208324773);45.02599208324773;7.655312670353903
98;MAFALDA DI SAVOIA;TORINO;CORSO CASALE 246;7;10132;011 8994319;011 8992732;smmcasale@comune.torino.it;;SCUOLA D'INFANZIA;;;non statale;paritaria;comunale;Sede di plesso;;;POINT (7.7291931490698 45.07284841604904);45.07284841604904;7.7291931490698005
99;JEAN GIONO;TORINO;CORSO CASALE 324;7;10132;011 6602955;011 6600036;secretariat@lyceefrancaisgionoturin.it;http://www.lyceegionoturin.it;SCUOLA SEC. I GRADO;;;non statale;non paritaria;;Sede centrale;Lycèe Francais Jean giono;;POINT (7.731113131953389 45.08062125474691);45.08062125474691;7.731113131953389
100;JEAN GIONO;TORINO;CORSO CASALE 324;7;10132;011 6602955;011 6600036;secretariat@lyceefrancaisgionoturin.it;http://www.lyceegionoturin.it;SCUOLA SEC. II GRADO;;SCUOLA FRANCESE;non statale;non paritaria;;Sede centrale;Lycèe Francais Jean giono;;POINT (7.731113131953389 45.08062125474691);45.08062125474691;7.731113131953389
101;JEAN GIONO;TORINO;CORSO CASALE 324;7;10132;011 6602955;011 6600036;secretariat@lyceefrancaisgionoturin.it;http://www.lyceegionoturin.it;SCUOLA PRIMARIA;;;non statale;non paritaria;;Sede di Plesso;Lycèe Francais Jean giono;;POINT (7.731113131953389 45.08062125474691);45.08062125474691;7.731113131953389
102;JEAN GIONO;TORINO;CORSO CASALE 324;7;10132;011 6602955;011 6600036;secretariat@lyceefrancaisgionoturin.it;http://www.lyceegionoturin.it;SCUOLA D'INFANZIA;;;non statale;non paritaria;;Sede di plesso;Lycèe Francais Jean giono;;POINT (7.731113131953389 45.08062125474691);45.08062125474691;7.731113131953389
103;REAGLIE;TORINO;CORSO CHIERI 136;7;10132;011 8980284;011 8980284;toic81800l@istruzione.it;http://www.gozzi-olivetti.org;SCUOLA PRIMARIA;;;statale;;;Sede di Plesso;"Istituto Comprensivo - ""Gozzi Olivetti""";;POINT (7.740766051689143 45.06025850127302);45.06025850127302;7.7407660516891434
104;SCUOLA D'INFANZIA;TORINO;CORSO CIRIE' 3;7;10152;011 4363245;011 2472125;segreteria@elementarelessona.it;;SCUOLA D'INFANZIA;;;statale;;;Sede di plesso;"Istituto Comprensivo - ""Lessona""";;POINT (7.674593329069459 45.08438542650527);45.08438542650527;7.674593329069459
105;LUIGI CASALE;TORINO;CORSO CIRIE' 7;7;10152;011 4362877;011 4366520;itis.casale@libero.it;http://www.itiscasale.it;SCUOLA SEC. II GRADO;I.T. SETT TECNOLOGICO;I.T. INDUSTRIALE;statale;;;Succursale;"Istituto Tecnico Industriale ""Luigi Casale""";;POINT (7.675363512145928 45.08418913781871);45.08418913781871;7.675363512145928
106;VITTORIO ALFIERI;TORINO;CORSO DANTE 80;8;10126;011 6631941;011 6634042;segreteria@liceoalfieri.it;http://www.liceoalfieri.it;SCUOLA SEC. II GRADO;LICEO;LICEO CLASSICO;statale;;;Sede centrale;"Istituto d'istruzione Secondaria Superiore - ""Vittorio Alfieri""";;POINT (7.677644846294354 45.0464415070594);45.0464415070594;7.677644846294354
107;G. SOMMEILLER;TORINO;CORSO DUCA DEGLI ABRUZZI 20;1;10129;011 5178054;011 5613193;itcs@sommeiller.it;http://www.sommeiller.it;SCUOLA SEC. II GRADO;I.T. SETT ECONOMICO;I.T. COMMERCIALE;statale;;;Sede centrale;"Istituto d'istruzione Secondaria Superiore - ""Germano Sommeiller""";;POINT (7.663187133681603 45.06367232327959);45.06367232327959;7.663187133681603
108;BORGO CROCETTA;TORINO;CORSO DUCA DEGLI ABRUZZI 50;1;10129;011 596070 - 011 5684032;011 596013;smmducadegliabruzzi@comune.torino.it;;SCUOLA D'INFANZIA;;;non statale;paritaria;comunale;Sede di plesso;;;POINT (7.659717703851363 45.05869282697472);45.05869282697472;7.659717703851363
109;MAJORANA;TORINO;CORSO ENRICO TAZZOLI 209;2;10137;011 3114113;011 3099647;segreteria@majoranatorino.it;http://www.majoranatorino.it;SCUOLA SEC. II GRADO;I.T. SETT ECONOMICO;I.T. COMMERCIALE;statale;;;Sezione staccata;"Istituto d'istruzione Secondaria Superiore - ""Ettore Majorana""";;POINT (7.61983871585323 45.03640829861964);45.03640829861964;7.61983871585323
110;MAJORANA;TORINO;CORSO ENRICO TAZZOLI 209;2;10137;011 3114113;011 3099647;segreteria@majoranatorino.it;http://www.majoranatorino.it;SCUOLA SEC. II GRADO;I.T. SETT ECONOMICO;I.T. PERITI AZIENDALI;statale;;;Scuola coordinata;"Istituto d'istruzione Secondaria Superiore - ""Ettore Majorana""";;POINT (7.61983871585323 45.03640829861964);45.03640829861964;7.61983871585323
111;DUCHESSA ELENA D'AOSTA;TORINO;CORSO FRANCIA 139;3;10138;011 740281;011 7778285;scuola_elena@tiscali.it;;SCUOLA D'INFANZIA;;;non statale;paritaria;convenzionata;Sede di plesso;;;POINT (7.646356372632159 45.07539959192559);45.07539959192559;7.646356372632159
112;M. L. KING 3;TORINO;CORSO FRANCIA 377;3;10142;011 4038658;011 4033698;scuolamlk@virgilio.it;http://www.icking-to.it;SCUOLA PRIMARIA;;;statale;;;Aule staccate;"Istituto Comprensivo - ""M.L. King""";;POINT (7.609496115299164 45.07389208435257);45.07389208435257;7.609496115299164
113;NUOVO MONDO;TORINO;CORSO GIACOMO MATTEOTTI 23;1;10121;011 547997;011 547997;scuolanuovomondo@libero.it;;SCUOLA D'INFANZIA;;;non statale;non paritaria;;Sede di plesso;;;POINT (7.672907867164433 45.06670321389139);45.066703213891394;7.672907867164433
114;UMBERTO I;TORINO;CORSO GIACOMO MATTEOTTI 48;1;10121;011 544532;011 544532;umbertoprimoto@libero.it;;SCUOLA D'INFANZIA;;;non statale;paritaria;convenzionata;Sede di plesso;;;POINT (7.665813131684287 45.06968270753088);45.06968270753088;7.665813131684287
115;DI CORSO MATTEOTTI;TORINO;CORSO GIACOMO MATTEOTTI 6 bis;1;10121;011 535809;011 530212;pacchiotti@tin.it;http://www.direzionedidatticapacchiotti.it;SCUOLA D'INFANZIA;;;statale;;;Sede di plesso;"Direzione Didattica - ""G. Pacchiotti""";;POINT (7.677258490918171 45.06560652736799);45.06560652736799;7.677258490918171
116;CARDUCCI;TORINO;CORSO GIACOMO MATTEOTTI 6 bis;1;10121;011 545656;011 530212;pacchiotti@tin.it;http://www.direzionedidatticapacchiotti.it;SCUOLA PRIMARIA;;;statale;;;Sede di Plesso;"Direzione Didattica - ""G. Pacchiotti""";;POINT (7.677258490918171 45.06560652736799);45.06560652736799;7.677258490918171
117;SUCC. ANTONIO MEUCCI;TORINO;CORSO GIACOMO MATTEOTTI 6 bis;1;10121;011 543679;011 543679;scuola.meucci@libero.it;http://www.scuolamediameucci.it;SCUOLA SEC. I GRADO;;;statale;;;Succursale;"Istituto Secondario I grado - ""Antonio Meucci""";;POINT (7.677258490918171 45.06560652736799);45.06560652736799;7.677258490918171
118;ANTONIO MEUCCI;TORINO;CORSO GIACOMO MATTEOTTI 9;1;10121;011 545782;011 5627851;scuola.meucci@libero.it;http://www.scuolamediameucci.it;SCUOLA SEC. I GRADO;;;statale;;;Succursale;"Istituto Secondario I grado - ""Antonio Meucci""";;POINT (7.676735319404468 45.06554907376395);45.065549073763954;7.676735319404468
119;G. PARINI;TORINO;CORSO GIULIO CESARE 26;7;10152;011 852430;011 852430;TOEE05000E@istruzione.it;http://www.scuolaparini.it;SCUOLA PRIMARIA;;;statale;;;Sede di Plesso;"Circolo Didattico - ""Giuseppe Parini""";;POINT (7.687980904391519 45.08304583116644);45.083045831166444;7.687980904391519
120;LOMBARDO RADICE;TORINO;CORSO GROSSETO 112;5;10148;011 2201180;011 290914;segreteria@scuolasaba.it;http://www.scuolasaba.it;SCUOLA PRIMARIA;;;statale;;;Sede di Plesso;"Istituto Comprensivo - ""Umberto Saba""";;POINT (7.677647738591615 45.10476139403447);45.10476139403447;7.677647738591615
121;RAYNERI;TORINO;CORSO GUGLIELMO MARCONI 28;8;10125;011 6699446;011 6690069;TOIC81900C@istruzione.it;http://www.icmanzoni.org;SCUOLA PRIMARIA;;;statale;;;Sede di Plesso;"Istituto Comprensivo - ""Manzoni""";;POINT (7.681560072751473 45.05547685721942);45.05547685721942;7.681560072751473
122;E 15;TORINO;CORSO L. QUINZIO CINCINNATO 121;5;10151;011 7390649;011 7393668;TOIC873005@istruzione.it;http://www.padregemelli.it;SCUOLA D'INFANZIA;;;statale;;;Sede di plesso;"Istituto Comprensivo - ""Padre Gemelli""";;POINT (7.639921048137359 45.09811760857639);45.09811760857639;7.639921048137359
123;CINCINNATO 200;TORINO;CORSO L. QUINZIO CINCINNATO 200;5;10151;011 7399848;011 7381382;smmcincinnato@comune.torino.it;;SCUOLA D'INFANZIA;;;non statale;paritaria;comunale;Sede di plesso;;;POINT (7.649168486408439 45.10221019406237);45.102210194062366;7.649168486408439
124;PADRE AGOSTINO GEMELLI;TORINO;CORSO LOMBARDIA 98;5;10151;011 731758;011 4557273;TOIC873005@istruzione.it;http://www.padregemelli.it;SCUOLA PRIMARIA;;;statale;;;Sede di Plesso;"Istituto Comprensivo - ""Padre Gemelli""";;POINT (7.647332037382397 45.09606634901183);45.09606634901183;7.647332037382397
125;RICCARDO  DAL  PIAZ;TORINO;CORSO LUIGI D'ALBERTIS 22;3;10141;011 331890;011 3859566;postmaster@scuolatoscanini.it;http://www.circolotoscanini.it/;SCUOLA PRIMARIA;;;statale;;;Sede di Plesso;"Circolo Didattico - ""A. Toscanini""";;POINT (7.630815192510727 45.06068367776513);45.06068367776513;7.6308151925107275
126;TEATRO NUOVO;TORINO;CORSO MASSIMO D'AZEGLIO 17;8;10126;011 6500262;011 6500218;liceotnt@tin.it;http://www.liceoteatronuovo.com;SCUOLA SEC. II GRADO;LICEO;LICEO MUSICALE E COREUTICO;non statale;paritaria;;Scuola coordinata;"Liceo d'Arte e Spettacolo ""Teatro Nuovo Torino""";;POINT (7.680871524051829 45.04836891223376);45.04836891223376;7.680871524051829
127;TEATRO NUOVO;TORINO;CORSO MASSIMO D'AZEGLIO 17;8;10126;011 6500262;011 6500218;liceotnt@tin.it;http://www.liceoteatronuovo.com;SCUOLA SEC. II GRADO;LICEO;LICEO ARTISTICO;non statale;paritaria;;Sede centrale;"Liceo d'Arte e Spettacolo ""Teatro Nuovo Torino""";;POINT (7.680871524051829 45.04836891223376);45.04836891223376;7.680871524051829
128;RUSSELL - MORO;TORINO;CORSO MOLISE 58;5;10151;011 733160 - 011 7390665;011 4559041;TOTD290002@istruzione.it;http://www.russell-moro.it;SCUOLA SEC. II GRADO;I.T. SETT ECONOMICO;I.T. PERITI AZIENDALI;statale;;;Scuola coordinata;"Istituto d'istruzione Secondaria Superiore - ""Russell - Moro""";;POINT (7.638569254273328 45.10388563704957);45.103885637049565;7.638569254273328
129;RUSSELL - MORO;TORINO;CORSO MOLISE 58;5;10151;011 733160;011 4559041;TOTD290002@istruzione.it;http://www.russell-moro.it;SCUOLA SEC. II GRADO;I.T. SETT ECONOMICO;I.T. COMMERCIALE;statale;;;Sede centrale;"Istituto d'istruzione Secondaria Superiore - ""Russell - Moro""";;POINT (7.638569254273328 45.10388563704957);45.103885637049565;7.638569254273328
130;BORGNANA PICCO;TORINO;CORSO MONCALIERI 218;8;10133;011 6613070;011 6613070;info@borgnanapicco.it;http://www.borgnanapicco.it;SCUOLA D'INFANZIA;;;non statale;paritaria;convenzionata;Sede di plesso;;;POINT (7.68271386572757 45.04041333233788);45.04041333233788;7.68271386572757
131;FIOCCARDO;TORINO;CORSO MONCALIERI 400;8;10133;011 6610961;011 6610961;toee05100a@istruzione.it;http://pellico.scuole.piemonte.it;SCUOLA D'INFANZIA;;;statale;;;Sede di plesso;"Circolo Didattico - ""Pellico""";;POINT (7.675816911533802 45.02509131256306);45.025091312563056;7.675816911533802
132;FIOCCARDO;TORINO;CORSO MONCALIERI 400;8;10133;011 6611033;011 6611180;toee05100a@istruzione.it;http://pellico.scuole.piemonte.it;SCUOLA PRIMARIA;;;statale;;;Sede di Plesso;"Circolo Didattico - ""Pellico""";;POINT (7.675816911533802 45.02509131256306);45.025091312563056;7.675816911533802
133;M. L. RUBATTO;TORINO;CORSO MONCALIERI 48;8;10133;011 6601830;011 6606157;smmmoncalieri48@comune.torino.it;;SCUOLA D'INFANZIA;;;non statale;paritaria;comunale;Sede di plesso;;;POINT (7.692139089837762 45.05623259757705);45.05623259757705;7.692139089837762
134;S. DENIS;TORINO;CORSO MONCALIERI 52;8;10133;011 6602234;011 6606249;tizianapirero@libero.it;;SCUOLA PRIMARIA;;;non statale;non paritaria;;Sede di Plesso;;;POINT (7.691925228745143 45.05583689132239);45.055836891322386;7.691925228745143
135;NEIL ARMSTRONG;TORINO;CORSO MONTE GRAPPA 81;4;10146;011 7497784;011 724696;segreteria@ddducadaosta.it;;SCUOLA PRIMARIA;;;statale;;;Sede di Plesso;"Direzione didattica - ""Duca d'Aosta""";;POINT (7.638624081671003 45.08302596025933);45.083025960259334;7.638624081671003
136;GALILEO FERRARIS;TORINO;CORSO RODOLFO MONTEVECCHIO 67;1;10129;011 5628394;011 539589;segreteria@liceogalfer.it;http://share.dschola.it/galileoferraris/;SCUOLA SEC. II GRADO;LICEO;LICEO SCIENTIFICO;statale;;;Sede centrale;"Istituto d'istruzione Secondaria Superiore - ""Galieleo Ferraris""";;POINT (7.662554782702142 45.06434568492153);45.06434568492153;7.662554782702142
137;CROCE;TORINO;CORSO NOVARA 26;7;10152;011 2481916;011 2472064;croce.morelli@libero.it;;SCUOLA SEC. I GRADO;;;statale;;;Sede centrale;"Istituto Secondario I grado ""Croce-Morelli""";;POINT (7.691771880111911 45.08701933060967);45.08701933060967;7.6917718801119115
138;BIRAGO;TORINO;CORSO NOVARA 65;6;10154;011 2482089;011 857169;birago@ipsiabirago.it;http://www.ipsiabirago.it;SCUOLA SEC. II GRADO;I.P. SETT. INDUSTRIA E ARTIGIANATO;I.P. INDUSTRIA E ARTIG.;statale;;;Sede centrale;"Istituto professionale di Stato ""Birago""";;POINT (7.697159522162647 45.08399741072094);45.08399741072094;7.697159522162647
139;COLLODI;TORINO;CORSO ORBASSANO 122;2;10136;011 3241078;01 /3092489;smmorbassano@comune.torino.it;;SCUOLA D'INFANZIA;;;non statale;paritaria;comunale;Sede di plesso;;;POINT (7.648218648493979 45.04787325406691);45.047873254066914;7.648218648493979
140;GIUSEPPE MAZZINI;TORINO;CORSO ORBASSANO 155/A;2;10136;011 390778 - 011 392824 - 011 3272097;011 390778 - 011 392;ddmazzinisegreteria@ddmazzinitorino.it;http://www.ddmazzinitorino.it;SCUOLA PRIMARIA;;;statale;;;Sede di Plesso;"Circolo Didattico ""G. Mazzini""";;POINT (7.645185929491292 45.0456730094159);45.0456730094159;7.6451859294912925
141;NICHOLAS GREEN;TORINO;CORSO ORBASSANO 224 int. 26;2;10137;011 364443;011 390778 - 011 392;ddmazzinisegreteria@ddmazzinitorino.it;http://www.ddmazzinitorino.it;SCUOLA D'INFANZIA;;;statale;;;Sede di plesso;"Circolo Didattico ""G. Mazzini""";;POINT (7.634728378581887 45.04211889449303);45.04211889449303;7.634728378581887
142;SANTORRE DI SANTAROSA;TORINO;CORSO PESCHIERA 230;3;10139;011 3858544;011 336526;santorre@santorre.it;http://www.santorre.it;SCUOLA SEC. II GRADO;I.T. SETT TECN - ECONOMICO;I.T. ATTIVITA' SOCIALI;statale;;;Sede centrale;"Istituto d'istruzione Secondaria Superiore - ""Santorre di Santarosa""";;POINT (7.642022894709434 45.06782908564249);45.06782908564249;7.642022894709434
143;BIMBI CLUB;TORINO;CORSO PESCHIERA 364;3;10139;011 715279;011 7791428;bimbic02@bimbiclub.191.it;http://www.pietrobaricco.scuole.piemonte.it;SCUOLA D'INFANZIA;;;non statale;paritaria;non convenzionata;Sede di plesso;;;POINT (7.627063209078167 45.07356561944388);45.07356561944388;7.627063209078167
144;PIETRO BARICCO;TORINO;CORSO PESCHIERA 380;3;10139;011 7790915;011 7790915;toee00500l@istruzione.it;http://www.scuolabaricco.it;SCUOLA PRIMARIA;;;statale;;;Sede di Plesso;"Circolo Didattico - ""Piertro Baricco""";;POINT (7.626013978696229 45.0739699879917);45.0739699879917;7.626013978696229
145;GABRIO CASATI;TORINO;CORSO RACCONIGI 31;3;10139;011 4472606;011 4472606;toee01200q@istruzione.it;;SCUOLA PRIMARIA;;;statale;;;Sede di Plesso;"Circolo Didattico - ""Casati""";;POINT (7.64720750885841 45.07143230499435);45.071432304994346;7.64720750885841
146;RE V. EMANUELE II;TORINO;CORSO REGINA MARGHERITA 107;1;10122;011 4360325;;;;SCUOLA D'INFANZIA;;;non statale;paritaria;convenzionata;Sede di plesso;;;POINT (7.686285838591903 45.07559760329284);45.07559760329284;7.686285838591903
147;G. RODARI;TORINO;CORSO REGINA MARGHERITA 43;7;10124;011 8123806;011 8124794;ic.viaricasoli@tiscali.it;http://ic-viaricasoli-torino.org/;SCUOLA D'INFANZIA;;;statale;;;Sede di plesso;"Istituto Comprensivo - ""Via Ricasoli""";;POINT (7.699728163185157 45.07114325647724);45.07114325647724;7.699728163185157
148;CORSO REGIO PARCO;TORINO;CORSO REGIO PARCO 19;7;10152;011 852341;011 2472125;segreteria@elementarelessona.it;;SCUOLA PRIMARIA;;;statale;;;Sede di Plesso;"Istituto Comprensivo - ""Lessona""";;POINT (7.694563966702951 45.0770953277945);45.0770953277945;7.694563966702951
149;A. AVOGADRO;TORINO;CORSO S. MAURIZIO 8;1;10124;011 8153611;011 8153700;segreteria@itisavogadro.it;http://www.itisavogadro.it;SCUOLA SEC. II GRADO;LICEO;LICEO SCIENTIFICO;statale;;;Scuola coordinata;"Istituto d'istruzione Secondaria Superiore - ""Avogadro""";;POINT (7.692891025860388 45.07102445274791);45.07102445274791;7.692891025860388
150;A. AVOGADRO;TORINO;CORSO S. MAURIZIO 8;1;10124;011 8153611;011 8153700;segreteria@itisavogadro.it;http://www.itisavogadro.it;SCUOLA SEC. II GRADO;I.T. SETT TECNOLOGICO;I.T. INDUSTRIALE;statale;;;Sede centrale;"Istituto d'istruzione Secondaria Superiore - ""Avogadro""";;POINT (7.692891025860388 45.07102445274791);45.07102445274791;7.692891025860388
151;LEONE SINIGAGLIA;TORINO;CORSO SEBASTOPOLI 258;2;10136;011 367407;011 361866;protocollo@scuolasinigaglia.it;http://share.dschola.it/sinigaglia;SCUOLA PRIMARIA;;;statale;;;Sede di Plesso;"Circolo Didattico - ""Sinigaglia""";;POINT (7.637307430744437 45.04809060641822);45.04809060641822;7.637307430744437
152;E. BORGARELLO;TORINO;CORSO SICILIA 24;8;10133;011 6614683;011 6614683;toee05100a@istruzione.it;http://pellico.scuole.piemonte.it;SCUOLA D'INFANZIA;;;statale;;;Sede di plesso;"Circolo Didattico - ""Pellico""";;POINT (7.682154940968441 45.04150113611972);45.04150113611972;7.682154940968441
153;MATTEOTTI;TORINO;CORSO SICILIA 40;8;10133;011 6614514;011 6612922;medmat@tiscali.it;http://www.scuolanievomatteotti.to.it;SCUOLA SEC. I GRADO;;;statale;;;Succursale;"Istituto Secondario I grado - ""Nievo - Matteotti""";;POINT (7.681508458836205 45.04018041435238);45.04018041435238;7.681508458836205
154;ISTITUTO SOCIALE;TORINO;CORSO SIRACUSA 10;2;10136;011 357835;011 3247487;bussosf@istitutosociale.it;http://www.istitutosociale.it;SCUOLA SEC. II GRADO;LICEO;LICEO CLASSICO;non statale;paritaria;;Sede centrale;"Istituto ""Sociale"", scuola diretta dai Padri Gesuiti";;POINT (7.634449270375777 45.05454476236216);45.05454476236216;7.634449270375777
155;ISTITUTO SOCIALE;TORINO;CORSO SIRACUSA 10;2;10136;011 357835;011 3247487;bussosf@istitutosociale.it;http://www.istitutosociale.it;SCUOLA PRIMARIA;;;non statale;paritaria;;Sede di Plesso;"Istituto ""Sociale"", scuola diretta dai Padri Gesuiti";;POINT (7.634449270375777 45.05454476236216);45.05454476236216;7.634449270375777
156;ISTITUTO SOCIALE;TORINO;CORSO SIRACUSA 10;2;10136;011 357835;011 3247487;bussosf@istitutosociale.it;http://www.istitutosociale.it;SCUOLA SEC. II GRADO;LICEO;LICEO SCIENTIFICO;non statale;paritaria;;Sezione differenziata;"Istituto ""Sociale"", scuola diretta dai Padri Gesuiti";;POINT (7.634449270375777 45.05454476236216);45.05454476236216;7.634449270375777
157;IST. SOCIALE;TORINO;CORSO SIRACUSA 10;2;10136;011 357835;011 3247487;bussosf@istitutosociale.it;http://www.istitutosociale.it;SCUOLA SEC. I GRADO;;;non statale;paritaria;;Sede centrale;"Istituto ""Sociale"", scuola diretta dai Padri Gesuiti";;POINT (7.634449270375777 45.05454476236216);45.05454476236216;7.634449270375777
158;ISTITUTO SOCIALE;TORINO;CORSO SIRACUSA 10;2;10136;011 357835;011 3247487;bussosf@istitutosociale.it;http://www.istitutosociale.it;SCUOLA D'INFANZIA;;;non statale;paritaria;non convenzionata;Sede di plesso;"Istituto ""Sociale"", scuola diretta dai Padri Gesuiti";;POINT (7.634449270375777 45.05454476236216);45.05454476236216;7.634449270375777
159;DE SANCTIS;TORINO;CORSO SVIZZERA 51;4;10143;011 7492513;011 745964;smsnigra@tin.it;http://www.nigra-to.it;SCUOLA SEC. I GRADO;;;statale;;;Succursale;"Istituto Secondario I grado - ""Costantino Nigra""";;POINT (7.650116831410315 45.08038645986945);45.08038645986945;7.6501168314103145
160;ALESSANDRO MANZONI;TORINO;CORSO SVIZZERA 59;4;10143;011 740308;011 748477;toee03900q@istruzione.it;;SCUOLA PRIMARIA;;;statale;;;Sede di Plesso;"Circolo Didattico - ""Manzoni""";;POINT (7.650565401839229 45.08153811206361);45.08153811206361;7.650565401839229
161;GUIDO GOZZANO;TORINO;CORSO TOSCANA 88;5;10149;011 731783;011 4551093;TOEE01700V@istruzione.it;;SCUOLA PRIMARIA;;;statale;;;Sede di Plesso;"Circolo Didattico - ""Nino Costa""";;POINT (7.654166997196979 45.09802120387823);45.09802120387823;7.654166997196979
162;F. FELLINI;TORINO;CORSO TRAPANI 25;3;10139;011 4345224;011 4345224;info@istitutofellini.it;http://www.istitutofellini.it;SCUOLA SEC. II GRADO;I.P. SETT SERVIZI;I. P. ATIPICO / ARTIGIANATO;non statale;paritaria;;Sede centrale;;;POINT (7.641480282610233 45.07242666682151);45.072426666821514;7.641480282610233
163;PRINCIPE VITTORIO EMANUELE;TORINO;CORSO UNIONE SOVIETICA 170;2;10134;011 3187247;011 3187247;ist.pve@libero.it;http://www.istitutoprincipevittorioemanuele.it;SCUOLA D'INFANZIA;;;non statale;paritaria;convenzionata;Sede di plesso;Istituto Principe Vittorio Emanuele;;POINT (7.655675034297104 45.04127291628931);45.04127291628931;7.655675034297104
