WKT_GEOM;ID_CARABIN;DENOMINAZ;INDIRIZZO;CITTA;CAP;CIRCOSCRIZ;TELEFONO;FAX;EMAIL;EMAIL2;URL;COORD_X;COORD_Y
POINT (1395400.988 4991699.945);13;Stazione CC - Torino Monviso;VIA BEATO SEBASTIANO VALFRE' 5;TORINO;10121;1;0115629668;0115613790;stto131120@carabinieri.it;carabinieri@carabinieri.it;http://www.carabinieri.it/Internet/;1395400,988;4991699,945
POINT (1398342.289 4996904.089);14;Compagnia CC - Torino Oltre Dora;CORSO VERCELLI 455;TORINO;10156;6;0112225000;0112225000;cpto131800cdo@carabinieri.;carabinieri@carabinieri.it;http://www.carabinieri.it/Internet/;1398342,289;4996904,089
POINT (1397328.893 4991180.468);15;Stazione CC - Torino Po Vanchiglia;VIA GIULIA DI BAROLO 6;TORINO;10124;1;0116886000;0116886034;stto131110@carabinieri.it;carabinieri@carabinieri.it;http://www.carabinieri.it/Internet/;1397328,893;4991180,468
POINT (1392110.542 4989643.798);16;Stazione CC - Torino Pozzo Strada;VIA GUIDO RENI 62;TORINO;10136;2;011356527;011356527;stto131220@carabinieri.it;carabinieri@carabinieri.it;http://www.carabinieri.it/Internet/;1392110,542;4989643,798
POINT (1397328.893 4991180.468);17;Compagnia CC - Torino San Carlo;VIA GIULIA DI BAROLO 6;TORINO;10124;1;0116886000;0116886000;cpto131100cdo@carabinieri.;carabinieri@carabinieri.it;http://www.carabinieri.it/Internet/;1397328,893;4991180,468
POINT (1397227.119 4993936.619);18;Stazione CC - Torino Barriera Milano;VIA FRANCESCO CIGNA 96 int. 23;TORINO;10155;6;011850808;0112410326;stto131830@carabinieri.it;carabinieri@carabinieri.it;http://www.carabinieri.it/Internet/;1397227,119;4993936,619
POINT (1398342.289 4996904.089);19;Stazione CC - Torino Borgo Falchera;CORSO VERCELLI 455;TORINO;10156;6;0112225000;0116886225;stto131810@carabinieri.it;carabinieri@carabinieri.it;http://www.carabinieri.it/Internet/;1398342,289;4996904,089
POINT (1397755.339 4992399.075);20;Stazione CC - Torino Borgo Dora;VIA CATANIA 50;TORINO;10153;7;011857216;0112410333;stto131850@carabinieri.it;carabinieri@carabinieri.it;http://www.carabinieri.it/Internet/;1397755,339;4992399,075
POINT (1392652.543 4995236.272);21;Stazione CC - Torino Le Vallette;VIA DELLE GLICINI 1;TORINO;10151;5;011733750;0114551753;stto131820@carabinieri.it;carabinieri@carabinieri.it;http://www.carabinieri.it/Internet/;1392652,543;4995236,272
POINT (1398893.82 4993729.914);22;Stazione CC - Torino Regio Parco;CORSO REGIO PARCO 143;TORINO;10154;6;011202389;0112058717;stto131840@carabinieri.it;carabinieri@carabinieri.it;http://www.carabinieri.it/Internet/;1398893,82;4993729,914
POINT (1395504.189 4991840.897);23;Scuola - Allievi Carabinieri;VIA CERNAIA 23;TORINO;10121;1;01155191;;;carabinieri@carabinieri.it;http://www.carabinieri.it/Internet/;1395504,189;4991840,897
POINT (1396571.58854167 4992114.79895833);26;Nucleo Tpc - Tutela Patrimonio Culturale;VIA VENTI SETTEMBRE 88;TORINO;10122;1;;;tpctonu@carabinieri.it;carabinieri@carabinieri.it;http://www.carabinieri.it/Internet/;1396571,58854167;4992114,79895833
POINT (1396878.312 4991526.449);29;Comando Carabinieri Tutela Ambiente - Nucleo Operativo Ecologico;VIA GIUSEPPE VERDI 9;TORINO;10124;1;0118159390;;noetocdo@carabinieri.it;carabinieri@carabinieri.it;http://www.carabinieri.it/Internet/;1396878,312;4991526,449
POINT (1395113.354 4991782.566);3;Nucleo CC - Antisofisticazioni e Sanita' N.A.S.;CORSO BOLZANO 30;TORINO;10121;1;0115623302;0115623060;ccTOnasCDO@carabinieri.it;carabinieri@carabinieri.it;http://www.carabinieri.it/Internet/;1395113,354;4991782,566
