WKT_GEOM;ID_NIDO_PR;DENOMINAZ;INDIRIZZO;CIRCOSCRIZ;CAP;CITTA;TELEFONO;POSTI;LATTANTI;URL;EMAIL;URL_TORINO;TIPO;POSTI_CONV;COORD_X;COORD_Y
POINT (1393253.523 4990153.967);11;IL NIDO DEL PASSEROTTO;VIA TOLMINO 50 int. 12;3;10141;Torino;011 334064;30;si;http://www.ilnidodelpasserotto.it/;nidodelpasserotto@libero.it;http://www.comune.torino.it/servizieducativi/se/03_nco.htm;convenzionato;3;1393253,523;4990153,967
POINT (1396979.889 4990991.57);12;IL NIDO DELLA MUSICA;VIA DELLE ROSINE 14;1;10123;Torino;011 8136428;42;si;http://www.ilnidodellamusica.it/;nidodellamusica.omi@assiste.it;http://www.comune.torino.it/servizieducativi/se/03_nco.htm;convenzionato;10;1396979,889;4990991,57
POINT (1394096.002 4997180.551);13;IL NIDO DI DODO;VIA LUIGI PIRANDELLO 20/A;5;10148;Torino;011 2261875;35;si;http://www.dodosas.com/main2.html;info@dodosas.com;http://www.comune.torino.it/servizieducativi/se/03_nco.htm;convenzionato;8;1394096,002;4997180,551
POINT (1395633.789 4988446.773);14;IL PICCOLO MULINO (Nido Aziendale Molinette);CORSO BRAMANTE 88;8;10126;Torino;011 5069760;;;;;http://www.comune.torino.it/servizieducativi/se/03_nco.htm;Nido Privato;2;1395633,789;4988446,773
POINT (1392702.8 4986469.948);15;ISTITUTO S. MARCO;VIA ONORATO VIGLIANI 11 int. 9;8;10135;Torino;011 614312;12;;;;http://www.comune.torino.it/servizieducativi/se/03_nco.htm;convenzionato;3;1392702,8;4986469,948
POINT (1395561.882 4992263.508);16;KOALA;PIAZZA STATUTO 2 bis;1;10122;Torino;011 4369181;60;si;;;http://www.comune.torino.it/servizieducativi/se/03_nco.htm;convenzionato;13;1395561,882;4992263,508
POINT (1393479.934 4989431.594);17;L'ANGIOLETTO;VIA CAPRERA 41;2;10136;Torino;011 360613;72;si;http://www.langioletto.it/;;http://www.comune.torino.it/servizieducativi/se/03_nco.htm;convenzionato;10;1393479,934;4989431,594
POINT (1398327.594 4992016.795);18;LA CITTA' DEI BAMBINI;VIA GATTINARA 7;7;10153;Torino;011 8174581;68;si;http://www.cittadeibambini.com/;;http://www.comune.torino.it/servizieducativi/se/03_nco.htm;convenzionato;10;1398327,594;4992016,795
POINT (1398326.401 4991734.941);19;LA COMPAGNIA DEI BIRICHINI;VIA PRALUNGO 1/E;7;10153;Torino;011 885575;29;si;http://www.lacompagniadeibirichini.it/centri/torino.asp;asilo-torino@lacompagniadeibirichini.it <asilo-torino@lacompagniadeibirichini.it>;http://www.comune.torino.it/servizieducativi/se/03_nco.htm;convenzionato;6;1398326,401;4991734,941
POINT (1394669.025 4992625.567);20;LA RIBAMBELLE;VIA CARLO TENIVELLI 1;4;10143;Torino;011 4371660;16;si;http://www.nidomaternaribambelle.it;tiziana.motto@libero.it;http://www.comune.torino.it/servizieducativi/se/03_nco.htm;convenzionato;8;1394669,025;4992625,567
POINT (1396106.217 4989958.649);21;L'ANGIOLETTO;VIA GIUSEPPE GIACOSA 18;8;10125;Torino;011 6690423;50;si;;;http://www.comune.torino.it/servizieducativi/se/03_nco.htm;convenzionato;8;1396106,217;4989958,649
POINT (1395583.745 4989232.872);22;LE BIRBE;VIA NIZZA 107;8;10126;Torino;011 6504340;65;si;http://www.birbe.com/;;http://www.comune.torino.it/servizieducativi/se/03_nco.htm;convenzionato;13;1395583,745;4989232,872
POINT (1395397.549 4988204.312);23;LE TRE MELARANCE;VIA TEPICE 16;8;10126;Torino;011 6963202;25;;;;http://www.comune.torino.it/servizieducativi/se/03_nco.htm;convenzionato;7;1395397,549;4988204,312
POINT (1392905.494 4992147.714);24;PICCOLO PRINCIPE;VIA RUBIANA 8/A;3;10139;Torino;011 7497386;60;si;http://www.asilo-nido-piccolo-principe.com/;info@scuolapiccoloprincipe.it;http://www.comune.torino.it/servizieducativi/se/03_nco.htm;convenzionato;9;1392905,494;4992147,714
POINT (1393377.876 4990695.093);25;ROSICCHIAMONDO;CORSO RACCONIGI 143;3;10141;Torino;011 3358069;24;;;;http://www.comune.torino.it/servizieducativi/se/03_nco.htm;convenzionato;12;1393377,876;4990695,093
POINT (1394970.158 4992544.895);26;SAN DONATO;VIA GASPARE SACCARELLI 2;4;10144;Torino;011 489673;34;;;;http://www.comune.torino.it/servizieducativi/se/03_nco.htm;convenzionato;9;1394970,158;4992544,895
POINT (1399544.048 4992232.044);27;SAN GIULIO D'ORTA;VIA VERBANO 6;7;10153;Torino;011 8993264;32;;;;http://www.comune.torino.it/servizieducativi/se/03_nco.htm;convenzionato;10;1399544,048;4992232,044
POINT (1396014.569 4992183.784);28;SUONI E COLORI;VIA S. DOMENICO 13 bis/I;1;10122;Torino;011 4390590;24;;;;http://www.comune.torino.it/servizieducativi/se/03_nco.htm;convenzionato;12;1396014,569;4992183,784
POINT (1392725.603 4986416.766);29;TOPOLINUS;VIA ONORATO VIGLIANI 15 int. 6;8;10135;Torino;340 5881357 - 349 6361310 ;30;si;http://www.topolinus.it/Home.html;info@topolinus.it;http://www.comune.torino.it/servizieducativi/se/03_nco.htm;convenzionato;5;1392725,603;4986416,766
POINT (1394354.32 4994287.946);30;AL BOSCHETTO;VIA VAL DELLA TORRE 61/A;5;10149;Torino;011 2162316;60;si;http://www.alboschetto.org/;info@alboschetto.org;http://www.comune.torino.it/servizieducativi/se/03_np.htm;Nido Privato;;1394354,32;4994287,946
POINT (1391960.618 4992056.386);31;BIMBI CLUB;CORSO PESCHIERA 364/A;3;10139;Torino;011 715279;75;si;http://www.comune.torino.it/formazioneescuola/guida/doc/nido_bimbi.pdf;;http://www.comune.torino.it/servizieducativi/se/03_np.htm;Nido privato con posti assegnati da graduatoria circoscrizionale;;1391960,618;4992056,386
POINT (1391620.127 4992591.787);32;BOLLE DI SAPONE;VIA GIACINTO PACCHIOTTI 116;4;10146;Torino;011 7727512;27;;http://asilobolledisapone.com/;;http://www.comune.torino.it/servizieducativi/se/03_np.htm;Nido Privato;;1391620,127;4992591,787
POINT (1397672.428 4990783.711);33;BOLLE DI SAPONE;VIA MONFERRATO 4;8;10131;Torino;011 7727512;35;;http://asilobolledisapone.com/;;http://www.comune.torino.it/servizieducativi/se/03_np.htm;Nido Privato;;1397672,428;4990783,711
POINT (1394084.454 4990331.147);34;CAMPANELLINO;VIA DON LUIGI ORIONE 2;3;10141;Torino;011 2076076;24;;;;http://www.comune.torino.it/servizieducativi/se/03_np.htm;Nido Privato;;1394084,454;4990331,147
POINT (1394391.3 4990263.37);35;DENIS;VIA AMERIGO VESPUCCI 58;1;10129;Torino;011 5534327;84;;http://www.comune.torino.it/formazioneescuola/guida/doc/nido_denis.pdf;;http://www.comune.torino.it/servizieducativi/se/03_np.htm;Nido privato con posti assegnati da graduatoria circoscrizionale;;1394391,3;4990263,37
POINT (1391308.791 4988173.615);36;ENFANTS PARADISE;VIA EDOARDO RUBINO 77;2;10137;Torino;011 3111637;15;;;enfants.paradise@libero.it;http://www.comune.torino.it/servizieducativi/se/03_np.htm;Nido Privato;;1391308,791;4988173,615
POINT (1390423.74 4992033.073);37;FANTASIA;VIA S. GIORGIO CANAVESE 16/A;3;10142;Torino;011 4035213;36;si;http://www.fantasiasilonido.com/;fantasia.asilonido@gmail.com ;http://www.comune.torino.it/servizieducativi/se/03_np.htm;Nido Privato;;1390423,74;4992033,073
POINT (1394305.299 4992020.074);38;GIROTONDO ;VIA AVIGLIANA 45;3;10138;Torino;011 4332352;57;;;;http://www.comune.torino.it/servizieducativi/se/03_np.htm;Nido Privato;;1394305,299;4992020,074
POINT (1398585.978 4997829.08);39;I PICCOLI DI S.PIO X;VIA DEI PIOPPI 15;6;10156;Torino;011 2620274;12;;;;http://www.comune.torino.it/servizieducativi/se/03_np.htm;Nido Privato;;1398585,978;4997829,08
POINT (1391312.076 4992286.312);40;IL BATUFFOLO;VIA SOSTEGNO 5;4;10146;Torino;011 5789160 - 393 3320154;28;;http://www.ilbatuffolo.it/contatti.html;info@ilbatuffolo.it;http://www.comune.torino.it/servizieducativi/se/03_np.htm;Nido Privato;;1391312,076;4992286,312
POINT (1398704.229 4989227.234);41;IL CUCCIOLO;STRADA DEI TADINI 47 int. 12;8;10131;Torino;011 6603683;24;;http://www.scuolailcucciolo.it/;info@scuolailcucciolo.it;http://www.comune.torino.it/servizieducativi/se/03_np.htm;Nido Privato;;1398704,229;4989227,234
POINT (1393935.62 4991946.945);42;IL GIRASOLE;VIA GROSCAVALLO 18;3;10138;Torino;011 4472758;31;si;http://www.asiloilgirasole.info/;contatti@asiloilgirasole.info;http://www.comune.torino.it/servizieducativi/se/03_np.htm;Nido Privato;;1393935,62;4991946,945
POINT (1395041.064 4991618.385);43;IL GRILLO PARLANTE;VIA GIUSEPPE GIUSTI 6;1;10121;Torino;011 5063602;35;si;http://www.ilgrilloparlante.com;ilgrilloparlante@ilgrilloparlante.com;http://www.comune.torino.it/servizieducativi/se/03_np.htm;Nido Privato;;1395041,064;4991618,385
POINT (1396323.25 4992874.04224537);44;IL NIDO DEL DIALOGO;VIA VITTORIO ANDREIS 18 int. 25;7;10152;Torino;011 4368566;75;si;http://www.comune.torino.it/formazioneescuola/guida/doc/nido_sermig.pdf;;http://www.comune.torino.it/servizieducativi/se/03_np.htm;Nido privato con posti assegnati da graduatoria circoscrizionale;;1396323,25;4992874,04224537
POINT (1391344.742 4985171.282);45;IL NIDO DELLE COCCINELLE;CORSO UNIONE SOVIETICA 612 int. 3 int. D;2;10135;Torino;011 3488989;25;si;;;http://www.comune.torino.it/servizieducativi/se/03_np.htm;Nido Privato;;1391344,742;4985171,282
POINT (1394671.163 4992197.215);46;IL VILLAGGIO DI SMILE;VIA ABATE ANTONIO VASSALLI-EANDI 26 bis;3;10138;Torino;011 4342717;24;si;http://www.ilvillaggiodismile.it/;info@ilvillaggiodismile.it;http://www.comune.torino.it/servizieducativi/se/03_np.htm;Nido Privato;;1394671,163;4992197,215
POINT (1392946.423 4990975.778);47;KIRIKU;VIA ISSIGLIO 42;3;10141;Torino;011 3358895;24;;;;http://www.comune.torino.it/servizieducativi/se/03_np.htm;Nido Privato;;1392946,423;4990975,778
POINT (1396414.349 4991189.049);48;LA BANDA MARMOCCHI;VIA GIOVANNI GIOLITTI 8;1;10123;Torino;011 5185420;41;si;http://www.labandamarmocchi.it/;;http://www.comune.torino.it/servizieducativi/se/03_np.htm;Nido Privato;;1396414,349;4991189,049
POINT (1391074.892 4992292.124);49;LA CICOGNA;CORSO FRANCIA 356 int. 13;4;10146;Torino;011 724901;22;si;http://www.asilolacicogna.com;info@asilolacicogna.com;http://www.comune.torino.it/servizieducativi/se/03_np.htm;Nido Privato;;1391074,892;4992292,124
POINT (1392656.916 4992479.277);50;L'ANATROCCOLO;VIA SALBERTRAND 21;4;10146;Torino;011 7770133;24;si;http://www.anatroccolo.it/;info@anatroccolo.it;http://www.comune.torino.it/servizieducativi/se/03_np.htm;Nido Privato;;1392656,916;4992479,277
POINT (1394738.209 4993204.505);51;L'ASINELLO;VIA AVELLINO 3/C;4;10144;Torino;011 7680598;27;;http://www.babyworld.it/asili-nido/torino-asinello/;;http://www.comune.torino.it/servizieducativi/se/03_np.htm;Nido Privato;;1394738,209;4993204,505
POINT (1397764.816 4996020.298);52;L'ASINELLO 2 L'ANGOLO DEL DIVERTIMENTO;VIA UMBERTO BALESTRERI 18 int. 15;6;10155;Torino;011 2673111;20;;http://www.babyworld.it/asili-nido/torino-asinello-2-angolo-divertimento/;;http://www.comune.torino.it/servizieducativi/se/03_np.htm;Nido Privato;;1397764,816;4996020,298
POINT (1392795.262 4989459.902);53;L'ISOLA DEI TESORI;VIA MOMBARCARO 90;2;10136;Torino;011 3294348;30;;http://www.lisoladeitesori.com/;info@lisoladeitesori.com;http://www.comune.torino.it/servizieducativi/se/03_np.htm;Nido Privato;;1392795,262;4989459,902
POINT (1394459.404 4992729.13);54;MARAMEO;VIA GOFFREDO CASALIS 6;4;10143;Torino;011 7576358;38;si;;;http://www.comune.torino.it/servizieducativi/se/03_np.htm;Nido Privato;;1394459,404;4992729,13
POINT (1391481.521 4992822.53);55;MINI CASA DEI BIMBI;VIA VALENTINO CARRERA 138;4;10146;Torino;011 7790036;18;si;;;http://www.comune.torino.it/servizieducativi/se/03_np.htm;Nido Privato;;1391481,521;4992822,53
POINT (1393113.003 4990139.89);56;MINIDOU ;CORSO CARLO E NELLO ROSSELLI 192;3;10141;Torino;011 3824622;30;;http://www.asilonidominidou.com/;info@minidou.it;http://www.comune.torino.it/servizieducativi/se/03_np.htm;Nido Privato;;1393113,003;4990139,89
POINT (1393223.127 4989601.288);57;MOBY DICK;VIA ADA NEGRI 8;2;10136;Torino;011 3248138;65;;http://www.comune.torino.it/formazioneescuola/guida/doc/ada_negri.pdf;;http://www.comune.torino.it/servizieducativi/se/03_np.htm;Nido privato con posti assegnati da graduatoria circoscrizionale;;1393223,127;4989601,288
POINT (1393199.287 4992494.299);58;PAN DI ZENZERO;VIA DOMODOSSOLA 19;4;10145;Torino;011 7743346;47;si;http://www.pandizenzerotorino.it/;info@pandizenzero.org;http://www.comune.torino.it/servizieducativi/se/03_np.htm;Nido Privato;;1393199,287;4992494,299
POINT (1397263.644 4992187.425);59;PAPAVERI E PAPERI;VIA PISA 43;7;10153;Torino;011 2481648;56;si;http://www.asilonidopapaveriepapere.com/;joy.2@hotmail.it;http://www.comune.torino.it/servizieducativi/se/03_np.htm;Nido Privato;;1397263,644;4992187,425
POINT (1398921.659 4991278.818);60;PIPPI CALZELUNGHE;VIA GASSINO 10;7;10132;Torino;011 8192620;55;si;http://www.pippicalzelunghe.net/;info@pippicalzelunghe.net;http://www.comune.torino.it/servizieducativi/se/03_np.htm;Nido Privato;;1398921,659;4991278,818
POINT (1395586.335 4990807.476);61;POLLICINO;VIA ASSIETTA 17;1;10128;Torino;011 546073 ;20;si;;;http://www.comune.torino.it/servizieducativi/se/03_np.htm;Nido Privato;;1395586,335;4990807,476
POINT (1393280.407 4986397.342);62;TRYLLI;CORSO TRAIANO 68 int. 9;8;10135;Torino;340 3501821;34;si;http://www.asilonidotrylli.it/;asilonidotrylli@libero.it;http://www.comune.torino.it/servizieducativi/se/03_np.htm;Nido Privato;;1393280,407;4986397,342
POINT (1392501.375 4989936.332);63;GLI AMICI DI ELY E TEO;CORSO SIRACUSA 10;2;10136;Torino;339 8936597;45;si;;;http://www.comune.torino.it/servizieducativi/se/03_np.htm;Nido Privato;;1392501,375;4989936,332
POINT (1393261.15 4992937.269);64;MELARIDO;STRADA MURRONI 7/C;4;10145;Torino;011 6985377;30;;;;http://www.comune.torino.it/servizieducativi/se/03_np.htm;Nido Privato;;1393261,15;4992937,269
POINT (1397244.847 4992501.142);65;L'ISOLA DEGLI INCREDIBILI;VIA MODENA 26;7;10152;Torino;011 0765197;18;;;;http://www.comune.torino.it/servizieducativi/se/03_np.htm;Nido Privato;;1397244,847;4992501,142
POINT (1392702.8 4986469.948);66;WONDERLAND SCHOOL;VIA ONORATO VIGLIANI 11 int. 9;8;10135;Torino;011 614312;12;si;;;http://www.comune.torino.it/servizieducativi/se/03_np.htm;Nido Privato;;1392702,8;4986469,948
