WKT_GEOM;ID_INF_L;DENOMINAZ;INDIRIZZO;CIRCOSCRIZ;CAP;CITTA;TELEFONO;EMAIL;URL;TIPO;COORD_X;COORD_Y
POINT (1392621.232 4989262.709);15;Lilliput 2;CORSO SEBASTOPOLI 262;2;10136;Torino;011 3279926;;;Ludoteca Privata;1392621,232;4989262,709
POINT (1394421.266 4990439.628);16;Familifare;VIA DEGO 6;1;10129;Torino;335 7973868;familifare@gmail.com;;Spazio Famiglia;1394421,266;4990439,628
POINT (1394421.266 4990439.628);17;Familifare;VIA DEGO 6;1;10129;Torino;335 7973868;familifare@gmail.com;;Spazio Famiglia;1394421,266;4990439,628
POINT (1392915.764 4994822.015);18;"Laboratorio di Lettura - ""Pinocchio""";VIA PARENZO 42;5;10151;Torino;011 7397210;lablett1@comune.torino.it;http://www.comune.torino.it/laboratorinfanzia/lett;Laboratorio per l'Infanzia;1392915,764;4994822,015
POINT (1391905.961 4989155.213);19;"Laboratorio di Lettura - ""Le Masche""";VIA GIUSEPPE ROMITA 19;2;10137;Torino;011 307486;lablett2@comune.torino.it;http://www.comune.torino.it/laboratorinfanzia/lett;Laboratorio per l'Infanzia;1391905,961;4989155,213
POINT (1396246.32 4989424.41);20;"Laboratorio di Lettura - ""Villino Caprifoglio""";VIALE MEDAGLIE D'ORO 88;8;10126;Torino;011 6688166;lablett4@comune.torino.it;http://www.comune.torino.it/laboratorinfanzia/lett;Laboratorio per l'Infanzia;1396246,32;4989424,41
POINT (1392293.097 4988900.5);22;"Laboratorio di Teatro - ""A caval teatro si guarda in bocca""";VIA NUORO 20/C;2;10137;Torino;011  3113068;labcaval@comune.torino.it;http://www.comune.torino.it/laboratorinfanzia/teat;Laboratorio per l'Infanzia;1392293,097;4988900,5
POINT (1392293.097 4988900.5);23;Laboratorio di Immagine;VIA NUORO 20/C;2;10137;Torino;011 3111067;labimma@comune.torino.it;http://www.comune.torino.it/laboratorinfanzia/imma;Laboratorio per l'Infanzia;1392293,097;4988900,5
POINT (1398145.103 4991840.7);24;"Laboratorio di Musica - ""Il Trillo""";VIA DANIELE MANIN 20;7;10153;Torino;011 4432009;labiltri@comune.torino.it;http://www.comune.torino.it/laboratorinfanzia/musi;Laboratorio per l'Infanzia;1398145,103;4991840,7
POINT (1393149.087 4991386.013);25;"Laboratorio di Musica - ""Bimbi Suoni scuola musica""";CORSO PESCHIERA 222;3;10139;Torino;011 334621;labbimbi@comune.torino.it;http://www.comune.torino.it/laboratorinfanzia/musi;Laboratorio per l'Infanzia;1393149,087;4991386,013
POINT (1391905.961 4989155.213);26;"Laboratorio di Musica - ""Giocanto""";VIA GIUSEPPE ROMITA 19;2;10137;Torino;011 307486;lablet2@comune.torino.it;http://www.comune.torino.it/laboratorinfanzia/musi;Laboratorio per l'Infanzia;1391905,961;4989155,213
POINT (1395888.522 4991165.229);27;Laboratorio di Acquaticita' e Attivita' Motoria - Flipper;VIA UMBERTO BIANCAMANO 10;1;10121;Torino;011 532814 - 011 538037;;http://www.comune.torino.it/laboratorinfanzia/acqu;Laboratorio per l'Infanzia;1395888,522;4991165,229
POINT (1398213.343 4991841.742);28;Laboratorio di Acquaticita' e Attivita' Motoria - Flipper;CORSO TORTONA 41;7;10153;Torino;011 4432010;;http://www.comune.torino.it/laboratorinfanzia/acqu;Laboratorio per l'Infanzia;1398213,343;4991841,742
POINT (1398145.103 4991840.7);29;"Laboratorio di Pittura, Scultura e Letteratura - ""Elios""";VIA DANIELE MANIN 20;7;10153;Torino;011 4432004 - 011 4432003;labscult@comune.torino.it, labpile@comune.torino.it;http://www.comune.torino.it/laboratorinfanzia/pitt;Laboratorio per l'Infanzia;1398145,103;4991840,7
POINT (1398140.69 4993592.105);30;"Centro di Riciclaggio Creativo - ""Remida""";VIA TOLLEGNO 83;6;10154;Torino;011 4432001 - 0114432004;remida@comune.torino.it;http://www.comune.torino.it/laboratorinfanzia/re_m;Laboratorio per l'Infanzia;1398140,69;4993592,105
POINT (1393853.558 4995240.92);21;"Laboratorio di Teatro - ""Arte e uomo senza barriere""";VIA BERNARDINO LUINI 195;5;10151;Torino;011 4553414;h.girandola@libero.it;http://www.comune.torino.it/laboratorinfanzia/teatro.htm;Laboratorio per l'Infanzia;1393853,558;4995240,92
