ID_TIPOPTO;DENOMINAZ;INDIRIZZO;CIRCOSCRIZ;CAP;CITTA;TELEFONO;FAX;EMAIL;URL;LUOGO;geometry;LATITUDE;LONGITUDE;QUARTIERE;DQUARTIERE;DCIRCOSCRIZ
70;Museo Nazionale del Risorgimento Italiano;VIA ACCADEMIA DELLE SCIENZE 5;1;10123;TORINO;011 5621147;011 5624695;info@museorisorgimentotorino.it;www.museorisorgimentotorino.it;c/o Palazzo Carignano;POINT (7.685166611789974 45.0691158117595);45.0691158117595;7.685166611789974;1;Centro;Centro - Crocetta
73;Museo Olimpico Torino 2006;VIA GIOVANNI GIOLITTI 36;1;10123;TORINO;;;;;Chiuso - Informazioni in fase di aggiornamento;POINT (7.688700753983376 45.0646560855501);45.0646560855501;7.688700753983376;1;Centro;Centro - Crocetta
74;Museo Regionale di Scienze Naturali;VIA GIOVANNI GIOLITTI 36;1;10123;TORINO;800 329329;;museo.mrsn@regione.piemonte.it;http://www.mrsntorino.it/;Il museo è CHIUSO per lavori di adeguamento.;POINT (7.688700753983376 45.0646560855501);45.0646560855501;7.688700753983376;1;Centro;Centro - Crocetta
75;Museo Storico Nazionale dell'Artiglieria;CORSO GALILEO FERRARIS 0;1;10121;TORINO;011 5629223;;;http://www.artiglieria.org/;Il Museo è temporaneamente chiuso per restauri.;POINT (7.67363115888857 45.07098260592766);45.07098260592766;7.67363115888857;1;Centro;Centro - Crocetta
78;Palazzo Cavour;VIA CAVOUR 8;1;10123;TORINO;338.69.65.103;;;http://www.palazzo-cavour.com/arte-cultura.html;;POINT (7.682698678936562 45.0653326449137);45.065332644913696;7.682698678936562;1;Centro;Centro - Crocetta
79;Palazzo Falletti di Barolo - Appartamenti Storici;VIA DELLE ORFANE 7;1;10122;TORINO;011 2636111;;;http://www.operabarolo.it/it/p-119/palazzo-barolo/palazzo-barolo;;POINT (7.678747797848901 45.07475453309547);45.07475453309547;7.678747797848901;1;Centro;Centro - Crocetta
80;Palazzo Reale;PIAZZETTA REALE 1;1;10122;TORINO;011 4361455;011 4361557;sbap-to.reale@beniculturali.it ;http://www.ilpalazzorealeditorino.it/;;POINT (7.68616120085234 45.07267287656071);45.07267287656071;7.68616120085234;1;Centro;Centro - Crocetta
82;Pinacoteca della Accademia Albertina di Belle Arti;VIA ACCADEMIA ALBERTINA 8;1;10123;TORINO;011 0897370;;pinacoteca.albertina@copatitalia.com;http://www.accademialbertina.torino.it/index.php/pinacoteca;;POINT (7.689515055574362 45.0672376410825);45.0672376410825;7.689515055574362;1;Centro;Centro - Crocetta
32;Basilica di Superga e Reali Tombe di Casa Savoia;STRADA DELLA BASILICA DI SOPERGA 73;7;10132;TORINO;011 8997456;011 8903833;prenotazioni@basilicadisuperga.com;http://www.basilicadisuperga.com/;;POINT (7.76781873307657 45.08058786821524);45.08058786821524;7.76781873307657;21;Madonna del Pilone;Aurora, Vanchiglia - Sassi - Madonna del Pilone
33;Borgo e Rocca Medioevale;VIALE VIRGILIO 107;8;10126;TORINO;011 4431701 - 011 4431702;0114431719 - 0114431720;borgomedievale@fondazionetorinomusei.it;http://www.borgomedioevaletorino.it;Parco del Valentino;POINT (7.685334267550323 45.0494466299792);45.0494466299792;7.685334267550323;2;San Salvario;San Salvario - Cavoretto - Borgo Po - Nizza Millefonti - Lingotto - Filadelfia
54;Museo della Frutta Francesco Garnier Valletti;VIA PIETRO GIURIA 15;8;10126;TORINO;011 6708195;011 6708196;info-museodellafrutta@comune.torino.it;http://www.museodellafrutta.it;;POINT (7.679675060082769 45.04975321236684);45.049753212366845;7.679675060082769;2;San Salvario;San Salvario - Cavoretto - Borgo Po - Nizza Millefonti - Lingotto - Filadelfia
61;Museo di Anatomia Umana Luigi Rolando;CORSO MASSIMO D'AZEGLIO 52;8;10126;TORINO;011 6707883;011 6705931;museo.anatomia@unito.it;www.museounito.it;;POINT (7.680516078951853 45.04944570815125);45.04944570815125;7.680516078951853;2;San Salvario;San Salvario - Cavoretto - Borgo Po - Nizza Millefonti - Lingotto - Filadelfia
63;Museo di Antropologia Criminale Cesare Lombroso;VIA PIETRO GIURIA 15;8;10126;TORINO;011 6708195;011 6705931;museo.lombroso@unito.it;www.museounito.it;;POINT (7.679675060082769 45.04975321236684);45.049753212366845;7.679675060082769;2;San Salvario;San Salvario - Cavoretto - Borgo Po - Nizza Millefonti - Lingotto - Filadelfia
77;Orto Botanico;VIALE PIER ANDREA MATTIOLI 25;8;10125;TORINO;011 6705970 - 011 6705976 ;011 6705962;consolata.siniscalco@unito.it - daniela.bouvet@unito.it;www.ortobotanico.unito.it;;POINT (7.686130161227056 45.05533113212365);45.05533113212365;7.686130161227056;2;San Salvario;San Salvario - Cavoretto - Borgo Po - Nizza Millefonti - Lingotto - Filadelfia
35;ECOMUSEO URBANO DI TORINO - CIRCOSCRIZIONE 2;VIA EDOARDO RUBINO 45;2;10137;TORINO;011 4436255;011 4434426;ecomuseo@comune.torino.it;http://www.comune.torino.it/ecomuseo;;POINT (7.624556888100697 45.04110646416468);45.04110646416468;7.624556888100697;12;Mirafiori Nord;Santa Rita - Mirafiori
38;ECOMUSEO URBANO DI TORINO - CIRCOSCRIZIONE 6;VIA S. GAETANO THIENE 6;6;10154;TORINO;"011 2424215; 011 01135667-36 (Ufficio Cultura) ";;circ6@comune.torino.it;http://www.comune.torino.it/ecomuseo;;POINT (7.714117928726038 45.08977459353992);45.08977459353992;7.714117928726038;20;Regio Parco;Barriera di Milano - Regio Parco - Barca - Bertolla - Falchera - Rebaudengo - Villaretto
40;ECOMUSEO URBANO DI TORINO - CIRCOSCRIZIONE 8;CORSO MONCALIERI 18;8;10131;TORINO;011 4438809 - 011 4435812;;informa8@comune.torino.it;http://www.comune.torino.it/ecomuseo;;POINT (7.694878081757436 45.05946475688949);45.05946475688949;7.6948780817574365;22;Borgo Poe Cavoretto;San Salvario - Cavoretto - Borgo Po - Nizza Millefonti - Lingotto - Filadelfia
65;Museo di Storia Naturale Don Bosco e delle Apparecchiature Scientifiche;VIALE ENRICO THOVEZ 37;8;10131;TORINO;011 6300611-629;011 6300605;museo@liceovalsalice.it;http://liceovalsalice.it/museo-di-storia-naturale-don-bosco/;;POINT (7.70204860617052 45.05391845922925);45.05391845922925;7.7020486061705205;22;Borgo Poe Cavoretto;San Salvario - Cavoretto - Borgo Po - Nizza Millefonti - Lingotto - Filadelfia
71;Museo Nazionale della Montagna Duca degli Abruzzi;PIAZZALE MONTE DEI CAPPUCCINI 7;8;10131;TORINO;011 6604104;011 6604622;posta@museomontagna.org;http://www.museomontagna.org;;POINT (7.697189207448042 45.05966212425829);45.05966212425829;7.697189207448042;22;Borgo Poe Cavoretto;San Salvario - Cavoretto - Borgo Po - Nizza Millefonti - Lingotto - Filadelfia
84;Villa della Regina;STRADA S. MARGHERITA 29/A;8;10131;TORINO;011 5641711;011 549547;sbeap-to.artistici@beniculturali.it - sbeap-al.artistici@beniculturali.it;http://www.artito.arti.beniculturali.it/museum.php?museum=4;;POINT (7.706807679103543 45.05678542866235);45.05678542866235;7.706807679103543;22;Borgo Poe Cavoretto;San Salvario - Cavoretto - Borgo Po - Nizza Millefonti - Lingotto - Filadelfia
41;ECOMUSEO URBANO DI TORINO - CIRCOSCRIZIONE 9;VIA CARLO BOSSOLI 72/A;8;10135;TORINO;011 01134930 - 011 01135956;011.011.35919;ecomuseo9@comune.torino.it;http://www.comune.torino.it/ecomuseo;;POINT (7.651624610473568 45.02833039816199);45.02833039816199;7.651624610473568;10;Mercati generali;San Salvario - Cavoretto - Borgo Po - Nizza Millefonti - Lingotto - Filadelfia
81;PAV - Parco d'Arte Vivente;VIA BRUNO GIORDANO 31;8;10134;TORINO;011 3182235;;info@parcoartevivente.it;http://www.parcoartevivente.it;;POINT (7.664003045122794 45.0439838457053);45.0439838457053;7.664003045122794;10;Mercati generali;San Salvario - Cavoretto - Borgo Po - Nizza Millefonti - Lingotto - Filadelfia
42;ECOMUSEO URBANO DI TORINO - CIRCOSCRIZIONE 3;VIA FRANCESCO MILLIO 20;3;10141;TORINO;011 4434491;;ecomuseo3@comune.torino.it;http://www.comune.torino.it/ecomuseo;;POINT (7.651878024304819 45.05780035690425);45.05780035690425;7.6518780243048194;4;San Paolo;San Paolo - Cenisia - Pozzo Strada - Cit Turin - Borgata Lesna
43;Fondazione Merz;VIA LIMONE 24/A;3;10141;TORINO;011 19719437;011 19719805;info@fondazionemerz.org;http://www.fondazionemerz.org;;POINT (7.643040592349935 45.06189940090588);45.06189940090588;7.643040592349935;4;San Paolo;San Paolo - Cenisia - Pozzo Strada - Cit Turin - Borgata Lesna
44;Fondazione Sandretto Re Rebaudengo per l'Arte;VIA MODANE 16;3;10141;TORINO;011 3797600;011 19831601;info@fsrr.org;www.fsrr.org;;POINT (7.652258247464816 45.0569206576446);45.0569206576446;7.6522582474648155;4;San Paolo;San Paolo - Cenisia - Pozzo Strada - Cit Turin - Borgata Lesna
46;GAM - Galeria Civica d'Arte Moderna e Contemporanea;VIA MAGENTA 31;1;10128;TORINO;011 4429518;011 4429550;gam@fondazionetorinomusei.it;http://www.gamtorino.it;;POINT (7.66973774887736 45.06497900189195);45.06497900189195;7.66973774887736;3;Crocetta;Centro - Crocetta
76;MAP - Museo Archivio Politecnico (CEMED);CORSO DUCA DEGLI ABRUZZI 24;1;10129;TORINO;011 4330550;;infomap@polito.it;http://areeweb.polito.it/strutture/cemed/001/Index2.htm;;POINT (7.662360358838298 45.06245141133888);45.062451411338884;7.662360358838298;3;Crocetta;Centro - Crocetta
51;Museo Carpano (Eataly);VIA NIZZA 230 int. 14;8;10126;TORINO;011 19506801 (Box Informazioni Eataly);011 19506899 (Box Informazioni;infotorino@eataly.it;http://www.eataly.it;Lingotto;POINT (7.667040390777145 45.03492119674794);45.03492119674794;7.667040390777145;9;Nizza mille fonti;San Salvario - Cavoretto - Borgo Po - Nizza Millefonti - Lingotto - Filadelfia
72;Museo Nazionale dell'Automobile - Carlo Biscaretti di Ruffia;CORSO UNITA' D'ITALIA 40;8;10126;TORINO;011 677666;011 6647148;info@museoauto.it;http://www.museoauto.it/;;POINT (7.674254317463597 45.03148605832027);45.03148605832027;7.674254317463597;9;Nizza mille fonti;San Salvario - Cavoretto - Borgo Po - Nizza Millefonti - Lingotto - Filadelfia
83;Pinacoteca Giovanni e Marella Agnelli;VIA NIZZA 230;8;10126;TORINO;011 0062713;;segreteria@pinacoteca-agnelli.it;http://www.pinacoteca-agnelli.it;;POINT (7.667714998960114 45.03405481755141);45.03405481755141;7.667714998960114;9;Nizza mille fonti;San Salvario - Cavoretto - Borgo Po - Nizza Millefonti - Lingotto - Filadelfia
