0
"[8 Via Giulia di Barolo, Turin Piemont, Italy]"
"[39 Via Andrea Massena, Turin Piemont, Italy]"
"[19/A Via Giuseppe Talucchi, Turin Piemont, Italy]"





"[16 Via Fossano, Turin Piemont, Italy]"


"[Carema Piemont, Italy]"
"[11 Via Giorgio Bidone, Turin Piemont, Italy]"

"[26 scala B Corso Alcide De Gasperi, Turin Piemont, Italy]"
"[69 Corso Giacomo Matteotti, Chieri Piemont, Italy]"

"[Turin Piemont, Italy]"

"[25 Via Giuseppe Giacosa, Turin Piemont, Italy]"




"[14 Via Filippo Juvarra, Turin Piemont, Italy]"


"[Turin Piemont, Italy]"
"[31 via Roma, Luserna San Giovanni Piemont, Italy]"
"[157 Corso Vercelli, Turin Piemont, Italy]"



"[44 Strada San Vincenzo, Turin Piemont, Italy]"

"[58 Via Pietro Palmieri, Turin Piemont, Italy]"




"[25 Via Ettore Stampini, Turin Piemont, Italy]"

"[16 Via Antonio Cecchi, Turin Piemont, Italy]"
"[28/A Via Giovanni Pacini, Turin Piemont, Italy]"

"[15 Corso Alessandro Tassoni, Turin Piemont, Italy]"


"[61 Corso Svizzera, Turin Piemont, Italy]"
"[94 Piazza Polonia, Turin Piemont, Italy]"





"[29 int. 1 Viale dei Mughetti, Turin Piemont, Italy]"












"[141 int. 8 Corso Vercelli, Turin Piemont, Italy]"

"[12/B Via Raimondo Montecuccoli, Turin Piemont, Italy]"



"[6 Corso Caio Plinio, Turin Piemont, Italy]"

"[29 Via Duchessa Jolanda, Turin Piemont, Italy]"





"[55 Strada Castello di Mirafiori, Turin Piemont, Italy]"









"[Strada Castello di Mirafiori, Turin Piemont, Italy]"
"[24 Via Tommaso Vallauri, Turin Piemont, Italy]"
"[Via Mario Pannunzio, Turin Piemont, Italy]"
"[12 Via Ignazio Collino, Turin Piemont, Italy]"


"[35 Via Cavagnolo, Turin Piemont, Italy]"






"[Nichelino Piemont, Italy]"

"[102 Via Madama Cristina, Turin Piemont, Italy]"
"[Turin Piemont, Italy]"


"[Turin Piemont, Italy]"
"[258/A Corso Sebastopoli, Turin Piemont, Italy]"
"[Nichelino Piemont, Italy]"


"[70 Via Pinerolo, Piossasco Piemont, Italy]"





"[171 Via Baltimora, Turin Piemont, Italy]"








"[29 Via Gianfrancesco Fiochetto, Turin Piemont, Italy]"

"[11 Via Giorgio Bidone, Turin Piemont, Italy]"
"[11 Via Gaetano Mosca, Turin Piemont, Italy]"












"[234 int. 24 Strada San Mauro, Turin Piemont, Italy]"





"[26/C Via Como, Turin Piemont, Italy]"
"[Turin Piemont, Italy]"
"[3 Via Paolo della Cella, Turin Piemont, Italy]"

"[Corso 4 Novembre, Rivoli Piemont, Italy]"


"[27 Via del Carmine, Turin Piemont, Italy]"
"[Leinì Piemont, Italy]"
"[395 Via Nizza, Turin Piemont, Italy]"






"[153 Via Bologna, Turin Piemont, Italy]"
"[6 Via San Sebastiano Po, Turin Piemont, Italy]"
"[94 Piazza Polonia, Turin Piemont, Italy]"
"[22 Via Tofane, Turin Piemont, Italy]"




"[Via Lose, Beinasco Piemont, Italy]"
"[26 Corso Giulio Cesare, Turin Piemont, Italy]"
"[17 scala B Corso Giuseppe Arimondi, Turin Piemont, Italy]"
"[Viale Pier Andrea Mattioli, Turin Piemont, Italy]"
"[380/E Corso Peschiera, Turin Piemont, Italy]"
"[14 Via Giacomo Matteotti, Luserna San Giovanni Piemont, Italy]"

"[141 int. 9 Corso Vercelli, Turin Piemont, Italy]"



"[54 Via Domodossola, Turin Piemont, Italy]"


"[147 int. 11 Strada Lanzo, Turin Piemont, Italy]"


"[32 Via Antonio Banfo, Turin Piemont, Italy]"


"[79 int. 15 Via Venaria, Turin Piemont, Italy]"
"[Carmagnola Piemont, Italy]"


"[102/A Via Tunisi, Turin Piemont, Italy]"

"[140 Via Vincenzo Lancia, Turin Piemont, Italy]"

"[2 Via Pietro Thouar, Turin Piemont, Italy]"
"[5 Via Bardassano, Turin Piemont, Italy]"



"[4 Via Carlo Lorenzini, Turin Piemont, Italy]"
"[80 Via Giacinto Pacchiotti, Turin Piemont, Italy]"
"[68 Via Francesco Rismondo, Turin Piemont, Italy]"




"[36/A Via Cristoforo Colombo, Turin Piemont, Italy]"




"[42 Via Giovanni Paisiello, Turin Piemont, Italy]"
"[46/B Via San Remo, Turin Piemont, Italy]"


"[56 Via Amilcare Ponchielli, Turin Piemont, Italy]"


"[25 Via Figlie dei Militari, Turin Piemont, Italy]"
"[57 Via Giuseppe Piazzi, Turin Piemont, Italy]"

"[155/A Corso Orbassano, Turin Piemont, Italy]"
"[51 Via Carlo Capelli, Turin Piemont, Italy]"
"[13/B Via Gassino, Turin Piemont, Italy]"
"[4 Via Masserano, Turin Piemont, Italy]"
"[98 Corso Lombardia, Turin Piemont, Italy]"




"[113 Via Cardinale Guglielmo Massaia, Turin Piemont, Italy]"



"[147 int. 11 Strada Lanzo, Turin Piemont, Italy]"



"[Turin Piemont, Italy]"
"[128 Via Ventimiglia, Turin Piemont, Italy]"

"[6 Via delle Verbene, Turin Piemont, Italy]"
"[1 bis Via Bligny, Turin Piemont, Italy]"








"[Pianezza Piemont, Italy]"

"[11 Via Vittorio Bersezio, Turin Piemont, Italy]"







"[31 via Roma, Luserna San Giovanni Piemont, Italy]"



"[28 Via Tofane, Turin Piemont, Italy]"







"[30 Via Bettino Ricasoli, Turin Piemont, Italy]"
"[9/A Via Don Leonardo Murialdo, Turin Piemont, Italy]"
"[107 Via San Marino, Turin Piemont, Italy]"


"[Nichelino Piemont, Italy]"

"[None Piemont, Italy]"

"[Turin Piemont, Italy]"





"[11 Via Santorre di Santarosa, Turin Piemont, Italy]"
"[3 Via Berruti e Ferrero, Turin Piemont, Italy]"



"[40 Via Tolmino, Turin Piemont, Italy]"
"[14 Via Mentana, Turin Piemont, Italy]"

"[26/C Via Como, Turin Piemont, Italy]"
"[41 Via Zumaglia, Turin Piemont, Italy]"

"[98 Via Gian Domenico Cassini, Turin Piemont, Italy]"
"[17 Via Martino Anglesio, Turin Piemont, Italy]"
"[Turin Piemont, Italy]"






"[14 Via Torino, Milazzo Sicily, Italy]"
"[81 Corso Monte Grappa, Turin Piemont, Italy]"
"[30 Via Casteldelfino, Turin Piemont, Italy]"






"[Vigone Piemont, Italy]"


"[50 Strada comunale di Bertolla, Turin Piemont, Italy]"

"[16 Via Torino, Pontenure Emilia-Romagna, Italy]"



"[8 Corso San Maurizio, Turin Piemont, Italy]"
"[43 Corso Regina Margherita, Turin Piemont, Italy]"

"[Corso Isonzo, Seveso Lombardy, Italy]"
"[33 Via Chambery, Turin Piemont, Italy]"
"[13 bis/A Via degli Abeti, Turin Piemont, Italy]"


"[155/A Corso Orbassano, Turin Piemont, Italy]"
"[29 Corso Venezia, Turin Piemont, Italy]"



"[71 Via Valenza, Turin Piemont, Italy]"
"[Turin Piemont, Italy]"
"[43 Via Luigi Boccherini, Turin Piemont, Italy]"

"[Turin Piemont, Italy]"







"[54 Via Domodossola, Turin Piemont, Italy]"

"[Corso Gaetano Salvemini, Turin Piemont, Italy]"


"[5 Piazzetta Luciano Jona, Turin Piemont, Italy]"






"[31 Corso Racconigi, Turin Piemont, Italy]"
"[12 Via Anastasio Germonio, Turin Piemont, Italy]"






"[36/A Via Lussimpiccolo, Turin Piemont, Italy]"


"[25 Via Figlie dei Militari, Turin Piemont, Italy]"

"[29 Via Luigi Palma di Cesnola, Turin Piemont, Italy]"




"[Settimo Torinese Piemont, Italy]"

"[20 Via Vezzolano, Turin Piemont, Italy]"


