ID_POL_STA;SEDE;UFFICIO;INDIRIZZO;CIRCOSCRIZ;CAP;CITTA;TELEFONO;FAX;EMAIL;URL;ORARIO;geometry;LATITUDE;LONGITUDE;QUARTIERE;DQUARTIERE;DCIRCOSCRIZ
28;Questura Torino;Divisione Polizia Amministrativa e Sociale  ;CORSO VINZAGLIO 10;1;10121;TORINO;01155881;;ammin.quest.to@pecps.poliziadistato.it;http://questure.poliziadistato.it/Torino/orari-5-602-1-1.htm;Lunedi' 09:00-12:00 Mercoledi' 09:00-12:00 Venerdi' 09:00-12:00;POINT (7.668051214334105 45.07038714372582);45.070387143725824;7.668051214334105;1;Centro;Centro - Crocetta
3;Questura Torino;Ufficio Immigrazione;CORSO VERONA 4;7;10152;TORINO;01155881;0115588045;immig.quest.to@pecps.poliziadistato.it ;http://questure.poliziadistato.it/Torino/orari-5-602-1-1.htm;Lunedi'  08:30-13:30 Martedi' 08:30-13:30 Mercoledi' 08:30-13:30 Giovedi' 08:30-13:30 Venerdi' 08:30-13:30;POINT (7.694639728666633 45.0804294186911);45.080429418691104;7.694639728666633;7;Aurora;Aurora, Vanchiglia - Sassi - Madonna del Pilone
4;Commissariato Torino Barriera di Milano;Ufficio Denunce;VIA SANDRO BOTTICELLI 114;6;10154;TORINO;0112404411;0112404433;comm.barrieramilano.to@pecps.poliziadistato.it;http://questure.poliziadistato.it/Torino/orari-5-602-2-1.htm;dal lunedi' al sabato 08:30-19.30;POINT (7.710460417407242 45.09833003116213);45.09833003116213;7.710460417407242;20;Regio Parco;Barriera di Milano - Regio Parco - Barca - Bertolla - Falchera - Rebaudengo - Villaretto
5;Commissariato Torino Barriera di Milano;Sportello della Polizia Amministrativa;VIA SANDRO BOTTICELLI 114;6;10154;TORINO;0112404411;0112404433;comm.barrieramilano.to@pecps.poliziadistato.it;http://questure.poliziadistato.it/Torino/orari-5-602-2-1.htm;Lunedi'  09:00-13:00 Martedi' 09:00-13:00 15:00-18:00Mercoledi' 09:00-13:00 Giovedi' 09:00-13:00 Venerdi' 09:00-13:00 Sabato chiuso.;POINT (7.710460417407242 45.09833003116213);45.09833003116213;7.710460417407242;20;Regio Parco;Barriera di Milano - Regio Parco - Barca - Bertolla - Falchera - Rebaudengo - Villaretto
6;Commissariato Torino Barriera Nizza;Ufficio Denunce;CORSO SPEZIA 26;8;10126;TORINO;0116939811;0116939833;comm.barrieranizza.to@pecps.poliziadistato.it;http://questure.poliziadistato.it/Torino/orari-5-602-2-1.htm;dal lunedi' al sabato 08:30-19.30;POINT (7.6695380135978 45.03723224575899);45.03723224575899;7.6695380135978;9;Nizza mille fonti;San Salvario - Cavoretto - Borgo Po - Nizza Millefonti - Lingotto - Filadelfia
7;Commissariato Torino Barriera Nizza;Sportello della Polizia Amministrativa;CORSO SPEZIA 26;8;10126;TORINO;0116939811;0116939833;comm.barrieranizza.to@pecps.poliziadistato.it;http://questure.poliziadistato.it/Torino/orari-5-602-2-1.htm;Lunedi'  09:00-13:00 Martedi' 09:00-13:00 15:00-18:00 Mercoledi' 09:00-13:00 Giovedi' 09:00-13:00 Venerdi' 09:00-13:00 Sabato chiuso.;POINT (7.6695380135978 45.03723224575899);45.03723224575899;7.6695380135978;9;Nizza mille fonti;San Salvario - Cavoretto - Borgo Po - Nizza Millefonti - Lingotto - Filadelfia
8;Commissariato Torino Borgo Po;Ufficio Denunce;VIA SABAUDIA 36;8;10133;TORINO;0116619711;0116619733;comm.borgopo.to@pecps.poliziadistato.it;http://questure.poliziadistato.it/Torino/orari-5-602-2-1.htm;dal lunedi' al sabato 08:30-19.30;POINT (7.684540750066938 45.03438903217343);45.03438903217343;7.6845407500669385;22;Borgo Poe Cavoretto;San Salvario - Cavoretto - Borgo Po - Nizza Millefonti - Lingotto - Filadelfia
9;Commissariato Torino Borgo Po;Sportello della Polizia Amministrativa;VIA SABAUDIA 36;8;10133;TORINO;0116619711;0116619733;comm.borgopo.to@pecps.poliziadistato.it;http://questure.poliziadistato.it/Torino/orari-5-602-2-1.htm;Lunedi'  09:00-13:00 Martedi' 09:00-13:00 15:00-18:00 Mercoledi' 09:00-13:00 Giovedi' 09:00-13:00 Venerdi' 09:00-13:00 Sabato chiuso.;POINT (7.684540750066938 45.03438903217343);45.03438903217343;7.6845407500669385;22;Borgo Poe Cavoretto;San Salvario - Cavoretto - Borgo Po - Nizza Millefonti - Lingotto - Filadelfia
14;Commissariato Torino Madonna di Campagna;Ufficio Denunce;CORSO GROSSETO 283;5;10147;TORINO;0112280011;0112280033;comm.madonna.to@pecps.poliziadistato.it;http://questure.poliziadistato.it/Torino/orari-5-602-2-1.htm;dal lunedi' al sabato 08:30-19.30;POINT (7.66350841334557 45.10456308853307);45.10456308853307;7.6635084133455695;16;Madonna di Campagna;Borgo Vittoria - Madonna di Campagna - Lucento - Vallette
15;Commissariato Torino Madonna di Campagna;Sportello della Polizia Amministrativa;CORSO GROSSETO 283;5;10147;TORINO;0112280011;0112280033;comm.madonna.to@pecps.poliziadistato.it;http://questure.poliziadistato.it/Torino/orari-5-602-2-1.htm;Lunedi'  09:00-13:00 Martedi' 09:00-13:00 15:00-18:00 Mercoledi' 09:00-13:00 Giovedi' 09:00-13:00 Venerdi' 09:00-13:00 Sabato chiuso.;POINT (7.66350841334557 45.10456308853307);45.10456308853307;7.6635084133455695;16;Madonna di Campagna;Borgo Vittoria - Madonna di Campagna - Lucento - Vallette
16;Commissariato Torino Mirafiori;Ricezione Denunce;VIA PIER DOMENICO OLIVERO 13;8;10135;TORINO;0116177511;0116177533;comm.mirafiori.to@pecps.poliziadistato.it;http://questure.poliziadistato.it/Torino/orari-5-602-2-1.htm;dal lunedi' al sabato 08:30-19.30;POINT (7.64707098539617 45.03132354620158);45.03132354620158;7.64707098539617;10;Mercati generali;San Salvario - Cavoretto - Borgo Po - Nizza Millefonti - Lingotto - Filadelfia
17;Commissariato Torino Mirafiori;Sportello della Polizia Amministrativa;VIA PIER DOMENICO OLIVERO 13;8;10135;TORINO;0116177511;0116177533;comm.mirafiori.to@pecps.poliziadistato.it;http://questure.poliziadistato.it/Torino/orari-5-602-2-1.htm;Lunedi'  09:00-13:00 Martedi' 09:00-13:00 15:00-18:00 Mercoledi' 09:00-13:00 Giovedi' 09:00-13:00 Venerdi' 09:00-13:00 Sabato chiuso.;POINT (7.64707098539617 45.03132354620158);45.03132354620158;7.64707098539617;10;Mercati generali;San Salvario - Cavoretto - Borgo Po - Nizza Millefonti - Lingotto - Filadelfia
18;Commissariato Torino San Donato;Ufficio Denunce;VIA PIERDIONIGI PINELLI 3;4;10144;TORINO;0114388611;0114388633;comm.sandonato.to@pecps.poliziadistato.it;http://questure.poliziadistato.it/Torino/orari-5-602-2-1.htm;dal lunedi' al sabato 08:30-19.30;POINT (7.669740976070811 45.07991791741222);45.079917917412224;7.669740976070811;6;San Donato;San Donato - Campidoglio - Parella
19;Commissariato Torino San Donato;Sportello della Polizia Amministrativa;VIA PIERDIONIGI PINELLI 3;4;10144;TORINO;0114388611;0114388633;comm.sandonato.to@pecps.poliziadistato.it;http://questure.poliziadistato.it/Torino/orari-5-602-2-1.htm;Lunedi'  09:00-13:00 Martedi' 09:00-13:00 15:00-18:00 Mercoledi' 09:00-13:00 Giovedi' 09:00-13:00 Venerdi' 09:00-13:00 Sabato chiuso.;POINT (7.669740976070811 45.07991791741222);45.079917917412224;7.669740976070811;6;San Donato;San Donato - Campidoglio - Parella
20;Commissariato Torino San Paolo;Ufficio Denunce;CORSO RACCONIGI 100/A;3;10141;TORINO;0113333311;0113333333;comm.sanpaolo.to@pecps.poliziadistato.it;http://questure.poliziadistato.it/Torino/orari-5-602-2-1.htm;dal lunedi' al sabato 08:30-19.30;POINT (7.644778947437675 45.06514304078902);45.065143040789025;7.6447789474376755;4;San Paolo;San Paolo - Cenisia - Pozzo Strada - Cit Turin - Borgata Lesna
21;Commissariato Torino San Paolo;Sportello della Polizia Amministrativa;CORSO RACCONIGI 100/A;3;10141;TORINO;0113333311;0113333333;comm.sanpaolo.to@pecps.poliziadistato.it;http://questure.poliziadistato.it/Torino/orari-5-602-2-1.htm;Lunedi'  09:00-13:00 Martedi' 09:00-13:00 15:00-18:00 Mercoledi' 09:00-13:00 Giovedi' 09:00-13:00 Venerdi' 09:00-13:00 Sabato chiuso.;POINT (7.644778947437675 45.06514304078902);45.065143040789025;7.6447789474376755;4;San Paolo;San Paolo - Cenisia - Pozzo Strada - Cit Turin - Borgata Lesna
22;Commissariato Torino San Secondo;Ricezione Denunce;VIA ANDREA MASSENA 105;1;10128;TORINO;0115093611;0115093633;comm.sansecondo.to@pecps.poliziadistato.it;http://questure.poliziadistato.it/Torino/orari-5-602-2-1.htm;dal lunedi' al sabato 08:30-19.30;POINT (7.667226784532351 45.05294475170361);45.05294475170361;7.6672267845323505;3;Crocetta;Centro - Crocetta
23;Commissariato Torino San Secondo;Sportello della Polizia Amministrativa;VIA ANDREA MASSENA 105;1;10128;TORINO;0115093611;0115093633;comm.sansecondo.to@pecps.poliziadistato.it;http://questure.poliziadistato.it/Torino/orari-5-602-2-1.htm;Lunedi'  09:00-13:00 Martedi' 09:00-13:00 15:00-18:00 Mercoledi' 09:00-13:00 Giovedi' 09:00-13:00 Venerdi' 09:00-13:00 Sabato chiuso.;POINT (7.667226784532351 45.05294475170361);45.05294475170361;7.6672267845323505;3;Crocetta;Centro - Crocetta
