ID_BIBLIOT;DENOMINAZ;INDIRIZZO;CITTA;CAP;CIRCOSCRIZ;TELEFONO;FAX;EMAIL;URL;ORARIO;ACC_DISAB;geometry;LATITUDE;LONGITUDE;QUARTIERE;DQUARTIERE;DCIRCOSCRIZ
9;Punto prestito G. D'Annunzio;VIA GASPARE SACCARELLI 18;TORINO;10144;4;01101139350;;biblioteca.dannunzio@comune.torino.it;http://www.comune.torino.it/cultura/biblioteche/sedi_orari/dannunzio.shtml;"lunedi' 15.00-18.55; mercoledi' 10.00-18.55; martedi', giovedi' e venerdi' 13.00-18.55; sabato chiusa";accessibile ai portatori di handicap (ingresso da via Miglietti 24);POINT (7.666657983241327 45.08041451403825);45.080414514038246;7.666657983241327;6;San Donato;San Donato - Campidoglio - Parella
3;Biblioteca civica Rita Atria;STRADA S. MAURO 26/A;TORINO;10156;6;01101129170;;biblioteca.ritaatria@comune.torino.it;http://www.comune.torino.it/cultura/biblioteche/sedi_orari/rita_atria.shtml;"dal lunedi' al mercoledi' 13.45-18.45 (il martedi' sono previste attivita' culturali in biblioteca); giovedi' e venerdi' 8.30-14.00";accessibile ai portatori di handicap;POINT (7.726481852303357 45.09971922182816);45.09971922182816;7.726481852303357;20;Regio Parco;Barriera di Milano - Regio Parco - Barca - Bertolla - Falchera - Rebaudengo - Villaretto
13;Mausoleo della Bela Rosin;STRADA CASTELLO DI MIRAFIORI 148 int. 7;TORINO;10135;2;01101129836/55/58/63 (Biblioteca civica centrale);;mausoleo.belarosin@comune.torino.it;http://www.comune.torino.it/cultura/biblioteche/sedi_orari/mausoleo.shtml;"aprile-ottobre: dal mercoledi' alla domenica ore 10.00-12.00 e 15.30-19.30; novembre-marzo: venerdi', sabato e domenica ore 10.00-12.00 e 14.30-17.00";accessibile ai portatori di handicap;POINT (7.637572456324729 45.01011525891759);45.010115258917594;7.637572456324729;23;Mirafiori Sud;Santa Rita - Mirafiori
15;Biblioteca civica Mirafiori;CORSO UNIONE SOVIETICA 490;TORINO;10135;2;0113470637;113470637.0;biblioteca.mirafiori@comune.torino.it;http://www.comune.torino.it/cultura/biblioteche/sedi_orari/mirafiori.shtml;"martedi' e mercoledi' dalle 9.00 alle 13.00; giovedi' e venerdi' dalle 15.00 alle 19.00; sabato dalle 14.00 alle 18.00";accessibile ai portatori di handicap;POINT (7.63071167083647 45.0191832240774);45.0191832240774;7.63071167083647;23;Mirafiori Sud;Santa Rita - Mirafiori
17;Biblioteca civica Cesare Pavese;VIA CANDIOLO 79;TORINO;10127;2;01101137080;1101137089.0;biblioteca.pavese@comune.torino.it;http://www.comune.torino.it/cultura/biblioteche/sedi_orari/pavese.shtml;"lunedi' 15.00-19.45; martedi' e mercoledi' 14.15-19.45; dal giovedi' al sabato 8.30-14.00";accessibile ai portatori di handicap;POINT (7.649236953744595 45.01565257546914);45.01565257546914;7.649236953744595;23;Mirafiori Sud;Santa Rita - Mirafiori
16;Biblioteca civica A. Passerin d'Entreves;VIA GUIDO RENI 102;TORINO;10136;2;01101135290;1101135205.0;biblioteca.passerin@comune.torino.it;http://www.comune.torino.it/cultura/biblioteche/sedi_orari/passerin.shtml;"lunedi' 15.00-19.45; dal martedi' al venerdi' 8.15-19.45; sabato 8.15-14.00";accessibile ai portatori di handicap;POINT (7.629211520739594 45.04839805210469);45.04839805210469;7.629211520739594;12;Mirafiori Nord;Santa Rita - Mirafiori
19;Biblioteca civica Villa Amoretti;CORSO ORBASSANO 200;TORINO;10137;2;01101138604/5;114438619.0;biblioteca.amoretti@comune.torino.it;http://www.comune.torino.it/cultura/biblioteche/sedi_orari/amoretti.shtml;"lunedi' 15.00-19.55; dal martedi' al venerdi' 8.15-19.55; sabato 10.30-18.00";accessibile ai portatori di handicap;POINT (7.639013331140558 45.04267846678007);45.04267846678007;7.639013331140558;11;Santa Rita;Santa Rita - Mirafiori
10;Biblioteca civica Alberto Geisser;PARCO IGNAZIO MICHELOTTI 5;TORINO;10131;8;01101137570;1101137580.0;biblioteca.geisser@comune.torino.it;http://www.comune.torino.it/cultura/biblioteche/sedi_orari/geisser.shtml;"lunedi' 15.00-19.45; martedi' e mercoledi' 14.00-19.45; dal giovedi' al sabato 8.15-14.00";accessibile ai portatori di handicap;POINT (7.703995638588663 45.06589465422487);45.06589465422487;7.703995638588663;22;Borgo Poe Cavoretto;San Salvario - Cavoretto - Borgo Po - Nizza Millefonti - Lingotto - Filadelfia
11;Biblioteca civica Natalia Ginzburg;VIA CESARE LOMBROSO 16;TORINO;10125;8;01101137672;;biblioteca.ginzburg@comune.torino.it;http://www.comune.torino.it/cultura/biblioteche/sedi_orari/ginzburg.shtml;" lunedi' 15.00-22.00; martedi' 14.00-19.45; mercoledi' 14.00-22.00; dal giovedi' al sabato 8.15-14.00";accessibile ai portatori di handicap;POINT (7.682659908585545 45.05620126224714);45.05620126224714;7.682659908585545;2;San Salvario;San Salvario - Cavoretto - Borgo Po - Nizza Millefonti - Lingotto - Filadelfia
14;Biblioteca civica Don Lorenzo Milani;VIA DEI PIOPPI 43;TORINO;10156;6;01101132619-20;1101132618.0;biblioteca.donmilani@comune.torino.it;http://www.comune.torino.it/cultura/biblioteche/sedi_orari/falchera.shtml;"lunedi' 15.00-19.45; martedi' e mercoledi' 14.00-19.45; dal giovedi' al sabato 8.15-14.00";accessibile ai portatori di handicap;POINT (7.712131975134009 45.12688839564585);45.12688839564585;7.712131975134009;19;Falchera;Barriera di Milano - Regio Parco - Barca - Bertolla - Falchera - Rebaudengo - Villaretto
