ID_CHIESA;FK_TIPO_CH;TIPO_CHIES;DENOMINAZ;INDIRIZZO;CITTA;CAP;CIRCOSCRIZ;TELEFONO;FAX;EMAIL;URL;ZONA_VICAR;UNITA_PAST;PARROCCO;CONFESSION;ORARIO;COD_DIOCES;ABIT_PARRO;NOM_U_PAST;geometry;LATITUDE;LONGITUDE;QUARTIERE;DQUARTIERE;DCIRCOSCRIZ
30;1;PARROCCHIALE;Madonna di Pompei;VIA S. SECONDO 90;TORINO;10128;1;011 5681479;011 2274302;parr.madonna.pompei@diocesi.torino.it;http://www.madonnadipompei.org;2.0;3.0;PACIFICO don Luca;Chiesa Cattolica;;30.0;5500.0;Unita' Pastorale N.03 - Crocetta;POINT (7.668906604890909 45.05388594232154);45.05388594232154;7.668906604890909;3;Crocetta;Centro - Crocetta
125;2;NON PARROCCHIALE;Maria SS.Ausiliatrice;VIA GIUSEPPE PIAZZI 25;TORINO;10129;1;011/5819723;;;;;;;Chiesa Cattolica;"Fest.8-9.15 (escl.18/6-9/9)-10.30-11.30-18.30; Prefest.18.30";;;;POINT (7.66046072595084 45.05485310979899);45.05485310979899;7.66046072595084;3;Crocetta;Centro - Crocetta
170;2;NON PARROCCHIALE;SS. Annunziata e SS. Maurizio e Lazzaro (Osp.Mauriziano);LARGO RE UMBERTO 109;TORINO;10128;1;011/50801;;;;;;;Chiesa Cattolica;"Fest. 11.30-17; Prefest, 17";;;;POINT (7.664881777901139 45.05253097113879);45.052530971138786;7.664881777901139;3;Crocetta;Centro - Crocetta
6;1;PARROCCHIALE;Beato Pier Giorgio Frassati;VIA PIETRO COSSA 280 int. 2;TORINO;10151;5;011 4551430;;parr.frassati@diocesi.torino.it;http:/www.beatofrassati.it/index.htm;5.0;11.0;MANENTE don Adriano S.D.B.;Chiesa Cattolica;;111.0;4060.0;Unita' Pastorale N.11 - Lucento;POINT (7.634106598033033 45.0948219115737);45.094821911573696;7.634106598033033;15;Le Valette;Borgo Vittoria - Madonna di Campagna - Lucento - Vallette
54;1;PARROCCHIALE;S. Caterina da Siena;VIA ANDREA SANSOVINO 85;TORINO;10151;5;011 731750;011 731750;;http://www4.diocesi.torino.it/schede/parr056.htm;5.0;11.0;CASETTA don Renato Maria;Chiesa Cattolica;;56.0;7200.0;Unita' Pastorale N.11 - Lucento;POINT (7.641345067046917 45.10231148949457);45.10231148949457;7.641345067046917;15;Le Valette;Borgo Vittoria - Madonna di Campagna - Lucento - Vallette
106;1;PARROCCHIALE;Ss. Bernardo e Brigida;VIA FOGLIZZO 3;TORINO;10149;5;011 731615;011 731615;parr.lucento@diocesi.torino.it;http://www4.diocesi.torino.it/schede/parr102.htm;5.0;11.0;LOVERA don Mario;Chiesa Cattolica;;102.0;10430.0;Unita' Pastorale N.11 - Lucento;POINT (7.649057475999843 45.09538048741283);45.09538048741283;7.649057475999843;15;Le Valette;Borgo Vittoria - Madonna di Campagna - Lucento - Vallette
47;1;PARROCCHIALE;S. Ambrogio Vescovo;CORSO L. QUINZIO CINCINNATO 225;TORINO;10151;5;011 7390045;;parr.s.ambrogio@diocesi.torino.it;http://www4.diocesi.torino.it/schede/parr049.htm;5.0;11.0;CANAVESIO don Mario;Chiesa Cattolica;;49.0;6110.0;Unita' Pastorale N.11 - Lucento;POINT (7.650112469069598 45.10501564543141);45.105015645431415;7.650112469069598;15;Le Valette;Borgo Vittoria - Madonna di Campagna - Lucento - Vallette
100;1;PARROCCHIALE;Santa Famiglia di Nazareth;VIALE DEI MUGHETTI 22/A;TORINO;10151;5;011 731185;011 7391521;parrocchia.s.f.n@libero.it;http://www4.diocesi.torino.it/schede/parr061.htm;5.0;11.0;BOZZI padre Ugo F.D.P.;Chiesa Cattolica;;61.0;8060.0;Unita' Pastorale N.11 - Lucento;POINT (7.628681804367168 45.10321218261702);45.10321218261702;7.628681804367168;15;Le Valette;Borgo Vittoria - Madonna di Campagna - Lucento - Vallette
7;1;PARROCCHIALE;Gesu' Adolescente;VIA EMANUELE LUSERNA DI RORA' 16;TORINO;10139;3;011 4336786; 0114470016;;http://www4.diocesi.torino.it/;3.0;5.0;ARCOSTANZO don Elio S.D.B.;Chiesa Cattolica;;7.0;15100.0;Unita' Pastorale N.05 - S.Paolo;POINT (7.646658783677817 45.06752431525112);45.06752431525112;7.646658783677817;5;Cenisia;San Paolo - Cenisia - Pozzo Strada - Cit Turin - Borgata Lesna
11;1;PARROCCHIALE;Gesu' Nazareno;VIA PIETRO PALMIERI 39;TORINO;10138;3;011 4474262;011 4473655;parr.gesunazar@fastwebnet.it - segreteria@nazareno.it;http://www.gesunazareno.it;4.0;8.0;VANZAGHI padre Ottorino D.C.;Chiesa Cattolica;;11.0;9500.0;Unita' Pastorale N.08 - S.Donato;POINT (7.661450579037948 45.07444817566732);45.07444817566732;7.661450579037948;5;Cenisia;San Paolo - Cenisia - Pozzo Strada - Cit Turin - Borgata Lesna
113;2;NON PARROCCHIALE;Missioni della Consolata - Beato Giuseppe Allamano;CORSO FRANCESCO FERRUCCI 18;TORINO;10138;3;011/4400400;;;;;;;Chiesa Cattolica;"Fest.10.30 - 17; Prefest.17";;;;POINT (7.655649677405524 45.07339568969966);45.07339568969966;7.655649677405524;5;Cenisia;San Paolo - Cenisia - Pozzo Strada - Cit Turin - Borgata Lesna
127;2;NON PARROCCHIALE;Maria Consolatrice;CORSO INGHILTERRA 33;TORINO;10138;3;011/4345417;;;;;;;Chiesa Cattolica;Fest.9;;;;POINT (7.666042382081317 45.07369870749741);45.07369870749741;7.666042382081317;5;Cenisia;San Paolo - Cenisia - Pozzo Strada - Cit Turin - Borgata Lesna
35;1;PARROCCHIALE;Maria Regina delle Missioni;VIA COAZZE 21;TORINO;10138;3;011 4331568;;;http://www4.diocesi.torino.it/schede/parr035.htm;4.0;9.0;MORETTI padre Pietro Luigi I.M.C.;Chiesa Cattolica;;35.0;5050.0;Unita' Pastorale N.09 - S.Alfonso;POINT (7.653190979760922 45.07441965820632);45.074419658206324;7.653190979760922;5;Cenisia;San Paolo - Cenisia - Pozzo Strada - Cit Turin - Borgata Lesna
87;1;PARROCCHIALE;S. Pellegrino Laziosi;CORSO RACCONIGI 28;TORINO;10139;3;011 3852771;011 338093;;http://www4.diocesi.torino.it/schede/parr090.htm;3.0;5.0;CASTRICINI padre Bruno M. O.S.M.;Chiesa Cattolica;;90.0;12000.0;Unita' Pastorale N.05 - S.Paolo;POINT (7.646853553725703 45.0717675080819);45.0717675080819;7.646853553725703;5;Cenisia;San Paolo - Cenisia - Pozzo Strada - Cit Turin - Borgata Lesna
137;2;NON PARROCCHIALE;N.S. di Lourdes;CORSO FRANCIA 29;TORINO;10138;3;011/4472368;;;;;;;Chiesa Cattolica;"Fest.8-10.30-12(escl.lug-ago)-18; Prefest.18";;;;POINT (7.660558203364577 45.07600884610384);45.07600884610384;7.660558203364577;5;Cenisia;San Paolo - Cenisia - Pozzo Strada - Cit Turin - Borgata Lesna
9;1;PARROCCHIALE;Gesu' Cristo Signore;VIA ANTONIO E VITTORIO SCIALOJA 8 ter;TORINO;10148;5;011 2201784;;;http://www4.diocesi.torino.it/schede/parr009.htm;5.0;13.0;DALCOLMO don Silvino;Chiesa Cattolica;;9.0;2200.0;Unita' Pastorale N.13 - Madonna di Campagna;POINT (7.689567593549261 45.10691136694234);45.10691136694234;7.689567593549261;17;Borgata Vittoria;Borgo Vittoria - Madonna di Campagna - Lucento - Vallette
41;1;PARROCCHIALE;Nostra Signora della Salute;VIA VIBO' 24;TORINO;10147;5;011 210523;011 2218151;parr.salute@diocesi.torino.it;http://www4.diocesi.torino.it/schede/parr041.htm;5.0;13.0;CORNALE padre Elvio Agostino C.S.I.;Chiesa Cattolica;;41.0;17100.0;Unita' Pastorale N.13 - Madonna di Campagna;POINT (7.67796430263443 45.09465279350869);45.09465279350869;7.67796430263443;17;Borgata Vittoria;Borgo Vittoria - Madonna di Campagna - Lucento - Vallette
96;1;PARROCCHIALE;S. Vincenzo de' Paoli;VIA SOSPELLO 124;TORINO;10147;5;011 296720;011 2216391;parr.s.vincenzo@diocesi.torino.it;http://www.diocesi.torino.it/parr099;5.0;13.0;CENA don Andrea;Chiesa Cattolica;;99.0;6500.0;Unita' Pastorale N.13 - Madonna di Campagna;POINT (7.676170446231851 45.10277465971372);45.10277465971372;7.676170446231851;17;Borgata Vittoria;Borgo Vittoria - Madonna di Campagna - Lucento - Vallette
71;1;PARROCCHIALE;S. Giuseppe Cafasso;CORSO GROSSETO 72/I;TORINO;10148;5;011 2201022;011 2201022;parr.s.cafasso@diocesi.torino.it;http://www4.diocesi.torino.it/schede/parr074.htm;5.0;13.0;ZUCCHI don Angelo;Chiesa Cattolica;;74.0;12000.0;Unita' Pastorale N.13 - Madonna di Campagna;POINT (7.681893181678189 45.10456006743939);45.10456006743939;7.6818931816781895;17;Borgata Vittoria;Borgo Vittoria - Madonna di Campagna - Lucento - Vallette
16;1;PARROCCHIALE;Immacolata Concezione e S. Donato;VIA S. DONATO 21;TORINO;10144;4;011 480261;;parr.san.donato@diocesi.torino.it ;http://www.immacolatasandonato.it/;4.0;8.0;CASETTA don Enzo, Vincenzo P.;Chiesa Cattolica;;16.0;15500.0;Unita' Pastorale N.08 - S.Donato;POINT (7.666537575949782 45.07923071602413);45.07923071602413;7.666537575949782;6;San Donato;San Donato - Campidoglio - Parella
109;1;PARROCCHIALE;Stimmate di S. Francesco d'Assisi;VIA GRAZIADIO ASCOLI 32;TORINO;10144;4;011 485825;011 485368;;http://www4.diocesi.torino.it/schede/parr108.htm;7.0;8.0;SIBONA don Giuseppe;Chiesa Cattolica;;108.0;10500.0;Unita' Pastorale N.08 - S.Donato;POINT (7.667817127449625 45.08558200147469);45.08558200147469;7.6678171274496245;6;San Donato;San Donato - Campidoglio - Parella
136;2;NON PARROCCHIALE;N.S. del Suffragio e S. Zita;VIA S. DONATO 31;TORINO;10144;4;011/489143;;;;;;;Chiesa Cattolica;Fest.7.30-9.30-10.30;;;;POINT (7.665022025764455 45.08002750695606);45.08002750695606;7.665022025764455;6;San Donato;San Donato - Campidoglio - Parella
48;1;PARROCCHIALE;S. Anna;VIA BRIONE 40;TORINO;10143;4;011 7496103;011 7496103;;http://www4.diocesi.torino.it/schede/parr050.htm;4.0;9.0;PAVANELLO don Davide;Chiesa Cattolica;;50.0;14200.0;Unita' Pastorale N.09 - S.Alfonso;POINT (7.646925183643807 45.07865294711585);45.07865294711585;7.646925183643807;6;San Donato;San Donato - Campidoglio - Parella
46;1;PARROCCHIALE;S. Alfonso Maria de' Liguori;VIA NETRO 3;TORINO;10143;4;011 740485;011 7712403;parr.s.alfonso@diocesi.torino.it;http://www.diocesi.torino.it/parr048;4.0;9.0;CHIAUSSA don Davide;Chiesa Cattolica;;48.0;14800.0;Unita' Pastorale N.09 - S.Alfonso;POINT (7.65503634228727 45.08103207107305);45.081032071073054;7.65503634228727;6;San Donato;San Donato - Campidoglio - Parella
110;1;PARROCCHIALE;Trasfigurazione del Signore;VIA SPOLETO 12;TORINO;10143;4;011 756718;011 756718;parr.trasfigurazione@diocesi.torino.it;http://www4.diocesi.torino.it/schede/parr109.htm;5.0;9.0;TICCHIATI don Maurizio;Chiesa Cattolica;;109.0;3490.0;Unita' Pastorale N.09 - S.Alfonso;POINT (7.65468896487773 45.0878923396319);45.0878923396319;7.65468896487773;6;San Donato;San Donato - Campidoglio - Parella
20;1;PARROCCHIALE;Madonna Addolorata;CORSO MONCALIERI 227;TORINO;10133;8;011 6613144;;;http://www.diocesi.torino.it/parr020;10.0;22.0;FERRARA don Arcangelo Antonio;Chiesa Cattolica;;20.0;1600.0;Unita' Pastorale N.22 - Cavoretto;POINT (7.682439793689821 45.03934571015338);45.03934571015338;7.682439793689821;22;Borgo Poe Cavoretto;San Salvario - Cavoretto - Borgo Po - Nizza Millefonti - Lingotto - Filadelfia
44;1;PARROCCHIALE;S. Agnese Vergine e Martire;VIA VOLTURNO 2;TORINO;10133;8;011 6602148;;;http://www4.diocesi.torino.it/schede/parr046.htm;10.0;22.0;MARCHESI don Giovanni;Chiesa Cattolica;;46.0;3900.0;Unita' Pastorale N.22 - Cavoretto;POINT (7.693372707929766 45.05676068325356);45.05676068325356;7.6933727079297665;22;Borgo Poe Cavoretto;San Salvario - Cavoretto - Borgo Po - Nizza Millefonti - Lingotto - Filadelfia
79;1;PARROCCHIALE;S. Margherita Vergine e Martire;STRADA S. VINCENZO 146;TORINO;10131;8;011 8194320;;;http://www4.diocesi.torino.it/schede/parr082.htm;10.0;23.0;GOTTARDO don Roberto;Chiesa Cattolica;;82.0;3000.0;Unita' Pastorale N.23 - Sassi;POINT (7.718830791035866 45.05215737272217);45.05215737272217;7.718830791035866;22;Borgo Poe Cavoretto;San Salvario - Cavoretto - Borgo Po - Nizza Millefonti - Lingotto - Filadelfia
135;2;NON PARROCCHIALE;N.S. del Suffragio;CORSO CASALE 42 bis/B;TORINO;10131;8;011/8197233;;;;;;;Chiesa Cattolica;Fest.9;;;;POINT (7.70352528931805 45.0649278917181);45.0649278917181;7.70352528931805;22;Borgo Poe Cavoretto;San Salvario - Cavoretto - Borgo Po - Nizza Millefonti - Lingotto - Filadelfia
156;2;NON PARROCCHIALE;S. Maria del Monte (Cappuccini);PIAZZALE MONTE DEI CAPPUCCINI 3;TORINO;10131;8;011/6604414;;;;;;;Chiesa Cattolica;Fest. 11-17;;;;POINT (7.697478698725553 45.05959386443625);45.05959386443625;7.697478698725553;22;Borgo Poe Cavoretto;San Salvario - Cavoretto - Borgo Po - Nizza Millefonti - Lingotto - Filadelfia
176;2;NON PARROCCHIALE;Valsalice (Oratorio Salesiano);VIALE ENRICO THOVEZ 37;TORINO;10131;8;011/6601066;;;;;;;Chiesa Cattolica;Fest. 9.30;;;;POINT (7.70204860617052 45.05391845922925);45.05391845922925;7.7020486061705205;22;Borgo Poe Cavoretto;San Salvario - Cavoretto - Borgo Po - Nizza Millefonti - Lingotto - Filadelfia
15;1;PARROCCHIALE;Gran Madre di Dio;PIAZZA GRAN MADRE DI DIO 4;TORINO;10131;8;011 8193572;;;http://www4.diocesi.torino.it/schede/parr015.htm;10.0;22.0;MENZIO don Sandro;Chiesa Cattolica;;15.0;6030.0;Unita' Pastorale N.22 - Cavoretto;POINT (7.698916035744881 45.06204856239005);45.06204856239005;7.698916035744881;22;Borgo Poe Cavoretto;San Salvario - Cavoretto - Borgo Po - Nizza Millefonti - Lingotto - Filadelfia
29;1;PARROCCHIALE;Madonna di Fatima;VIA ORISTANO 8/A;TORINO;10133;8;011 6610656;011 6615948;;http://www4.diocesi.torino.it/schede/parr029.htm;10.0;22.0;SCAVINO don Maurilio;Chiesa Cattolica;;29.0;3300.0;Unita' Pastorale N.22 - Cavoretto;POINT (7.678158838940469 45.01872230848746);45.01872230848746;7.678158838940469;22;Borgo Poe Cavoretto;San Salvario - Cavoretto - Borgo Po - Nizza Millefonti - Lingotto - Filadelfia
88;1;PARROCCHIALE;S. Pietro in Vincoli;VIA S. ROCCO 29;TORINO;10133;8;011 6612392;;;http://www4.diocesi.torino.it/schede/parr091.htm;10.0;22.0;FINI don Paolo;Chiesa Cattolica;;91.0;3980.0;Unita' Pastorale N.22 - Cavoretto;POINT (7.685369850806362 45.02929620657206);45.029296206572056;7.685369850806362;22;Borgo Poe Cavoretto;San Salvario - Cavoretto - Borgo Po - Nizza Millefonti - Lingotto - Filadelfia
123;2;NON PARROCCHIALE;Madonna del Buon Consiglio;VIA CURTATONE 17;TORINO;10131;8;011/6604386;;;;;;;Chiesa Cattolica;Fest.7.30-10.30;;;;POINT (7.69679389138434 45.05731383036635);45.057313830366354;7.69679389138434;22;Borgo Poe Cavoretto;San Salvario - Cavoretto - Borgo Po - Nizza Millefonti - Lingotto - Filadelfia
130;2;NON PARROCCHIALE;Maria Janua Coeli (Casa Riposo C. Alberto);CORSO CASALE 56;TORINO;10131;8;011/4428211;;;;;;;Chiesa Cattolica;"Fest.10; Prefet.17";;;;POINT (7.706611930397393 45.06611471121825);45.066114711218255;7.706611930397393;22;Borgo Poe Cavoretto;San Salvario - Cavoretto - Borgo Po - Nizza Millefonti - Lingotto - Filadelfia
134;2;NON PARROCCHIALE;N.S. del Rocciamelone (Oasi S. Chiara);VIA LUISA DEL CARRETTO 6;TORINO;10131;8;011/8194523;;;;;;;Chiesa Cattolica;Fest.8;;;;POINT (7.70635742693541 45.06098450998463);45.06098450998463;7.70635742693541;22;Borgo Poe Cavoretto;San Salvario - Cavoretto - Borgo Po - Nizza Millefonti - Lingotto - Filadelfia
103;1;PARROCCHIALE;Santi Vito, Modesto e Crescenzia;STRADA S. VITO REVIGLIASCO 216;TORINO;10133;8;011 6603166;;;http://www4.diocesi.torino.it/schede/parr104.htm;10.0;22.0;ADRIANO can. Valerio;Chiesa Cattolica;;104.0;1215.0;Unita' Pastorale N.22 - Cavoretto;POINT (7.697251009322594 45.04291805479136);45.04291805479136;7.697251009322594;22;Borgo Poe Cavoretto;San Salvario - Cavoretto - Borgo Po - Nizza Millefonti - Lingotto - Filadelfia
21;1;PARROCCHIALE;Madonna degli Angeli;VIA CARLO ALBERTO 39;TORINO;10123;1;011 8127520;011 8122237;parr021@aol.it;http://www4.diocesi.torino.it/parr021/;1.0;2.0;PELLEGRINO don Michele;Chiesa Cattolica;;21.0;4500.0;Unita' Pastorale N.02 - S.Massimo;POINT (7.683573649308502 45.0645797847195);45.0645797847195;7.683573649308502;1;Centro;Centro - Crocetta
50;1;PARROCCHIALE;S. Barbara Vergine e Martire;VIA ETTORE PERRONE 11;TORINO;10122;1;011 546185;011 548277;;http://www4.diocesi.torino.it/schede/parr052.htm;1.0;1.0;GAUDE don Pier Giuseppe;Chiesa Cattolica;;52.0;8000.0;Unita' Pastorale N.01 - Cattedrale;POINT (7.672653388419996 45.07266263257408);45.07266263257408;7.672653388419996;1;Centro;Centro - Crocetta
53;1;PARROCCHIALE;S. Carlo Borromeo;PIAZZA (COMITATO LIBERAZIONE NAZIONALE) C.L.N. 236 bis;TORINO;10121;1;011 5620922;011 5064539;;http://www4.diocesi.torino.it/schede/parr055.htm;1.0;2.0;AZZARIO padre Mario M. O.S.M.;Chiesa Cattolica;;55.0;2215.0;Unita' Pastorale N.02 - S.Massimo;POINT (7.681588245157543 45.06683244591858);45.06683244591858;7.681588245157543;1;Centro;Centro - Crocetta
65;1;PARROCCHIALE;S. Giovanni Battista - Cattedrale Metropolitana;VIA VENTI SETTEMBRE 87;TORINO;10122;1;011 4361540;011 4360790;;http://www4.diocesi.torino.it/schede/parr001.htm;1.0;1.0;FRANCO can. Carlo;Chiesa Cattolica;;1.0;5500.0;Unita' Pastorale N.01 - Cattedrale;POINT (7.684470785553708 45.07307501018849);45.07307501018849;7.684470785553708;1;Centro;Centro - Crocetta
95;1;PARROCCHIALE;S. Tommaso Apostolo;VIA MONTE DI PIETA' 11;TORINO;10121;1;011 544667 ???;;;http://www4.diocesi.torino.it/schede/parr098.htm;1.0;2.0;FRANCO can. Carlo;Chiesa Cattolica;;98.0;;Unita' Pastorale N.01 - Cattedrale;POINT (7.682299044193021 45.07042800853058);45.070428008530584;7.682299044193021;1;Centro;Centro - Crocetta
101;1;PARROCCHIALE;Santi Angeli Custodi;VIA S. QUINTINO 37;TORINO;10121;1;011 545737;;;http://www4.diocesi.torino.it/schede/parr100.htm;2.0;3.0;CATTANEO don Ettore Maria;Chiesa Cattolica;;100.0;9000.0;Unita' Pastorale N.03 - Crocetta;POINT (7.669299117644424 45.06736579134759);45.06736579134759;7.669299117644424;1;Centro;Centro - Crocetta
104;1;PARROCCHIALE;SS. Annunziata;VIA S. OTTAVIO 5;TORINO;10124;1;011 8171423;011 8150308;parr.annunziata@diocesi.torino.it;http://www.annunziata.to.it;1.0;2.0;STERMIERI don Ezio;Chiesa Cattolica;;105.0;6250.0;Unita' Pastorale N.02 - S.Massimo;POINT (7.693182900414599 45.06714382544721);45.06714382544721;7.693182900414599;1;Centro;Centro - Crocetta
115;2;NON PARROCCHIALE;Corpus Domini - Basilica;PIAZZA CORPUS DOMINI 18/B;TORINO;10122;1;011/4366025;;;;;;;Chiesa Cattolica;Fest.10;;;;POINT (7.682849694784596 45.07266183859974);45.072661838599736;7.682849694784596;1;Centro;Centro - Crocetta
122;2;NON PARROCCHIALE;Immacolata Concezione;VIA ARSENALE 20/A;TORINO;10121;1;;;;;;;;Chiesa Cattolica;;;;;POINT (7.679016627157128 45.06723919848145);45.06723919848145;7.679016627157128;1;Centro;Centro - Crocetta
143;2;NON PARROCCHIALE;S. Chiara;VIA DELLE ORFANE 15;TORINO;10122;1;011/4363322;;;;;;;Chiesa Cattolica;Fest. 7;;;;POINT (7.67934381399425 45.07561023046966);45.07561023046966;7.67934381399425;1;Centro;Centro - Crocetta
144;2;NON PARROCCHIALE;S. Cristina;PIAZZA (COMITATO LIBERAZIONE NAZIONALE) C.L.N. 231 bis;TORINO;10123;1;011/539281;;;;;;;Chiesa Cattolica;"Fest.10.30-11.30-18.30; Prefest. 18.30";;;;POINT (7.682237374518676 45.06673807815998);45.06673807815998;7.682237374518676;1;Centro;Centro - Crocetta
147;2;NON PARROCCHIALE;S. Filippo Neri;VIA MARIA VITTORIA 5;TORINO;10123;1;011/538456;;;;;;;Chiesa Cattolica;"Fest.11.30; Prefest.18.30";;;;POINT (7.684777516463757 45.06791010434381);45.06791010434381;7.684777516463757;1;Centro;Centro - Crocetta
149;2;NON PARROCCHIALE;S. Francesco di Sales;VIA DEI MILLE 25;TORINO;10123;1;011/8127419;;;;;;;Chiesa Cattolica;"Fest.11-17; Prefest.17";;;;POINT (7.689908894499847 45.06172510005254);45.06172510005254;7.689908894499847;1;Centro;Centro - Crocetta
158;2;NON PARROCCHIALE;S. Maria di Piazza;VIA S. MARIA 4/A;TORINO;10122;1;011/5620382;;;;;;;Chiesa Cattolica;"Fest. 8.30-11.30-18.30; Prefest. 18.30";;;;POINT (7.678339658681294 45.0719560135145);45.0719560135145;7.678339658681294;1;Centro;Centro - Crocetta
160;2;NON PARROCCHIALE;S. Michele Arcangelo (di rito bizantino);VIA GIOVANNI GIOLITTI 42;TORINO;10123;1;011/8173450;;;;;;;Chiesa Cattolica;Fest. 10;;;;POINT (7.690041263234638 45.06415979451977);45.064159794519774;7.6900412632346375;1;Centro;Centro - Crocetta
162;2;NON PARROCCHIALE;S. Pelagia;VIA S. MASSIMO 21;TORINO;10123;1;;;;;;;;Chiesa Cattolica;;;;;POINT (7.690103101146478 45.06518308326982);45.06518308326982;7.690103101146478;1;Centro;Centro - Crocetta
171;2;NON PARROCCHIALE;SS. Martiri;VIA GIUSEPPE GARIBALDI 25;TORINO;10122;1;011/5622581;;;;;;;Chiesa Cattolica;"Fest. 18; Prefest. 18";;;;POINT (7.679548548352058 45.07310938615984);45.07310938615984;7.6795485483520585;1;Centro;Centro - Crocetta
