AREAGEOGRAFICA;CAPSCUOLA;CODICECOMUNESCUOLA;CODICEISTITUTORIFERIMENTO;CODICESCUOLA;DENOMINAZIONEISTITUTORIFERIMENTO;DENOMINAZIONESCUOLA;DESCRIZIONECARATTERISTICASCUOLA;DESCRIZIONECOMUNE;DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA;INDICAZIONESEDEDIRETTIVO;INDICAZIONESEDEOMNICOMPRENSIVO;INDIRIZZOEMAILSCUOLA;INDIRIZZOPECSCUOLA;INDIRIZZOSCUOLA;PROVINCIA;REGIONE;SITOWEBSCUOLA;ANNOSCOLASTICO;INDIRIZZO_TOT;LATITUDE;LONGITUDE;formatted_address;geometry;QUARTIERE;DQUARTIERE;CIRCOSCRIZ;DCIRCOSCRIZ
NORD OVEST;Non Disponibile;L219;TOMM32300Q;TOCT714006;CPIA 1 TORINO;C.T.P. CARCERI;NORMALE;TORINO;CENTRO TERRITORIALE;NO;Non Disponibile;TOMM32300Q@istruzione.it;Non Disponibile;Non Disponibile;TORINO;PIEMONTE;Non Disponibile;201718;Non Disponibile, TORINO, Italia;45.070312;7.686856499999998;Turin, Metropolitan City of Turin, Italy;POINT (7.686856499999998 45.070312);1;Centro;1;Centro - Crocetta
NORD OVEST;Non Disponibile;L219;TOMM32300Q;TOCT714006;CPIA 1 TORINO;C.T.P. CARCERI;NORMALE;TORINO;CENTRO TERRITORIALE;NO;Non Disponibile;TOMM32300Q@istruzione.it;Non Disponibile;Non Disponibile;TORINO;PIEMONTE;Non Disponibile;201718;Non Disponibile, TORINO, Italia;45.070312;7.686856499999998;Turin, Metropolitan City of Turin, Italy;POINT (7.686856499999998 45.070312);1;Centro;1;Centro - Crocetta
NORD OVEST;Non Disponibile;L219;TOMM32300Q;TOCT714006;CPIA 1 TORINO;C.T.P. CARCERI;NORMALE;TORINO;CENTRO TERRITORIALE;NO;Non Disponibile;TOMM32300Q@istruzione.it;Non Disponibile;Non Disponibile;TORINO;PIEMONTE;Non Disponibile;201718;Non Disponibile, TORINO, Italia;45.070312;7.686856499999998;Turin, Metropolitan City of Turin, Italy;POINT (7.686856499999998 45.070312);1;Centro;1;Centro - Crocetta
NORD OVEST;10122;L219;TOEE073007;TOEE073007;D.D. ANNESSA CONVITTO UMBERTO I;D.D. ANNESSA CONVITTO UMBERTO I;CONVITTO NAZIONALE;TORINO;SCUOLA PRIMARIA;NO;Non Disponibile;TOEE073007@istruzione.it;Non Disponibile;VIA BLIGNY 1 BIS;TORINO;PIEMONTE;Non Disponibile;201718;VIA BLIGNY 1 BIS, TORINO, Italia;45.074912700000006;7.6759051;Via Bligny, 1, 10122 Torino TO, Italy;POINT (7.6759051 45.07491270000001);1;Centro;1;Centro - Crocetta
NORD OVEST;10122;L219;TOEE073007;TOEE073007;D.D. ANNESSA CONVITTO UMBERTO I;D.D. ANNESSA CONVITTO UMBERTO I;CONVITTO NAZIONALE;TORINO;SCUOLA PRIMARIA;NO;Non Disponibile;TOEE073007@istruzione.it;Non Disponibile;VIA BLIGNY 1 BIS;TORINO;PIEMONTE;Non Disponibile;201718;VIA BLIGNY 1 BIS, TORINO, Italia;45.074912700000006;7.6759051;Via Bligny, 1, 10122 Torino TO, Italy;POINT (7.6759051 45.07491270000001);1;Centro;1;Centro - Crocetta
NORD OVEST;10122;L219;TOEE073007;TOEE073007;D.D. ANNESSA CONVITTO UMBERTO I;D.D. ANNESSA CONVITTO UMBERTO I;CONVITTO NAZIONALE;TORINO;SCUOLA PRIMARIA;NO;Non Disponibile;TOEE073007@istruzione.it;Non Disponibile;VIA BLIGNY 1 BIS;TORINO;PIEMONTE;Non Disponibile;201718;VIA BLIGNY 1 BIS, TORINO, Italia;45.074912700000006;7.6759051;Via Bligny, 1, 10122 Torino TO, Italy;POINT (7.6759051 45.07491270000001);1;Centro;1;Centro - Crocetta
NORD OVEST;10122;L219;TOEE073007;TOEE073018;D.D. ANNESSA CONVITTO UMBERTO I;UMBERTO I (CONVITTO NAZ.LE);ANNESSO A CONVITTO;TORINO;SCUOLA PRIMARIA;NO;Non Disponibile;TOEE073007@istruzione.it;Non Disponibile;VIA BLIGNY 1 BIS;TORINO;PIEMONTE;www.cnuto.gov.it;201718;VIA BLIGNY 1 BIS, TORINO, Italia;45.074912700000006;7.6759051;Via Bligny, 1, 10122 Torino TO, Italy;POINT (7.6759051 45.07491270000001);1;Centro;1;Centro - Crocetta
NORD OVEST;10122;L219;TOEE073007;TOEE073018;D.D. ANNESSA CONVITTO UMBERTO I;UMBERTO I (CONVITTO NAZ.LE);ANNESSO A CONVITTO;TORINO;SCUOLA PRIMARIA;NO;Non Disponibile;TOEE073007@istruzione.it;Non Disponibile;VIA BLIGNY 1 BIS;TORINO;PIEMONTE;www.cnuto.gov.it;201718;VIA BLIGNY 1 BIS, TORINO, Italia;45.074912700000006;7.6759051;Via Bligny, 1, 10122 Torino TO, Italy;POINT (7.6759051 45.07491270000001);1;Centro;1;Centro - Crocetta
NORD OVEST;10122;L219;TOEE073007;TOEE073018;D.D. ANNESSA CONVITTO UMBERTO I;UMBERTO I (CONVITTO NAZ.LE);ANNESSO A CONVITTO;TORINO;SCUOLA PRIMARIA;NO;Non Disponibile;TOEE073007@istruzione.it;Non Disponibile;VIA BLIGNY 1 BIS;TORINO;PIEMONTE;www.cnuto.gov.it;201718;VIA BLIGNY 1 BIS, TORINO, Italia;45.074912700000006;7.6759051;Via Bligny, 1, 10122 Torino TO, Italy;POINT (7.6759051 45.07491270000001);1;Centro;1;Centro - Crocetta
NORD OVEST;10122;L219;TOPS20000P;TOPS20000P;UMBERTO I;UMBERTO I;ANNESSO A CONVITTO;TORINO;LICEO SCIENTIFICO;NO;Non Disponibile;TOPS20000P@istruzione.it;Non Disponibile;VIA BLIGNY 1 BIS;TORINO;PIEMONTE;www.cnuto.gov.it;201718;VIA BLIGNY 1 BIS, TORINO, Italia;45.074912700000006;7.6759051;Via Bligny, 1, 10122 Torino TO, Italy;POINT (7.6759051 45.07491270000001);1;Centro;1;Centro - Crocetta
NORD OVEST;10122;L219;TOPS20000P;TOPS20000P;UMBERTO I;UMBERTO I;ANNESSO A CONVITTO;TORINO;LICEO SCIENTIFICO;NO;Non Disponibile;TOPS20000P@istruzione.it;Non Disponibile;VIA BLIGNY 1 BIS;TORINO;PIEMONTE;www.cnuto.gov.it;201718;VIA BLIGNY 1 BIS, TORINO, Italia;45.074912700000006;7.6759051;Via Bligny, 1, 10122 Torino TO, Italy;POINT (7.6759051 45.07491270000001);1;Centro;1;Centro - Crocetta
NORD OVEST;10122;L219;TOPS20000P;TOPS20000P;UMBERTO I;UMBERTO I;ANNESSO A CONVITTO;TORINO;LICEO SCIENTIFICO;NO;Non Disponibile;TOPS20000P@istruzione.it;Non Disponibile;VIA BLIGNY 1 BIS;TORINO;PIEMONTE;www.cnuto.gov.it;201718;VIA BLIGNY 1 BIS, TORINO, Italia;45.074912700000006;7.6759051;Via Bligny, 1, 10122 Torino TO, Italy;POINT (7.6759051 45.07491270000001);1;Centro;1;Centro - Crocetta
NORD OVEST;10122;L219;TOEE04700P;TOEE04700P;"D.D. TORINO - ""PACCHIOTTI""";"D.D. TORINO - ""PACCHIOTTI""";NORMALE;TORINO;SCUOLA PRIMARIA;SI;Non Disponibile;TOEE04700P@istruzione.it;toee04700p@pec.istruzione.it;VIA DEL CARMINE 27;TORINO;PIEMONTE;Non Disponibile;201718;VIA DEL CARMINE 27, TORINO, Italia;45.076904299999995;7.671907600000001;Via del Carmine, 27, 10122 Torino TO, Italy;POINT (7.671907600000001 45.0769043);1;Centro;1;Centro - Crocetta
NORD OVEST;10122;L219;TOEE04700P;TOEE04700P;"D.D. TORINO - ""PACCHIOTTI""";"D.D. TORINO - ""PACCHIOTTI""";NORMALE;TORINO;SCUOLA PRIMARIA;SI;Non Disponibile;TOEE04700P@istruzione.it;toee04700p@pec.istruzione.it;VIA DEL CARMINE 27;TORINO;PIEMONTE;Non Disponibile;201718;VIA DEL CARMINE 27, TORINO, Italia;45.076904299999995;7.671907600000001;Via del Carmine, 27, 10122 Torino TO, Italy;POINT (7.671907600000001 45.0769043);1;Centro;1;Centro - Crocetta
NORD OVEST;10122;L219;TOEE04700P;TOEE04704V;"D.D. TORINO - ""PACCHIOTTI""";PACCHIOTTI SCLOPIS;NORMALE;TORINO;SCUOLA PRIMARIA;NO;Non Disponibile;TOEE04700P@istruzione.it;Non Disponibile;VIA DEL CARMINE 27;TORINO;PIEMONTE;WWW.DDPACCHIOTTI.GOV.IT;201718;VIA DEL CARMINE 27, TORINO, Italia;45.076904299999995;7.671907600000001;Via del Carmine, 27, 10122 Torino TO, Italy;POINT (7.671907600000001 45.0769043);1;Centro;1;Centro - Crocetta
NORD OVEST;10122;L219;TOEE04700P;TOEE04704V;"D.D. TORINO - ""PACCHIOTTI""";PACCHIOTTI SCLOPIS;NORMALE;TORINO;SCUOLA PRIMARIA;NO;Non Disponibile;TOEE04700P@istruzione.it;Non Disponibile;VIA DEL CARMINE 27;TORINO;PIEMONTE;WWW.DDPACCHIOTTI.GOV.IT;201718;VIA DEL CARMINE 27, TORINO, Italia;45.076904299999995;7.671907600000001;Via del Carmine, 27, 10122 Torino TO, Italy;POINT (7.671907600000001 45.0769043);1;Centro;1;Centro - Crocetta
NORD OVEST;10121;L219;TOEE04700P;TOEE04705X;"D.D. TORINO - ""PACCHIOTTI""";PACCHIOTTI - CARDUCCI;NORMALE;TORINO;SCUOLA PRIMARIA;NO;Non Disponibile;TOEE04700P@istruzione.it;Non Disponibile;CORSO MATTEOTTI 6;TORINO;PIEMONTE;WWW.DDPACCHIOTTI.GOV.IT;201718;CORSO MATTEOTTI 6, TORINO, Italia;45.065714;7.677249000000001;Corso Giacomo Matteotti, 6, 10121 Torino TO, Italy;POINT (7.677249000000001 45.065714);1;Centro;1;Centro - Crocetta
NORD OVEST;10121;L219;TOEE04700P;TOEE047061;"D.D. TORINO - ""PACCHIOTTI""";PACCHIOTTI - RICARDI DI NETRO;NORMALE;TORINO;SCUOLA PRIMARIA;NO;Non Disponibile;TOEE04700P@istruzione.it;Non Disponibile;VIA VALFRE' 8;TORINO;PIEMONTE;WWW.DDPACCHIOTTI.GOV.IT;201718;VIA VALFRE' 8, TORINO, Italia;45.0706961;7.671148000000001;Via Sebastiano Beato Valfrè, 8, 10121 Torino TO, Italy;POINT (7.671148000000001 45.0706961);1;Centro;1;Centro - Crocetta
NORD OVEST;10123;L219;TOIC815005;TOEE815017;"I.C. TORINO - ""TOMMASEO""";I.C. TOMMASEO;NORMALE;TORINO;SCUOLA PRIMARIA;NO;Non Disponibile;TOIC815005@istruzione.it;Non Disponibile;VIA DEI MILLE 15;TORINO;PIEMONTE;www.tommaseo.it;201718;VIA DEI MILLE 15, TORINO, Italia;45.06243629999999;7.688244199999999;Via dei Mille, 15, 10123 Torino TO, Italy;POINT (7.688244199999999 45.06243629999999);1;Centro;1;Centro - Crocetta
NORD OVEST;10123;L219;TOIC815005;TOEE815017;"I.C. TORINO - ""TOMMASEO""";I.C. TOMMASEO;NORMALE;TORINO;SCUOLA PRIMARIA;NO;Non Disponibile;TOIC815005@istruzione.it;Non Disponibile;VIA DEI MILLE 15;TORINO;PIEMONTE;www.tommaseo.it;201718;VIA DEI MILLE 15, TORINO, Italia;45.06243629999999;7.688244199999999;Via dei Mille, 15, 10123 Torino TO, Italy;POINT (7.688244199999999 45.06243629999999);1;Centro;1;Centro - Crocetta
NORD OVEST;10123;L219;TOIC815005;TOIC815005;"I.C. TORINO - ""TOMMASEO""";"I.C. TORINO - ""TOMMASEO""";NORMALE;TORINO;ISTITUTO COMPRENSIVO;SI;Non Disponibile;TOIC815005@istruzione.it;toic815005@pec.istruzione.it;VIA DEI MILLE 15;TORINO;PIEMONTE;Non Disponibile;201718;VIA DEI MILLE 15, TORINO, Italia;45.06243629999999;7.688244199999999;Via dei Mille, 15, 10123 Torino TO, Italy;POINT (7.688244199999999 45.06243629999999);1;Centro;1;Centro - Crocetta
NORD OVEST;10123;L219;TOIC815005;TOIC815005;"I.C. TORINO - ""TOMMASEO""";"I.C. TORINO - ""TOMMASEO""";NORMALE;TORINO;ISTITUTO COMPRENSIVO;SI;Non Disponibile;TOIC815005@istruzione.it;toic815005@pec.istruzione.it;VIA DEI MILLE 15;TORINO;PIEMONTE;Non Disponibile;201718;VIA DEI MILLE 15, TORINO, Italia;45.06243629999999;7.688244199999999;Via dei Mille, 15, 10123 Torino TO, Italy;POINT (7.688244199999999 45.06243629999999);1;Centro;1;Centro - Crocetta
NORD OVEST;10124;L219;TOIC815005;TOEE815028;"I.C. TORINO - ""TOMMASEO""";I.C. TOMMASEO-F.D'ASSISI;NORMALE;TORINO;SCUOLA PRIMARIA;NO;Non Disponibile;TOIC815005@istruzione.it;Non Disponibile;VIA GIULIA DI BAROLO 8;TORINO;PIEMONTE;www.tommaseo.it;201718;VIA GIULIA DI BAROLO 8, TORINO, Italia;45.06694;7.69597;Via Giulia di Barolo, 8, 10124 Torino TO, Italy;POINT (7.69597 45.06694);1;Centro;1;Centro - Crocetta
NORD OVEST;10121;L219;TOIS037006;TOIS037006;I.I.S. SELLA-AALTO-LAGRANGE;I.I.S. SELLA-AALTO-LAGRANGE;NORMALE;TORINO;ISTITUTO SUPERIORE;SI;Non Disponibile;TOIS037006@istruzione.it;tois037006@pec.istruzione.it;VIA MONTECUCCOLI, 12;TORINO;PIEMONTE;Non Disponibile;201718;VIA MONTECUCCOLI, 12, TORINO, Italia;45.070437;7.670993500000002;Via Raimondo Montecuccoli, 12, 10121 Torino TO, Italy;POINT (7.670993500000002 45.070437);1;Centro;1;Centro - Crocetta
NORD OVEST;10121;L219;TOIS037006;TOIS037006;I.I.S. SELLA-AALTO-LAGRANGE;I.I.S. SELLA-AALTO-LAGRANGE;NORMALE;TORINO;ISTITUTO SUPERIORE;SI;Non Disponibile;TOIS037006@istruzione.it;tois037006@pec.istruzione.it;VIA MONTECUCCOLI, 12;TORINO;PIEMONTE;Non Disponibile;201718;VIA MONTECUCCOLI, 12, TORINO, Italia;45.070437;7.670993500000002;Via Raimondo Montecuccoli, 12, 10121 Torino TO, Italy;POINT (7.670993500000002 45.070437);1;Centro;1;Centro - Crocetta
NORD OVEST;10121;L219;TOIS037006;TOIS037006;I.I.S. SELLA-AALTO-LAGRANGE;I.I.S. SELLA-AALTO-LAGRANGE;NORMALE;TORINO;ISTITUTO SUPERIORE;SI;Non Disponibile;TOIS037006@istruzione.it;tois037006@pec.istruzione.it;VIA MONTECUCCOLI, 12;TORINO;PIEMONTE;Non Disponibile;201718;VIA MONTECUCCOLI, 12, TORINO, Italia;45.070437;7.670993500000002;Via Raimondo Montecuccoli, 12, 10121 Torino TO, Italy;POINT (7.670993500000002 45.070437);1;Centro;1;Centro - Crocetta
NORD OVEST;10121;L219;TOIS052008;TOIS052008;I.I.S. P. BOSELLI;I.I.S. P. BOSELLI;NORMALE;TORINO;ISTITUTO SUPERIORE;SI;Non Disponibile;TOIS052008@istruzione.it;tois052008@pec.istruzione.it;VIA MONTECUCCOLI, 12;TORINO;PIEMONTE;Non Disponibile;201718;VIA MONTECUCCOLI, 12, TORINO, Italia;45.070437;7.670993500000002;Via Raimondo Montecuccoli, 12, 10121 Torino TO, Italy;POINT (7.670993500000002 45.070437);1;Centro;1;Centro - Crocetta
NORD OVEST;10121;L219;TOIS052008;TOIS052008;I.I.S. P. BOSELLI;I.I.S. P. BOSELLI;NORMALE;TORINO;ISTITUTO SUPERIORE;SI;Non Disponibile;TOIS052008@istruzione.it;tois052008@pec.istruzione.it;VIA MONTECUCCOLI, 12;TORINO;PIEMONTE;Non Disponibile;201718;VIA MONTECUCCOLI, 12, TORINO, Italia;45.070437;7.670993500000002;Via Raimondo Montecuccoli, 12, 10121 Torino TO, Italy;POINT (7.670993500000002 45.070437);1;Centro;1;Centro - Crocetta
NORD OVEST;10121;L219;TOIS052008;TOIS052008;I.I.S. P. BOSELLI;I.I.S. P. BOSELLI;NORMALE;TORINO;ISTITUTO SUPERIORE;SI;Non Disponibile;TOIS052008@istruzione.it;tois052008@pec.istruzione.it;VIA MONTECUCCOLI, 12;TORINO;PIEMONTE;Non Disponibile;201718;VIA MONTECUCCOLI, 12, TORINO, Italia;45.070437;7.670993500000002;Via Raimondo Montecuccoli, 12, 10121 Torino TO, Italy;POINT (7.670993500000002 45.070437);1;Centro;1;Centro - Crocetta
NORD OVEST;10121;L219;TOIS037006;TOTD03701C;I.I.S. SELLA-AALTO-LAGRANGE;SELLA;NORMALE;TORINO;ISTITUTO TECNICO COMMERCIALE;NO;Non Disponibile;TOIS037006@istruzione.it;Non Disponibile;VIA MONTECUCCOLI, 12;TORINO;PIEMONTE;www.quintinosella.it;201718;VIA MONTECUCCOLI, 12, TORINO, Italia;45.070437;7.670993500000002;Via Raimondo Montecuccoli, 12, 10121 Torino TO, Italy;POINT (7.670993500000002 45.070437);1;Centro;1;Centro - Crocetta
NORD OVEST;10121;L219;TOIS037006;TOTD03701C;I.I.S. SELLA-AALTO-LAGRANGE;SELLA;NORMALE;TORINO;ISTITUTO TECNICO COMMERCIALE;NO;Non Disponibile;TOIS037006@istruzione.it;Non Disponibile;VIA MONTECUCCOLI, 12;TORINO;PIEMONTE;www.quintinosella.it;201718;VIA MONTECUCCOLI, 12, TORINO, Italia;45.070437;7.670993500000002;Via Raimondo Montecuccoli, 12, 10121 Torino TO, Italy;POINT (7.670993500000002 45.070437);1;Centro;1;Centro - Crocetta
NORD OVEST;10121;L219;TOIS037006;TOTD03701C;I.I.S. SELLA-AALTO-LAGRANGE;SELLA;NORMALE;TORINO;ISTITUTO TECNICO COMMERCIALE;NO;Non Disponibile;TOIS037006@istruzione.it;Non Disponibile;VIA MONTECUCCOLI, 12;TORINO;PIEMONTE;www.quintinosella.it;201718;VIA MONTECUCCOLI, 12, TORINO, Italia;45.070437;7.670993500000002;Via Raimondo Montecuccoli, 12, 10121 Torino TO, Italy;POINT (7.670993500000002 45.070437);1;Centro;1;Centro - Crocetta
NORD OVEST;10124;L219;TOIS05100C;TOIS05100C;I.I.S. A. AVOGADRO;I.I.S. A. AVOGADRO;NORMALE;TORINO;ISTITUTO SUPERIORE;SI;Non Disponibile;TOIS05100C@istruzione.it;tois05100c@pec.istruzione.it;CORSO SAN MAURIZIO,8;TORINO;PIEMONTE;Non Disponibile;201718;CORSO SAN MAURIZIO,8, TORINO, Italia;45.071060700000004;7.692885199999999;Corso S. Maurizio, 8, 10124 Torino TO, Italy;POINT (7.692885199999999 45.0710607);1;Centro;1;Centro - Crocetta
NORD OVEST;10124;L219;TOIS05100C;TOIS05100C;I.I.S. A. AVOGADRO;I.I.S. A. AVOGADRO;NORMALE;TORINO;ISTITUTO SUPERIORE;SI;Non Disponibile;TOIS05100C@istruzione.it;tois05100c@pec.istruzione.it;CORSO SAN MAURIZIO,8;TORINO;PIEMONTE;Non Disponibile;201718;CORSO SAN MAURIZIO,8, TORINO, Italia;45.071060700000004;7.692885199999999;Corso S. Maurizio, 8, 10124 Torino TO, Italy;POINT (7.692885199999999 45.0710607);1;Centro;1;Centro - Crocetta
NORD OVEST;10124;L219;TOIS05100C;TOIS05100C;I.I.S. A. AVOGADRO;I.I.S. A. AVOGADRO;NORMALE;TORINO;ISTITUTO SUPERIORE;SI;Non Disponibile;TOIS05100C@istruzione.it;tois05100c@pec.istruzione.it;CORSO SAN MAURIZIO,8;TORINO;PIEMONTE;Non Disponibile;201718;CORSO SAN MAURIZIO,8, TORINO, Italia;45.071060700000004;7.692885199999999;Corso S. Maurizio, 8, 10124 Torino TO, Italy;POINT (7.692885199999999 45.0710607);1;Centro;1;Centro - Crocetta
NORD OVEST;10124;L219;TOIS05100C;TOTF051011;I.I.S. A. AVOGADRO;A.AVOGADRO;NORMALE;TORINO;ISTITUTO TECNICO INDUSTRIALE;NO;Non Disponibile;TOIS05100C@istruzione.it;Non Disponibile;CORSO SAN MAURIZIO,8;TORINO;PIEMONTE;www.itisavogadro.it;201718;CORSO SAN MAURIZIO,8, TORINO, Italia;45.071060700000004;7.692885199999999;Corso S. Maurizio, 8, 10124 Torino TO, Italy;POINT (7.692885199999999 45.0710607);1;Centro;1;Centro - Crocetta
