ID_NIDO_CO;DENOMINAZ;INDIRIZZO;CIRCOSCRIZ;CAP;CITTA;TEL_SEGRET;FAX;LATTANTI_L;LATTANTI_B;PICCOLI_LU;PICCOLI_BR;GRANDI_LUN;GRANDI_BRE;CAP_MAX;TIPO;EMAIL;URL;NOTE;geometry;LATITUDE;LONGITUDE;QUARTIERE;DQUARTIERE;DCIRCOSCRIZ
11;ANI MUNICIPALE DUMBO;VIA MONTE NOVEGNO 31;2;10137;Torino;011 3093731;011 3112725;8.0;17.0;14.0;30.0;30.0;16.0;117;Nido Comunale;anmontenovegno@comune.torino.it ;http://www.comune.torino.it/servizieducativi/se/03_nc.htm;;POINT (7.630076111262499 45.04039634422678);45.04039634422678;7.630076111262499;12;Mirafiori Nord;Santa Rita - Mirafiori
12;ASILO NIDO L'ANATROCCOLO;VIA GIUSEPPE ROMITA 19;2;10137;Torino;011 3096322;011 3092489;1.0;9.0;1.0;11.0;22.0;2.0;50;Nido Comunale;anromita@comune.torino.it ;http://www.comune.torino.it/servizieducativi/se/03_nc.htm;;POINT (7.627058114899565 45.04742472887968);45.04742472887968;7.627058114899565;12;Mirafiori Nord;Santa Rita - Mirafiori
13;LA MONGOLFIERA;VIA BARDONECCHIA 36;3;10139;Torino;011 751030;011 7770441;;;1.0;17.0;25.0;1.0;45;Nido Comunale;anbardonecchia@comune.Torino.it;http://www.comune.torino.it/servizieducativi/se/03_nc.htm;Non e' presente la sezione lattanti;POINT (7.644724932270289 45.07276762547975);45.07276762547975;7.644724932270289;5;Cenisia;San Paolo - Cenisia - Pozzo Strada - Cit Turin - Borgata Lesna
14;PETER PAN;VIA CLAUDIO BEAUMONT 58;3;10138;Torino;011 4433440;011 4433443;4.0;10.0;6.0;15.0;19.0;8.0;63;Nido Comunale;anbeaumont@comune.Torino.it;http://www.comune.torino.it/servizieducativi/se/03_nc.htm;;POINT (7.663045326769069 45.07184542284981);45.07184542284981;7.663045326769069;5;Cenisia;San Paolo - Cenisia - Pozzo Strada - Cit Turin - Borgata Lesna
15;ASILO NIDO COMUNALE;VIA GIUSEPPE FENOGLIO 26;3;10142;Torino;011 19700648;011 19702701;;;3.0;25.0;33.0;5.0;71;Nido Comunale;anfenoglio@comune.Torino.it;http://www.comune.torino.it/servizieducativi/se/03_nc.htm;Non e' presente la sezione lattanti;POINT (7.616018418451444 45.07379811580129);45.07379811580129;7.616018418451444;13;Pozzo Strada;San Paolo - Cenisia - Pozzo Strada - Cit Turin - Borgata Lesna
16;ASILO NIDO COM. I TRICHECHI;VIA LORENZO DELLEANI 25;3;10141;Torino;011 3825178;011 3828505;1.0;19.0;1.0;43.0;60.0;2.0;128;Nido Comunale;andelleani@comune.Torino.it ;http://www.comune.torino.it/servizieducativi/se/03_nc.htm;;POINT (7.634709098349386 45.06759078342238);45.06759078342238;7.634709098349386;13;Pozzo Strada;San Paolo - Cenisia - Pozzo Strada - Cit Turin - Borgata Lesna
17;IL CANGURO (Levante e Ponente);VIA PAOLO BRACCINI 75;3;10141;Torino;011 3358072;;10.0;20.0;13.0;28.0;40.0;20.0;136;Nido Comunale;anbraccini@comune.Torino.it;http://www.comune.torino.it/servizieducativi/se/03_nc.htm;;POINT (7.64856530587786 45.0602379780838);45.0602379780838;7.64856530587786;4;San Paolo;San Paolo - Cenisia - Pozzo Strada - Cit Turin - Borgata Lesna
18;CHARLIE CHAPLIN;VIA SPOLETO 5;4;10143;Torino;011 7492964;011 710358;2.0;8.0;4.0;18.0;28.0;6.0;67;Nido Comunale;anspoleto@comune.Torino.it;http://www.comune.torino.it/servizieducativi/se/03_nc.htm;;POINT (7.653897088447451 45.08722372610529);45.087223726105286;7.653897088447451;6;San Donato;San Donato - Campidoglio - Parella
19;ASILO NIDO COMUNALE;VIA FOSSANO 16;4;10144;Torino;011 4379757;011 4379757;;15.0;;26.0;34.0;;75;Nido Comunale;anfossano@comune.Torino.it;http://www.comune.torino.it/servizieducativi/se/03_nc.htm;Frequenza solo tempo lungo - gestito da cooperativa;POINT (7.660896627162741 45.08559707955289);45.08559707955289;7.660896627162741;6;San Donato;San Donato - Campidoglio - Parella
20;IL CERCHIO;VIA GIOVANNI SERVAIS 62;4;10146;Torino;011 725639;011 710358;7.0;13.0;13.0;27.0;40.0;20.0;122;Nido Comunale;anservais@comune.Torino.it;http://www.comune.torino.it/servizieducativi/se/03_nc.htm;;POINT (7.631664453628493 45.08377426846082);45.08377426846082;7.631664453628493;14;Parella;San Donato - Campidoglio - Parella
21;ASILO NIDO LA MARMOTTA;VIA MARIO E PIER LUIGI PASSONI 13;4;10146;Torino;011 715052;011 197704489;1.0;19.0;1.0;27.0;30.0;2.0;82;Nido Comunale;anpassoni@comune.Torino.it;http://www.comune.torino.it/servizieducativi/se/03_nc.htm;;POINT (7.617982321542723 45.08306310308445);45.08306310308445;7.617982321542723;14;Parella;San Donato - Campidoglio - Parella
22;ASILO NIDO TESORIERA;VIA VITTORIO ASINARI DI BERNEZZO 23;4;10145;Torino;011 747736;011 751039;5.0;10.0;6.0;11.0;16.0;7.0;59;Nido Comunale;anasinaridibernezzo@comune.Torino.it ;http://www.comune.torino.it/servizieducativi/se/03_nc.htm;;POINT (7.63804700685295 45.07921161161371);45.07921161161371;7.63804700685295;14;Parella;San Donato - Campidoglio - Parella
23;ASILO NIDO COMUNALE;VIA ALA DI STURA 23;5;10147;Torino;011 2206133;011 2207687;2.0;13.0;2.0;19.0;28.0;4.0;70;Nido Comunale;analadistura@comune.Torino.it;http://www.comune.torino.it/servizieducativi/se/03_nc.htm;;POINT (7.684642404806088 45.10363592487885);45.10363592487885;7.684642404806088;17;Borgata Vittoria;Borgo Vittoria - Madonna di Campagna - Lucento - Vallette
30;ASILO NIDO ARCOBALENO;VIA GUGLIELMO REISS ROMOLI 45;5;10148;Torino;011 2201546;011 2201546;2.0;14.0;6.0;16.0;26.0;8.0;77;Nido Comunale;anreissromoli@comune.Torino.it;http://www.comune.torino.it/servizieducativi/se/03_nc.htm;;POINT (7.692714676589664 45.10715290126456);45.107152901264556;7.692714676589664;17;Borgata Vittoria;Borgo Vittoria - Madonna di Campagna - Lucento - Vallette
24;ASILO NIDO;VIA ASSISI 45;5;10149;Torino;011 2163443;011 2163443;3.0;7.0;5.0;21.0;31.0;9.0;78;Nido Comunale;anassisi@comune.Torino.it;http://www.comune.torino.it/servizieducativi/se/03_nc.htm;;POINT (7.667486845274276 45.09545100424274);45.09545100424274;7.667486845274276;16;Madonna di Campagna;Borgo Vittoria - Madonna di Campagna - Lucento - Vallette
28;LA NIDIATA;VIA MICHELE COPPINO 152;5;10147;Torino;011 212902;011 295415;2.0;14.0;16.0;24.0;36.0;16.0;113;Nido Comunale;ancoppino@comune.Torino.it;http://www.comune.torino.it/servizieducativi/se/03_nc.htm;;POINT (7.671796060826573 45.10147323852608);45.101473238526076;7.671796060826573;16;Madonna di Campagna;Borgo Vittoria - Madonna di Campagna - Lucento - Vallette
29;ASILO NIDO MUNICIPALE;VIA ORVIETO 1 int. 17;5;10149;Torino;011 19780406;011 4428400;;;3.0;18.0;26.0;5.0;53;Nido Comunale;anorvieto@comune.Torino.it;http://www.comune.torino.it/servizieducativi/se/03_nc.htm;Non e' presente la sezione lattanti;POINT (7.669366067260791 45.09206058346135);45.09206058346135;7.669366067260791;16;Madonna di Campagna;Borgo Vittoria - Madonna di Campagna - Lucento - Vallette
25;ELVIA VERDE;VIA DELLE PRIMULE 3;5;10151;Torino;011 736418;011 0202304;2.0;13.0;2.0;23.0;25.0;3.0;70;Nido Comunale;anprimule@comune.Torino.it;http://www.comune.torino.it/servizieducativi/se/03_nc.htm;;POINT (7.630649731478243 45.10222266612352);45.102222666123524;7.630649731478243;15;Le Valette;Borgo Vittoria - Madonna di Campagna - Lucento - Vallette
26;ASILO NIDO;VIA DOMENICO CARUTTI 19;5;10149;Torino;011 730434;011 0866744;2.0;10.0;7.0;23.0;37.0;9.0;90;Nido Comunale;ancarutti@comune.Torino.it ;http://www.comune.torino.it/servizieducativi/se/03_nc.htm;;POINT (7.652965884916067 45.09390774933425);45.09390774933425;7.652965884916067;15;Le Valette;Borgo Vittoria - Madonna di Campagna - Lucento - Vallette
27;ASILO NIDO COMUNALE;VIA GIOVANNI TOMMASO TERRANEO 1;5;10151;Torino;011 732303;;5.0;19.0;8.0;28.0;30.0;10.0;102;Nido Comunale;anterraneo@comune.Torino.it;http://www.comune.torino.it/servizieducativi/se/03_nc.htm;;POINT (7.644514976109445 45.09821215211778);45.09821215211778;7.644514976109445;15;Le Valette;Borgo Vittoria - Madonna di Campagna - Lucento - Vallette
31;ASILO NIDO MUNICIPALE;CORSO TERENZIO MAMIANI 1;6;10154;Torino;011 19502343;;2.0;13.0;6.0;22.0;24.0;8.0;80;Nido Comunale;anmamiani@comune.Torino.it;http://www.comune.torino.it/servizieducativi/se/03_nc.htm;;POINT (7.713560539097048 45.08888279745503);45.08888279745503;7.713560539097048;20;Regio Parco;Barriera di Milano - Regio Parco - Barca - Bertolla - Falchera - Rebaudengo - Villaretto
32;ASILO NIDO MUNICIPALE;CORSO TARANTO 170;6;10154;Torino;011 267686;;2.0;14.0;6.0;22.0;28.0;8.0;85;Nido Comunale;antaranto@comune.Torino.it;http://www.comune.torino.it/servizieducativi/se/03_nc.htm;;POINT (7.711479271019913 45.09589387091764);45.09589387091764;7.711479271019913;20;Regio Parco;Barriera di Milano - Regio Parco - Barca - Bertolla - Falchera - Rebaudengo - Villaretto
33;ASILO NIDO LA PINETA;VIA GIORGIO GHEDINI 22;6;10154;Torino;011 2481525;011 2490093;2.0;14.0;2.0;24.0;36.0;2.0;82;Nido Comunale;anghedini@comune.Torino.it;http://www.comune.torino.it/servizieducativi/se/03_nc.htm;;POINT (7.710473891279364 45.09122043026774);45.09122043026774;7.7104738912793644;20;Regio Parco;Barriera di Milano - Regio Parco - Barca - Bertolla - Falchera - Rebaudengo - Villaretto
37;ASILO NIDO COMUNALE;VIA VITTIME DI BOLOGNA 10;6;10156;Torino;0112734329;011 2734540;3.0;17.0;6.0;25.0;27.0;7.0;87;Nido Comunale;anvittimedibologna@comune.Torino.it;http://www.comune.torino.it/servizieducativi/se/03_nc.htm;;POINT (7.729720066523837 45.10137134889321);45.10137134889321;7.729720066523837;20;Regio Parco;Barriera di Milano - Regio Parco - Barca - Bertolla - Falchera - Rebaudengo - Villaretto
34;ASILO NIDO COMUNALE IL VELIERO;VIA ROCCO SCOTELLARO 7;6;10155;Torino;011 2050385;011 2050385;3.0;13.0;7.0;32.0;33.0;8.0;100;Nido Comunale;anscotellaro@comune.Torino.it;http://www.comune.torino.it/servizieducativi/se/03_nc.htm;;POINT (7.700393381270127 45.10595721790082);45.105957217900816;7.700393381270127;19;Falchera;Barriera di Milano - Regio Parco - Barca - Bertolla - Falchera - Rebaudengo - Villaretto
36;ASILO NIDO;VIA TRONZANO 20;6;10155;Torino;011 2052274;011 2050341;1.0;13.0;2.0;20.0;22.0;2.0;61;Nido Comunale;antronzano@comune.Torino.it;http://www.comune.torino.it/servizieducativi/se/03_nc.htm;;POINT (7.696085668663266 45.09950765369619);45.099507653696186;7.696085668663266;19;Falchera;Barriera di Milano - Regio Parco - Barca - Bertolla - Falchera - Rebaudengo - Villaretto
35;ASILO NIDO COMUNALE  CAMILLA RAVERA;VIA RUGGERO LEONCAVALLO 61;6;10154;Torino;011 2481713;011 4099625;2.0;13.0;2.0;22.0;28.0;4.0;73;Nido Comunale;anleoncavallo@comune.Torino.it;http://www.comune.torino.it/servizieducativi/se/03_nc.htm;;POINT (7.702850194321486 45.08801206371158);45.08801206371158;7.702850194321486;18;Barriera di Milano;Barriera di Milano - Regio Parco - Barca - Bertolla - Falchera - Rebaudengo - Villaretto
38;LE API;CORSO CIRIE' 1;7;10152;Torino;011 4362787;011 5216391;3.0;12.0;4.0;19.0;32.0;8.0;80;Nido Comunale;ancirie@comune.Torino.it;http://www.comune.torino.it/servizieducativi/se/03_nc.htm;;POINT (7.674532849169103 45.08440455488748);45.08440455488748;7.674532849169103;7;Aurora;Aurora, Vanchiglia - Sassi - Madonna del Pilone
41;ASILO NIDO IL FARO;VIA GIUSEPPE CAMINO 8/B;7;10152;Torino;011 2481435;011 287033;3.0;12.0;7.0;19.0;38.0;8.0;92;Nido Comunale;ancamino@comune.Torino.it;http://www.comune.torino.it/servizieducativi/se/03_nc.htm;;POINT (7.690302319412295 45.08492079167173);45.084920791671735;7.690302319412295;7;Aurora;Aurora, Vanchiglia - Sassi - Madonna del Pilone
39;ASILO NIDO BUGNANO-SARDI;PIAZZA ANTONIO FONTANESI 6;7;10153;Torino;0118129608;011 837117;5.0;11.0;9.0;16.0;16.0;9.0;68;Nido Comunale;anfontanesi6@comune.Torino.it;http://www.comune.torino.it/servizieducativi/se/03_nc.htm;;POINT (7.710141751262766 45.07407087827696);45.07407087827696;7.710141751262766;8;Vanchiglia;Aurora, Vanchiglia - Sassi - Madonna del Pilone
40;ASILO NIDO COMUNALE;VIA CESARE BALBO 9/B;7;10124;Torino;011 8128501;011 8128501;0.0;12.0;1.0;23.0;23.0;1.0;60;Nido Comunale;anbalbo@comune.Torino.it;http://www.comune.torino.it/servizieducativi/se/03_nc.htm;Gestito da cooperativa;POINT (7.698944584428488 45.07088393895349);45.07088393895349;7.698944584428488;8;Vanchiglia;Aurora, Vanchiglia - Sassi - Madonna del Pilone
42;GLI GNOMI;VIA ANTONIO FONTANESI 37;7;10153;Torino;011 8127252;;;20.0;;26.0;26.0;;72;Nido Comunale;anfontanesi@comune.Torino.it;http://www.comune.torino.it/servizieducativi/se/03_nc.htm;Frequenza solo tempo lungo - gestito da cooperativa;POINT (7.709402743504515 45.07392537692895);45.07392537692895;7.709402743504515;8;Vanchiglia;Aurora, Vanchiglia - Sassi - Madonna del Pilone
43;ASILO NIDO IL GIRASOLE;VIA GRAZIA DELEDDA 13;7;10153;Torino;011 8993860;011 8998963;1.0;19.0;2.0;33.0;33.0;2.0;92;Nido Comunale;andeledda@comune.Torino.it;http://www.comune.torino.it/servizieducativi/se/03_nc.htm;;POINT (7.720425864423826 45.0754806895053);45.0754806895053;7.7204258644238255;8;Vanchiglia;Aurora, Vanchiglia - Sassi - Madonna del Pilone
44;LE COCCINELLE;CORSO SICILIA 28;8;10133;Torino;011 4429291;011 4429309;3.0;9.0;3.0;17.0;23.0;7.0;63;Nido Comunale;ansicilia@comune.Torino.it;http://www.comune.torino.it/servizieducativi/se/03_nc.htm;;POINT (7.681978720250538 45.04125301343387);45.041253013433874;7.681978720250538;22;Borgo Poe Cavoretto;San Salvario - Cavoretto - Borgo Po - Nizza Millefonti - Lingotto - Filadelfia
45;LE PRATOLINE;VIA ERNESTO LUGARO 6;8;10126;Torino;011 6692186;011 6698180;1.0;17.0;1.0;17.0;27.0;2.0;67;Nido Comunale;anlugaro@comune.Torino.it;http://www.comune.torino.it/servizieducativi/se/03_nc.htm;;POINT (7.671494208701059 45.04838189888017);45.048381898880166;7.671494208701059;2;San Salvario;San Salvario - Cavoretto - Borgo Po - Nizza Millefonti - Lingotto - Filadelfia
46;ASILO NIDO BAY;VIA PRINCIPE TOMMASO 25;8;10125;Torino;011 4432123;;1.0;15.0;1.0;21.0;21.0;1.0;61;Nido Comunale;anprincipetommaso@comune.Torino.it;http://www.comune.torino.it/servizieducativi/se/03_nc.htm;;POINT (7.681815490403654 45.05790265091178);45.05790265091178;7.681815490403654;2;San Salvario;San Salvario - Cavoretto - Borgo Po - Nizza Millefonti - Lingotto - Filadelfia
47;CENTRO PEDAG.  BIMBI LOGOPATICI;VIA PASQUALE PAOLI 75;8;10134;Torino;011 3171515;011 3171515;;;;;17.0;1.0;19;Nido Comunale;anpaoli@comune.Torino.it;http://www.comune.torino.it/servizieducativi/se/03_nc.htm;E' presente solo la sezione grandi;POINT (7.65129547581048 45.03333857966732);45.03333857966732;7.65129547581048;10;Mercati generali;San Salvario - Cavoretto - Borgo Po - Nizza Millefonti - Lingotto - Filadelfia
48;MAFALDA;VIA PODGORA 28;8;10135;Torino;011 618293;011 618293;1.0;9.0;14.0;40.0;40.0;16.0;122;Nido Comunale;anpogdora@comune.Torino.it;http://www.comune.torino.it/servizieducativi/se/03_nc.htm;;POINT (7.643964930303721 45.02685840044539);45.02685840044539;7.643964930303721;10;Mercati generali;San Salvario - Cavoretto - Borgo Po - Nizza Millefonti - Lingotto - Filadelfia
49;ASILO NIDO BIANCA E BERNIE;VIA VENTIMIGLIA 112;8;10126;Torino;011 6635083;011 6632953;4.0;11.0;4.0;36.0;38.0;10.0;108;Nido Comunale;anventimiglia112@comune.Torino.it ;http://www.comune.torino.it/servizieducativi/se/03_nc.htm;;POINT (7.668985763645008 45.02658172328727);45.02658172328727;7.668985763645008;9;Nizza mille fonti;San Salvario - Cavoretto - Borgo Po - Nizza Millefonti - Lingotto - Filadelfia
50;IL LAGHETTO;VIA VENTIMIGLIA 199;8;10127;Torino;011 6645734;011 6645734;2.0;10.0;2.0;34.0;40.0;2.0;92;Nido Comunale;anventimiglia199@comune.Torino.it;http://www.comune.torino.it/servizieducativi/se/03_nc.htm;;POINT (7.666746449697383 45.02057055669976);45.02057055669976;7.666746449697383;9;Nizza mille fonti;San Salvario - Cavoretto - Borgo Po - Nizza Millefonti - Lingotto - Filadelfia
51;ASILO NIDO COMUNALE;STRADA CASTELLO DI MIRAFIORI 45;2;10135;Torino;011 341032;011 3489451;;;3.0;15.0;16.0;7.0;42;Nido Comunale;ancastellodimirafiori@comune.Torino.it;http://www.comune.torino.it/servizieducativi/se/03_nc.htm;Non e' presente la sezione lattanti;POINT (7.628899307330069 45.01216719861507);45.012167198615074;7.628899307330069;23;Mirafiori Sud;Santa Rita - Mirafiori
52;ASILO NIDO ;VIA ALESSANDRO FLEMING 20;2;10135;Torino;0113489448;011 3910120;5.0;10.0;9.0;26.0;30.0;15.0;97;Nido Comunale;anfleming@comune.Torino.it;http://www.comune.torino.it/servizieducativi/se/03_nc.htm;;POINT (7.635731183773572 45.01619899187813);45.016198991878134;7.635731183773572;23;Mirafiori Sud;Santa Rita - Mirafiori
53;I GABBIANI;VIA GARRONE FRATELLI 61 int. 80;2;10127;Torino;011 6051216;011 6055824;1.0;11.0;2.0;23.0;27.0;3.0;69;Nido Comunale;angarrone@comune.Torino.it;http://www.comune.torino.it/servizieducativi/se/03_nc.htm;;POINT (7.651519591918144 45.01053891492837);45.01053891492837;7.651519591918144;23;Mirafiori Sud;Santa Rita - Mirafiori
54;ASILO NIDO COMUNALE;VIA GIOVANNI ROVEDA 35 int. 1;2;10135;Torino;011 3470809;011 3471351;1.0;10.0;6.0;23.0;29.0;8.0;82;Nido Comunale;anroveda@comune.Torino.it;http://www.comune.torino.it/servizieducativi/se/03_nc.htm;;POINT (7.606615522976898 45.02006168667245);45.02006168667245;7.606615522976898;23;Mirafiori Sud;Santa Rita - Mirafiori
